Round,Date,Team 1,FT,Team 2
1,Mon Jul 11 2011,SCR Altach,1-1,First Vienna FC
1,Tue Jul 12 2011,SKN St. Pölten,0-2,Wolfsberger AC
1,Tue Jul 12 2011,FC Blau-Weiß Linz,2-1,TSV Hartberg
1,Tue Jul 12 2011,SV Grödig,1-2,Austria Lustenau
1,Tue Jul 12 2011,FC Lustenau 07,1-1,LASK Linz
2,Fri Jul 15 2011,Austria Lustenau,1-0,FC Blau-Weiß Linz
2,Fri Jul 15 2011,First Vienna FC,4-2,FC Lustenau 07
2,Fri Jul 15 2011,LASK Linz,2-0,SKN St. Pölten
2,Fri Jul 15 2011,Wolfsberger AC,1-0,SV Grödig
2,Fri Jul 15 2011,TSV Hartberg,0-4,SCR Altach
3,Mon Jul 18 2011,FC Blau-Weiß Linz,1-1,LASK Linz
3,Tue Jul 19 2011,SV Grödig,2-2,SKN St. Pölten
3,Tue Jul 19 2011,FC Lustenau 07,2-5,Wolfsberger AC
3,Tue Jul 19 2011,First Vienna FC,1-0,TSV Hartberg
3,Tue Jul 19 2011,SCR Altach,1-1,Austria Lustenau
4,Fri Jul 22 2011,Wolfsberger AC,3-2,FC Blau-Weiß Linz
4,Fri Jul 22 2011,Austria Lustenau,2-1,First Vienna FC
4,Fri Jul 22 2011,SKN St. Pölten,3-0,FC Lustenau 07
4,Fri Jul 22 2011,TSV Hartberg,2-4,SV Grödig
4,Fri Jul 22 2011,LASK Linz,0-2,SCR Altach
5,Fri Jul 29 2011,FC Lustenau 07,1-3,SV Grödig
5,Fri Jul 29 2011,FC Blau-Weiß Linz,1-2,SKN St. Pölten
5,Fri Jul 29 2011,SCR Altach,1-2,Wolfsberger AC
5,Fri Jul 29 2011,TSV Hartberg,2-3,Austria Lustenau
5,Fri Jul 29 2011,First Vienna FC,0-1,LASK Linz
6,Mon Aug 1 2011,Wolfsberger AC,3-3,Austria Lustenau
6,Tue Aug 2 2011,SV Grödig,4-0,First Vienna FC
6,Tue Aug 2 2011,LASK Linz,4-0,TSV Hartberg
6,Tue Aug 2 2011,FC Lustenau 07,1-0,FC Blau-Weiß Linz
6,Tue Aug 2 2011,SKN St. Pölten,1-2,SCR Altach
7,Fri Aug 12 2011,TSV Hartberg,4-3,Wolfsberger AC
7,Fri Aug 12 2011,SCR Altach,4-1,FC Lustenau 07
7,Fri Aug 12 2011,First Vienna FC,3-1,SKN St. Pölten
7,Fri Aug 12 2011,FC Blau-Weiß Linz,3-0,SV Grödig
7,Fri Aug 12 2011,Austria Lustenau,1-1,LASK Linz
8,Fri Aug 19 2011,Wolfsberger AC,2-2,First Vienna FC
8,Fri Aug 19 2011,SV Grödig,0-3,LASK Linz
8,Fri Aug 19 2011,FC Blau-Weiß Linz,2-0,SCR Altach
8,Fri Aug 19 2011,SKN St. Pölten,1-0,TSV Hartberg
8,Fri Aug 19 2011,FC Lustenau 07,3-1,Austria Lustenau
9,Mon Aug 22 2011,LASK Linz,2-3,Wolfsberger AC
9,Tue Aug 23 2011,Austria Lustenau,1-1,SKN St. Pölten
9,Tue Aug 23 2011,TSV Hartberg,2-0,FC Lustenau 07
9,Tue Aug 23 2011,SCR Altach,1-2,SV Grödig
9,Tue Aug 23 2011,First Vienna FC,0-0,FC Blau-Weiß Linz
10,Fri Aug 26 2011,Wolfsberger AC,1-1,SKN St. Pölten
10,Fri Aug 26 2011,TSV Hartberg,1-1,FC Blau-Weiß Linz
10,Fri Aug 26 2011,LASK Linz,2-1,FC Lustenau 07
10,Fri Aug 26 2011,Austria Lustenau,0-0,SV Grödig
10,Fri Aug 26 2011,First Vienna FC,0-1,SCR Altach
11,Fri Sep 9 2011,SCR Altach,4-2,TSV Hartberg
11,Fri Sep 9 2011,SKN St. Pölten,2-2,LASK Linz
11,Fri Sep 9 2011,FC Lustenau 07,4-1,First Vienna FC
11,Fri Sep 9 2011,FC Blau-Weiß Linz,2-1,Austria Lustenau
11,Fri Sep 9 2011,SV Grödig,3-3,Wolfsberger AC
12,Fri Sep 16 2011,TSV Hartberg,2-0,First Vienna FC
12,Fri Sep 16 2011,Wolfsberger AC,2-0,FC Lustenau 07
12,Fri Sep 16 2011,LASK Linz,1-1,FC Blau-Weiß Linz
12,Fri Sep 16 2011,SKN St. Pölten,2-0,SV Grödig
