Round,Date,Team 1,FT,Team 2
1,Sat Jul 16 2011,SV Mattersburg,1-2,SC Wiener Neustadt
1,Sat Jul 16 2011,SK Rapid Wien,2-0,FC Admira Wacker Mödling
1,Sat Jul 16 2011,SV Ried,1-1,SK Sturm Graz
1,Sat Jul 16 2011,Kapfenberger SV,2-3,FC Wacker Innsbruck
1,Sun Jul 17 2011,FC RB Salzburg,2-0,FK Austria Wien
2,Sat Jul 23 2011,FC Admira Wacker Mödling,1-1,Kapfenberger SV
2,Sat Jul 23 2011,SC Wiener Neustadt,0-2,SK Rapid Wien
2,Sat Jul 23 2011,SK Sturm Graz,2-2,SV Mattersburg
2,Sun Jul 24 2011,FC Wacker Innsbruck,0-1,FC RB Salzburg
2,Sun Jul 24 2011,FK Austria Wien,2-1,SV Ried
3,Sat Jul 30 2011,Kapfenberger SV,3-0,SK Sturm Graz
3,Sat Jul 30 2011,FC Admira Wacker Mödling,3-0,SC Wiener Neustadt
3,Sun Jul 31 2011,SK Rapid Wien,0-0,SV Ried
3,Sun Jul 31 2011,FC RB Salzburg,0-0,SV Mattersburg
3,Sun Jul 31 2011,FC Wacker Innsbruck,0-0,FK Austria Wien
4,Sat Aug 13 2011,SC Wiener Neustadt,0-0,FC Wacker Innsbruck
4,Sat Aug 13 2011,FK Austria Wien,5-0,Kapfenberger SV
4,Sat Aug 13 2011,SK Sturm Graz,1-0,SK Rapid Wien
4,Sat Aug 13 2011,FC Admira Wacker Mödling,2-1,SV Mattersburg
4,Sun Aug 14 2011,SV Ried,1-3,FC RB Salzburg
5,Sat Aug 20 2011,FC Wacker Innsbruck,2-2,FC Admira Wacker Mödling
5,Sat Aug 20 2011,Kapfenberger SV,0-2,SC Wiener Neustadt
5,Sun Aug 21 2011,SV Mattersburg,2-3,SV Ried
5,Sun Aug 21 2011,FC RB Salzburg,1-1,SK Sturm Graz
5,Sun Aug 21 2011,SK Rapid Wien,0-3,FK Austria Wien
6,Sat Aug 27 2011,SK Sturm Graz,5-0,SC Wiener Neustadt
6,Sat Aug 27 2011,SV Mattersburg,1-1,FC Wacker Innsbruck
6,Sun Aug 28 2011,SV Ried,1-0,Kapfenberger SV
6,Sun Aug 28 2011,FC RB Salzburg,0-0,SK Rapid Wien
6,Sun Aug 28 2011,FK Austria Wien,2-4,FC Admira Wacker Mödling
7,Sat Sep 10 2011,Kapfenberger SV,1-3,FC RB Salzburg
7,Sat Sep 10 2011,FC Admira Wacker Mödling,4-2,SK Sturm Graz
7,Sat Sep 10 2011,SK Rapid Wien,1-1,SV Mattersburg
7,Sat Sep 10 2011,FC Wacker Innsbruck,0-5,SV Ried
7,Sun Sep 11 2011,SC Wiener Neustadt,1-1,FK Austria Wien
8,Sat Sep 17 2011,SV Ried,1-1,FC Admira Wacker Mödling
8,Sat Sep 17 2011,SK Rapid Wien,5-1,Kapfenberger SV
8,Sun Sep 18 2011,SK Sturm Graz,1-1,FC Wacker Innsbruck
8,Sun Sep 18 2011,FC RB Salzburg,3-0,SC Wiener Neustadt
8,Sun Sep 18 2011,SV Mattersburg,2-4,FK Austria Wien
9,Sat Sep 24 2011,FC Wacker Innsbruck,0-3,SK Rapid Wien
9,Sat Sep 24 2011,SC Wiener Neustadt,2-2,SV Ried
9,Sat Sep 24 2011,Kapfenberger SV,1-0,SV Mattersburg
9,Sat Sep 24 2011,FK Austria Wien,2-1,SK Sturm Graz
9,Sun Sep 25 2011,FC Admira Wacker Mödling,2-1,FC RB Salzburg
10,Sat Oct 1 2011,FC Wacker Innsbruck,3-1,Kapfenberger SV
10,Sat Oct 1 2011,SC Wiener Neustadt,1-2,SV Mattersburg
10,Sat Oct 1 2011,FC Admira Wacker Mödling,4-3,SK Rapid Wien
10,Sun Oct 2 2011,FK Austria Wien,3-2,FC RB Salzburg
10,Sun Oct 2 2011,SK Sturm Graz,1-0,SV Ried
11,Sat Oct 15 2011,Kapfenberger SV,0-0,FC Admira Wacker Mödling
11,Sat Oct 15 2011,SK Rapid Wien,1-1,SC Wiener Neustadt
11,Sat Oct 15 2011,FC RB Salzburg,1-1,FC Wacker Innsbruck
11,Sat Oct 15 2011,SV Ried,2-1,FK Austria Wien
11,Sun Oct 16 2011,SV Mattersburg,3-3,SK Sturm Graz
12,Sat Oct 22 2011,SC Wiener Neustadt,2-0,Kapfenberger SV
12,Sat Oct 22 2011,FC Admira Wacker Mödling,3-2,FC Wacker Innsbruck
12,Sat Oct 22 2011,SV Ried,2-0,SV Mattersburg
12,Sun Oct 23 2011,FK Austria Wien,1-1,SK Rapid Wien
12,Sun Oct 23 2011,SK Sturm Graz,2-1,FC RB Salzburg
13,Sat Oct 29 2011,SV Mattersburg,0-0,FC Admira Wacker Mödling
