Round,Date,Team 1,FT,Team 2
1,Mon Jul 12 2010,SKN St. Pölten,1-4,FC Admira Wacker Mödling
1,Tue Jul 13 2010,SV Grödig,3-2,Austria Lustenau
1,Tue Jul 13 2010,Wolfsberger AC,4-1,FC Gratkorn
1,Tue Jul 13 2010,SCR Altach,4-0,TSV Hartberg
1,Tue Jul 13 2010,FC Lustenau 07,0-4,First Vienna FC
2,Fri Jul 16 2010,FC Admira Wacker Mödling,1-1,FC Lustenau 07
2,Fri Jul 16 2010,TSV Hartberg,2-2,SKN St. Pölten
2,Fri Jul 16 2010,FC Gratkorn,0-5,SCR Altach
2,Fri Jul 16 2010,First Vienna FC,3-2,SV Grödig
2,Fri Jul 16 2010,Austria Lustenau,0-1,Wolfsberger AC
3,Fri Jul 23 2010,SKN St. Pölten,3-1,FC Gratkorn
3,Fri Jul 23 2010,FC Admira Wacker Mödling,5-1,TSV Hartberg
3,Fri Jul 23 2010,SCR Altach,2-0,Austria Lustenau
3,Fri Jul 23 2010,FC Lustenau 07,1-1,SV Grödig
3,Fri Jul 23 2010,Wolfsberger AC,2-0,First Vienna FC
4,Fri Jul 30 2010,TSV Hartberg,1-2,FC Lustenau 07
4,Fri Jul 30 2010,FC Gratkorn,0-3,FC Admira Wacker Mödling
4,Fri Jul 30 2010,Austria Lustenau,4-0,SKN St. Pölten
4,Fri Jul 30 2010,SV Grödig,4-0,Wolfsberger AC
4,Fri Jul 30 2010,First Vienna FC,1-2,SCR Altach
5,Mon Aug 2 2010,FC Admira Wacker Mödling,2-0,Austria Lustenau
5,Tue Aug 3 2010,TSV Hartberg,1-2,FC Gratkorn
5,Tue Aug 3 2010,SKN St. Pölten,3-2,First Vienna FC
5,Tue Aug 3 2010,SCR Altach,4-0,SV Grödig
5,Tue Aug 3 2010,FC Lustenau 07,2-2,Wolfsberger AC
6,Fri Aug 6 2010,FC Gratkorn,0-2,FC Lustenau 07
6,Fri Aug 6 2010,Austria Lustenau,1-0,TSV Hartberg
6,Fri Aug 6 2010,First Vienna FC,1-3,FC Admira Wacker Mödling
6,Fri Aug 6 2010,Wolfsberger AC,3-1,SCR Altach
6,Fri Aug 6 2010,SV Grödig,1-1,SKN St. Pölten
7,Mon Aug 16 2010,FC Lustenau 07,3-3,SCR Altach
7,Tue Aug 17 2010,FC Gratkorn,2-2,Austria Lustenau
7,Tue Aug 17 2010,SKN St. Pölten,0-0,Wolfsberger AC
7,Tue Aug 17 2010,TSV Hartberg,3-1,First Vienna FC
7,Tue Aug 17 2010,FC Admira Wacker Mödling,3-0,SV Grödig
8,Fri Aug 20 2010,Austria Lustenau,1-2,FC Lustenau 07
8,Fri Aug 20 2010,First Vienna FC,1-1,FC Gratkorn
8,Fri Aug 20 2010,Wolfsberger AC,1-2,FC Admira Wacker Mödling
8,Fri Aug 20 2010,SCR Altach,2-1,SKN St. Pölten
8,Fri Aug 20 2010,SV Grödig,3-2,TSV Hartberg
9,Fri Aug 27 2010,SKN St. Pölten,1-0,FC Lustenau 07
9,Fri Aug 27 2010,TSV Hartberg,0-2,Wolfsberger AC
9,Fri Aug 27 2010,FC Gratkorn,0-2,SV Grödig
9,Fri Aug 27 2010,Austria Lustenau,3-1,First Vienna FC
9,Fri Aug 27 2010,FC Admira Wacker Mödling,3-2,SCR Altach
10,Fri Sep 10 2010,First Vienna FC,0-2,Austria Lustenau
10,Fri Sep 10 2010,SCR Altach,3-3,FC Admira Wacker Mödling
10,Fri Sep 10 2010,Wolfsberger AC,2-0,TSV Hartberg
10,Fri Sep 10 2010,FC Lustenau 07,3-1,SKN St. Pölten
10,Fri Sep 10 2010,SV Grödig,1-4,FC Gratkorn
11,Mon Sep 13 2010,TSV Hartberg,0-2,SCR Altach
11,Tue Sep 14 2010,FC Admira Wacker Mödling,3-2,SKN St. Pölten
11,Tue Sep 14 2010,FC Gratkorn,3-2,Wolfsberger AC
11,Tue Sep 14 2010,Austria Lustenau,2-1,SV Grödig
11,Tue Sep 14 2010,First Vienna FC,4-1,FC Lustenau 07
12,Fri Sep 24 2010,SKN St. Pölten,1-1,TSV Hartberg
12,Fri Sep 24 2010,SV Grödig,4-1,First Vienna FC
12,Fri Sep 24 2010,Wolfsberger AC,0-0,Austria Lustenau
12,Fri Sep 24 2010,FC Lustenau 07,0-3,FC Admira Wacker Mödling
12,Fri Sep 24 2010,SCR Altach,1-0,FC Gratkorn
13,Fri Oct 1 2010,TSV Hartberg,1-2,FC Admira Wacker Mödling
13,Fri Oct 1 2010,FC Gratkorn,1-5,SKN St. Pölten
13,Fri Oct 1 2010,Austria Lustenau,2-0,SCR Altach
13,Fri Oct 1 2010,SV Grödig,0-6,FC Lustenau 07
13,Fri Oct 1 2010,First Vienna FC,1-0,Wolfsberger AC
14,Fri Oct 15 2010,SKN St. Pölten,1-0,Austria Lustenau
14,Fri Oct 15 2010,Wolfsberger AC,2-0,SV Grödig
14,Fri Oct 15 2010,SCR Altach,4-2,First Vienna FC
14,Fri Oct 15 2010,FC Lustenau 07,2-2,TSV Hartberg
14,Fri Oct 15 2010,FC Admira Wacker Mödling,3-0,FC Gratkorn
15,Fri Oct 22 2010,Austria Lustenau,2-1,FC Admira Wacker Mödling
15,Fri Oct 22 2010,FC Gratkorn,3-1,TSV Hartberg
15,Fri Oct 22 2010,SV Grödig,0-2,SCR Altach
