Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 19 Jul 2014 (28),Salzburg (1),6-1,?,Rapid Vienna (1)
?,(Sat) 19 Jul 2014 (28),Admira (1),1-4,?,AC Wolfsberger (1)
?,(Sat) 19 Jul 2014 (28),Altach (1),1-0,?,Sturm Graz (1)
?,(Sat) 19 Jul 2014 (28),Ried (1),3-1,?,Neustadt (1)
?,(Sun) 20 Jul 2014 (28),Austria Vienna (1),1-1,?,Grodig (1)
?,(Sat) 26 Jul 2014 (29),AC Wolfsberger (2),4-0,?,Austria Vienna (2)
?,(Sat) 26 Jul 2014 (29),Neustadt (2),0-5,?,Salzburg (2)
?,(Sat) 26 Jul 2014 (29),Rapid Vienna (2),1-0,?,Ried (2)
?,(Sun) 27 Jul 2014 (29),Grodig (2),2-1,?,Sturm Graz (2)
?,(Sat) 2 Aug 2014 (30),Admira (2),1-1,?,Rapid Vienna (3)
?,(Sat) 2 Aug 2014 (30),Austria Vienna (3),0-0,?,Altach (2)
?,(Sat) 2 Aug 2014 (30),Ried (3),0-2,?,Salzburg (3)
?,(Sat) 2 Aug 2014 (30),Sturm Graz (3),4-2,?,Neustadt (3)
?,(Sun) 3 Aug 2014 (30),Grodig (3),0-2,?,AC Wolfsberger (3)
?,(Sat) 9 Aug 2014 (31),Neustadt (4),2-2,?,Austria Vienna (4)
?,(Sat) 9 Aug 2014 (31),Altach (3),1-2,?,AC Wolfsberger (4)
?,(Sat) 9 Aug 2014 (31),Rapid Vienna (4),1-1,?,Sturm Graz (4)
?,(Sat) 9 Aug 2014 (31),Ried (4),1-1,?,Admira (3)
?,(Sun) 10 Aug 2014 (31),Salzburg (4),8-0,?,Grodig (4)
?,(Wed) 13 Aug 2014 (32),Altach (4),0-2,?,Admira (4)
?,(Sat) 16 Aug 2014 (32),Rapid Vienna (5),0-1,?,Altach (5)
?,(Sat) 16 Aug 2014 (32),AC Wolfsberger (5),4-1,?,Ried (5)
?,(Sat) 16 Aug 2014 (32),Admira (5),0-3,?,Salzburg (5)
?,(Sat) 16 Aug 2014 (32),Grodig (5),3-0,?,Neustadt (5)
?,(Sun) 17 Aug 2014 (32),Sturm Graz (5),1-1,?,Austria Vienna (5)
?,(Sat) 23 Aug 2014 (33),Sturm Graz (6),1-2,?,AC Wolfsberger (6)
?,(Sat) 23 Aug 2014 (33),Neustadt (6),5-4,?,Admira (6)
?,(Sat) 23 Aug 2014 (33),Ried (6),2-2,?,Grodig (6)
?,(Sat) 23 Aug 2014 (33),Salzburg (6),5-0,?,Altach (6)
?,(Sun) 24 Aug 2014 (33),Austria Vienna (6),2-2,?,Rapid Vienna (6)
?,(Sat) 30 Aug 2014 (34),Salzburg (7),2-3,?,Sturm Graz (7)
?,(Sat) 30 Aug 2014 (34),AC Wolfsberger (7),0-1,?,Neustadt (7)
?,(Sat) 30 Aug 2014 (34),Admira (7),2-1,?,Austria Vienna (7)
?,(Sat) 30 Aug 2014 (34),Altach (7),2-2,?,Ried (7)
?,(Sun) 31 Aug 2014 (34),Rapid Vienna (7),2-0,?,Grodig (7)
?,(Sat) 13 Sep 2014 (36),Austria Vienna (8),3-1,?,Ried (8)
?,(Sat) 13 Sep 2014 (36),Sturm Graz (8),0-2,?,Admira (8)
?,(Sun) 14 Sep 2014 (36),AC Wolfsberger (8),1-0,?,Salzburg (8)
?,(Wed) 17 Sep 2014 (37),Grodig (8),3-3,?,Altach (8)
?,(Wed) 17 Sep 2014 (37),Neustadt (8),1-5,?,Rapid Vienna (8)
?,(Sat) 20 Sep 2014 (37),Rapid Vienna (9),3-0,?,AC Wolfsberger (9)
?,(Sat) 20 Sep 2014 (37),Admira (9),0-0,?,Grodig (9)
?,(Sat) 20 Sep 2014 (37),Altach (9),2-0,?,Neustadt (9)
?,(Sat) 20 Sep 2014 (37),Ried (9),0-1,?,Sturm Graz (9)
?,(Sun) 21 Sep 2014 (37),Salzburg (9),2-3,?,Austria Vienna (9)
?,(Sat) 27 Sep 2014 (38),Sturm Graz (10),2-2,?,Altach (10)
?,(Sat) 27 Sep 2014 (38),AC Wolfsberger (10),2-1,?,Admira (10)
?,(Sat) 27 Sep 2014 (38),Grodig (10),0-0,?,Austria Vienna (10)
?,(Sat) 27 Sep 2014 (38),Neustadt (10),0-1,?,Ried (10)
?,(Sun) 28 Sep 2014 (38),Rapid Vienna (10),1-2,?,Salzburg (10)
?,(Sat) 4 Oct 2014 (39),Austria Vienna (11),0-2,?,AC Wolfsberger (11)
?,(Sat) 4 Oct 2014 (39),Admira (11),0-2,?,Altach (11)
?,(Sat) 4 Oct 2014 (39),Sturm Graz (11),1-0,?,Grodig (11)
?,(Sun) 5 Oct 2014 (39),Ried (11),1-2,?,Rapid Vienna (11)
?,(Sun) 5 Oct 2014 (39),Salzburg (11),4-1,?,Neustadt (11)
?,(Sat) 18 Oct 2014 (41),Salzburg (12),4-2,?,Ried (12)
?,(Sat) 18 Oct 2014 (41),AC Wolfsberger (12),1-2,?,Grodig (12)
?,(Sat) 18 Oct 2014 (41),Altach (12),1-1,?,Austria Vienna (12)
