Round,Date,Team 1,FT,Team 2
1,Fri Aug 28 2020,Wolfsberger AC,2-2,SC Neusiedl am See
1,Fri Aug 28 2020,WSC Hertha Wels,0-3,FC Admira Wacker Mödling
1,Fri Aug 28 2020,Austria Klagenfurt,7-1,ATSV Stadl-Paura
1,Fri Aug 28 2020,SV Grödig,1-2,SKU Amstetten
1,Fri Aug 28 2020,SV Wörgl,4-2,Union Vöcklamarkt
1,Fri Aug 28 2020,FC Gleisdorf 09,1-1,SV Ried
1,Fri Aug 28 2020,First Vienna FC,4-0,FC Marchfeld
1,Fri Aug 28 2020,SK Treibach,1-2,SV Horn
1,Fri Aug 28 2020,Kapfenberger SV,5-1,FC Liefering
1,Fri Aug 28 2020,SK Sturm Graz,8-0,SV Innsbruck
1,Sat Aug 29 2020,ATSV Wolfsberg,1-3,SKN St. Pölten
1,Sat Aug 29 2020,FC Dornbirn 1913,1-3,USV Allerheiligen
1,Sat Aug 29 2020,Floridsdorfer AC,3-0,ASV Draßburg
1,Sat Aug 29 2020,TuS Bad Gleichenberg,0-0,SV Lafnitz
1,Sat Aug 29 2020,Austria Lustenau,1-2,SV Stripfing
1,Sat Aug 29 2020,ASV Schrems,1-3,FC Wacker Innsbruck
1,Sat Aug 29 2020,WSG Tirol,3-1,USV St. Anna
1,Sat Aug 29 2020,ASV Siegendorf,0-3,LASK Linz
1,Sun Aug 30 2020,Dornbirner SV,0-7,TSV Hartberg
1,Sun Aug 30 2020,FK Austria Wien,5-0,SC Retz
1,Sun Aug 30 2020,SK Rapid Wien,5-0,TSV St. Johann
1,Sun Aug 30 2020,Grazer AK,0-1,SV Seekirchen
1,Sun Aug 30 2020,FC Blau-Weiß Linz,5-1,SC Team Wiener Linien
1,Tue Sep 8 2020,FC Deutschkreutz,0-3,1. Wiener Neustädter SC
1,Wed Sep 9 2020,Wiener Sport-Club,5-0,SV St. Jakob/Rosental
1,Wed Sep 9 2020,SK Vorwärts Steyr,1-0,ASK-BSC Bruck/Leitha
1,Wed Sep 9 2020,SW Bregenz,0-10,FC RB Salzburg
1,Sat Sep 12 2020,SV Wallern,0-1,SVG Reichenau
1,Wed Sep 16 2020,Union Gurten,1-3,SCR Altach
1,Tue Sep 22 2020,SC Weiz,0-1,ASK Elektra Wien
1,Wed Sep 30 2020,SC Schwaz,1-3,VfB Hohenems
2,Fri Oct 16 2020,FC Admira Wacker Mödling,1-1,Kapfenberger SV
2,Fri Oct 16 2020,WSG Tirol,0-1,Floridsdorfer AC
2,Fri Oct 16 2020,SV Lafnitz,2-4,Austria Klagenfurt
2,Fri Oct 16 2020,SV Horn,0-3,ASK Elektra Wien
2,Fri Oct 16 2020,Wiener Sport-Club,1-3,FK Austria Wien
2,Sat Oct 17 2020,SKN St. Pölten,0-3,FC RB Salzburg
2,Sat Oct 17 2020,ASKÖ Gmünd,3-3,TSV Hartberg
2,Sat Oct 17 2020,VfB Hohenems,1-2,SK Sturm Graz
2,Sat Oct 17 2020,FC Wacker Innsbruck,1-0,SV Stripfing
2,Sat Oct 17 2020,SCR Altach,7-0,SV Seekirchen
2,Sat Oct 17 2020,1. Wiener Neustädter SC,1-5,SK Rapid Wien
2,Sat Oct 17 2020,LASK Linz,3-0,SV Wörgl
2,Sat Oct 17 2020,First Vienna FC,3-2,SK Vorwärts Steyr
2,Sun Oct 18 2020,Wolfsberger AC,,SV Ried
2,Tue Nov 3 2020,USV Allerheiligen,,SKU Amstetten
2,Wed Nov 4 2020,SVG Reichenau,,FC Blau-Weiß Linz
3,Wed Nov 4 2020,SCR Altach,,First Vienna FC
3,Wed Nov 4 2020,LASK Linz,,ASK Elektra Wien
3,Wed Nov 4 2020,SK Sturm Graz,,FC Wacker Innsbruck
3,Wed Nov 4 2020,Floridsdorfer AC,,Austria Klagenfurt
3,Wed Nov 4 2020,FK Austria Wien,,TSV Hartberg
3,Wed Nov 4 2020,FC RB Salzburg,,SK Rapid Wien
