Round,Date,Team 1,FT,Team 2
1,Fri Sep 11 2020,Austria Klagenfurt,3-1,FC Blau-Weiß Linz
1,Fri Sep 11 2020,Austria Lustenau,1-1,SV Horn
1,Fri Sep 11 2020,Floridsdorfer AC,1-2,SV Lafnitz
1,Fri Sep 11 2020,Kapfenberger SV,0-3,FC Wacker Innsbruck
1,Sat Sep 12 2020,FC Juniors OÖ,1-1,Young Violets Austria Wien
1,Sat Sep 12 2020,Grazer AK,0-1,FC Dornbirn 1913
1,Sun Sep 13 2020,SKU Amstetten,2-2,SK Vorwärts Steyr
1,Sun Sep 13 2020,FC Liefering,3-0,SK Rapid Wien II
2,Fri Sep 18 2020,Young Violets Austria Wien,2-4,Grazer AK
2,Fri Sep 18 2020,FC Wacker Innsbruck,0-0,Floridsdorfer AC
2,Fri Sep 18 2020,SK Vorwärts Steyr,0-3,Kapfenberger SV
2,Fri Sep 18 2020,FC Dornbirn 1913,1-1,Austria Klagenfurt
2,Fri Sep 18 2020,SK Rapid Wien II,1-1,FC Juniors OÖ
2,Fri Sep 18 2020,SV Lafnitz,2-2,SKU Amstetten
2,Sat Sep 19 2020,SV Horn,2-4,FC Liefering
2,Sun Sep 20 2020,FC Blau-Weiß Linz,5-2,Austria Lustenau
3,Fri Sep 25 2020,Austria Klagenfurt,3-2,Young Violets Austria Wien
3,Fri Sep 25 2020,FC Liefering,2-0,FC Wacker Innsbruck
3,Fri Sep 25 2020,SV Horn,0-1,SV Lafnitz
3,Fri Sep 25 2020,Kapfenberger SV,2-4,FC Blau-Weiß Linz
3,Fri Sep 25 2020,Grazer AK,0-1,SK Vorwärts Steyr
3,Sat Sep 26 2020,Austria Lustenau,0-1,FC Juniors OÖ
3,Sat Sep 26 2020,SKU Amstetten,3-3,FC Dornbirn 1913
3,Sun Sep 27 2020,SK Rapid Wien II,2-3,Floridsdorfer AC
4,Tue Sep 29 2020,Young Violets Austria Wien,1-2,SV Horn
4,Tue Sep 29 2020,SV Lafnitz,0-1,Grazer AK
4,Tue Sep 29 2020,FC Juniors OÖ,1-1,FC Liefering
4,Tue Sep 29 2020,FC Blau-Weiß Linz,2-0,SKU Amstetten
4,Tue Sep 29 2020,FC Wacker Innsbruck,0-0,Austria Lustenau
4,Wed Sep 30 2020,FC Dornbirn 1913,1-2,SK Rapid Wien II
4,Wed Sep 30 2020,Floridsdorfer AC,4-0,Kapfenberger SV
4,Wed Sep 30 2020,SK Vorwärts Steyr,2-2,Austria Klagenfurt
5,Fri Oct 2 2020,FC Liefering,1-1,Grazer AK
5,Fri Oct 2 2020,SV Horn,1-1,FC Juniors OÖ
5,Fri Oct 2 2020,SKU Amstetten,2-2,FC Wacker Innsbruck
5,Sat Oct 3 2020,SK Rapid Wien II,2-3,SV Lafnitz
5,Sat Oct 3 2020,FC Blau-Weiß Linz,1-2,FC Dornbirn 1913
5,Sat Oct 3 2020,Austria Lustenau,4-0,SK Vorwärts Steyr
5,Sat Oct 3 2020,Kapfenberger SV,0-0,Young Violets Austria Wien
5,Sun Oct 4 2020,Austria Klagenfurt,5-0,Floridsdorfer AC
6,Fri Oct 23 2020,Young Violets Austria Wien,1-1,Austria Lustenau
6,Fri Oct 23 2020,FC Wacker Innsbruck,0-4,FC Blau-Weiß Linz
6,Fri Oct 23 2020,SK Vorwärts Steyr,1-1,SK Rapid Wien II
6,Fri Oct 23 2020,SV Lafnitz,2-1,Austria Klagenfurt
6,Fri Oct 23 2020,FC Juniors OÖ,0-5,Kapfenberger SV
6,Fri Oct 23 2020,FC Dornbirn 1913,0-0,SV Horn
6,Fri Oct 23 2020,Grazer AK,2-1,SKU Amstetten
6,Fri Oct 23 2020,Floridsdorfer AC,1-3,FC Liefering
7,Mon Oct 26 2020,Floridsdorfer AC,2-1,Young Violets Austria Wien
7,Mon Oct 26 2020,Kapfenberger SV,1-1,Austria Klagenfurt
7,Mon Oct 26 2020,SK Rapid Wien II,1-2,Austria Lustenau
7,Mon Oct 26 2020,FC Dornbirn 1913,0-1,FC Wacker Innsbruck
7,Mon Oct 26 2020,FC Liefering,1-0,SV Lafnitz
7,Mon Oct 26 2020,Grazer AK,3-1,FC Blau-Weiß Linz
7,Mon Oct 26 2020,SKU Amstetten,3-3,FC Juniors OÖ
7,Mon Oct 26 2020,SV Horn,0-0,SK Vorwärts Steyr
