Round,Date,Team 1,FT,Team 2
6,Tue Nov 3 2020,FC Admira Wacker Mödling II,,SV Leobendorf
12,Fri Nov 6 2020,ASK-BSC Bruck/Leitha,,FC Marchfeld
12,Fri Nov 6 2020,Wiener Sport-Club,,SC Team Wiener Linien
12,Fri Nov 6 2020,1. Wiener Neustädter SC,,FC Admira Wacker Mödling II
12,Fri Nov 6 2020,FCM Traiskirchen,,ASV Draßburg
12,Sat Nov 7 2020,SV Stripfing,,SC Neusiedl am See
12,Sun Nov 8 2020,FC Mauerwerk,,SV Leobendorf
2,Tue Nov 10 2020,FC Admira Wacker Mödling II,,Wiener Sport-Club
13,Fri Nov 13 2020,SC Neusiedl am See,,FC Mauerwerk
13,Fri Nov 13 2020,ASV Draßburg,,SV Stripfing
13,Fri Nov 13 2020,FC Marchfeld,,Wiener Viktoria
13,Sat Nov 14 2020,SV Leobendorf,,1. Wiener Neustädter SC
13,Sat Nov 14 2020,SC Team Wiener Linien,,FCM Traiskirchen
13,Sun Nov 15 2020,FC Admira Wacker Mödling II,,ASK-BSC Bruck/Leitha
9,Tue Nov 17 2020,SV Leobendorf,,Wiener Sport-Club
6,Wed Nov 18 2020,Wiener Viktoria,,SV Stripfing
14,Fri Mar 5 2021,SC Neusiedl am See,,SV Leobendorf
14,Fri Mar 5 2021,1. Wiener Neustädter SC,,ASK-BSC Bruck/Leitha
14,Fri Mar 5 2021,FC Marchfeld,,Wiener Sport-Club
14,Fri Mar 5 2021,ASV Draßburg,,FC Mauerwerk
14,Sat Mar 6 2021,SC Team Wiener Linien,,SV Stripfing
14,Sun Mar 7 2021,FC Admira Wacker Mödling II,,Wiener Viktoria
15,Fri Mar 12 2021,SC Neusiedl am See,,1. Wiener Neustädter SC
15,Fri Mar 12 2021,Wiener Sport-Club,,FC Admira Wacker Mödling II
15,Fri Mar 12 2021,FC Marchfeld,,FCM Traiskirchen
15,Sat Mar 13 2021,SV Leobendorf,,ASV Draßburg
15,Sat Mar 13 2021,FC Mauerwerk,,SC Team Wiener Linien
15,Sun Mar 14 2021,Wiener Viktoria,,ASK-BSC Bruck/Leitha
16,Fri Mar 19 2021,ASK-BSC Bruck/Leitha,,Wiener Sport-Club
16,Fri Mar 19 2021,ASV Draßburg,,SC Neusiedl am See
16,Fri Mar 19 2021,FC Marchfeld,,SV Stripfing
16,Fri Mar 19 2021,1. Wiener Neustädter SC,,Wiener Viktoria
16,Sat Mar 20 2021,SC Team Wiener Linien,,SV Leobendorf
16,Sun Mar 21 2021,FC Admira Wacker Mödling II,,FCM Traiskirchen
17,Fri Mar 26 2021,SC Neusiedl am See,,SC Team Wiener Linien
17,Fri Mar 26 2021,FCM Traiskirchen,,ASK-BSC Bruck/Leitha
17,Fri Mar 26 2021,Wiener Sport-Club,,Wiener Viktoria
17,Fri Mar 26 2021,ASV Draßburg,,1. Wiener Neustädter SC
17,Sat Mar 27 2021,FC Mauerwerk,,FC Marchfeld
17,Sun Mar 28 2021,SV Stripfing,,FC Admira Wacker Mödling II
18,Fri Apr 2 2021,ASK-BSC Bruck/Leitha,,SV Stripfing
18,Fri Apr 2 2021,FC Marchfeld,,SV Leobendorf
18,Fri Apr 2 2021,1. Wiener Neustädter SC,,Wiener Sport-Club
18,Sat Apr 3 2021,SC Team Wiener Linien,,ASV Draßburg
18,Sun Apr 4 2021,FC Mauerwerk,,FC Admira Wacker Mödling II
18,Sun Apr 4 2021,Wiener Viktoria,,FCM Traiskirchen
19,Fri Apr 9 2021,SC Neusiedl am See,,FC Marchfeld
19,Fri Apr 9 2021,FCM Traiskirchen,,Wiener Sport-Club
19,Sat Apr 10 2021,SV Leobendorf,,FC Admira Wacker Mödling II
19,Sat Apr 10 2021,FC Mauerwerk,,ASK-BSC Bruck/Leitha
19,Sat Apr 10 2021,SC Team Wiener Linien,,1. Wiener Neustädter SC
19,Sun Apr 11 2021,SV Stripfing,,Wiener Viktoria
20,Fri Apr 16 2021,ASK-BSC Bruck/Leitha,,SV Leobendorf
20,Fri Apr 16 2021,FC Marchfeld,,ASV Draßburg
20,Fri Apr 16 2021,1. Wiener Neustädter SC,,FCM Traiskirchen
20,Fri Apr 16 2021,Wiener Sport-Club,,SV Stripfing
20,Sun Apr 18 2021,Wiener Viktoria,,FC Mauerwerk
20,Sun Apr 18 2021,FC Admira Wacker Mödling II,,SC Neusiedl am See
21,Fri Apr 23 2021,SC Neusiedl am See,,ASK-BSC Bruck/Leitha
21,Fri Apr 23 2021,ASV Draßburg,,FC Admira Wacker Mödling II
21,Sat Apr 24 2021,SV Leobendorf,,Wiener Viktoria
21,Sat Apr 24 2021,SV Stripfing,,FCM Traiskirchen
21,Sat Apr 24 2021,FC Mauerwerk,,Wiener Sport-Club
21,Sat Apr 24 2021,SC Team Wiener Linien,,FC Marchfeld
22,Fri Apr 30 2021,ASK-BSC Bruck/Leitha,,ASV Draßburg
22,Fri Apr 30 2021,Wiener Sport-Club,,SV Leobendorf
22,Fri Apr 30 2021,FCM Traiskirchen,,FC Mauerwerk
22,Fri Apr 30 2021,1. Wiener Neustädter SC,,SV Stripfing
22,Sun May 2 2021,FC Admira Wacker Mödling II,,SC Team Wiener Linien
22,Sun May 2 2021,Wiener Viktoria,,SC Neusiedl am See
23,Fri May 7 2021,SC Neusiedl am See,,Wiener Sport-Club
23,Fri May 7 2021,ASV Draßburg,,Wiener Viktoria
23,Fri May 7 2021,FC Marchfeld,,1. Wiener Neustädter SC
23,Sat May 8 2021,SV Leobendorf,,FCM Traiskirchen
23,Sat May 8 2021,FC Mauerwerk,,SV Stripfing
23,Sat May 8 2021,SC Team Wiener Linien,,ASK-BSC Bruck/Leitha
24,Fri May 14 2021,Wiener Sport-Club,,ASV Draßburg
24,Fri May 14 2021,FCM Traiskirchen,,SC Neusiedl am See
24,Fri May 14 2021,1. Wiener Neustädter SC,,FC Mauerwerk
24,Sun May 16 2021,SV Stripfing,,SV Leobendorf
24,Sun May 16 2021,Wiener Viktoria,,SC Team Wiener Linien
24,Sun May 16 2021,FC Admira Wacker Mödling II,,FC Marchfeld
25,Fri May 21 2021,SC Neusiedl am See,,SV Stripfing
25,Fri May 21 2021,FC Marchfeld,,ASK-BSC Bruck/Leitha
25,Fri May 21 2021,ASV Draßburg,,FCM Traiskirchen
25,Sat May 22 2021,SV Leobendorf,,FC Mauerwerk
25,Sat May 22 2021,SC Team Wiener Linien,,Wiener Sport-Club
25,Sun May 23 2021,FC Admira Wacker Mödling II,,1. Wiener Neustädter SC
26,Fri May 28 2021,ASK-BSC Bruck/Leitha,,FC Admira Wacker Mödling II
26,Fri May 28 2021,1. Wiener Neustädter SC,,SV Leobendorf
26,Fri May 28 2021,FCM Traiskirchen,,SC Team Wiener Linien
26,Sat May 29 2021,FC Mauerwerk,,SC Neusiedl am See
26,Sun May 30 2021,Wiener Viktoria,,FC Marchfeld
26,Sun May 30 2021,SV Stripfing,,ASV Draßburg
