Round,Date,Team 1,FT,Team 2
1,Fri Aug 21 2020,ASK-BSC Bruck/Leitha,3-0,1. Wiener Neustädter SC
1,Fri Aug 21 2020,SV Leobendorf,1-0,SC Neusiedl am See
1,Sat Aug 22 2020,FC Mauerwerk,3-1,ASV Draßburg
1,Sat Aug 22 2020,Wiener Viktoria,1-2,FC Admira Wacker Mödling II
2,Tue Aug 25 2020,ASK-BSC Bruck/Leitha,3-0,Wiener Viktoria
2,Tue Aug 25 2020,FCM Traiskirchen,0-2,FC Marchfeld
2,Tue Sep 1 2020,ASV Draßburg,3-4,SV Leobendorf
3,Fri Sep 4 2020,SC Neusiedl am See,3-0,ASV Draßburg
3,Fri Sep 4 2020,Wiener Sport-Club,2-1,ASK-BSC Bruck/Leitha
3,Sat Sep 5 2020,SV Leobendorf,2-1,SC Team Wiener Linien
3,Sat Sep 5 2020,SV Stripfing,3-0,FC Marchfeld
3,Sat Sep 5 2020,Wiener Viktoria,0-0,1. Wiener Neustädter SC
3,Tue Sep 8 2020,FCM Traiskirchen,3-1,FC Admira Wacker Mödling II
4,Fri Sep 11 2020,1. Wiener Neustädter SC,0-1,ASV Draßburg
4,Sat Sep 12 2020,FC Admira Wacker Mödling II,1-2,SV Stripfing
4,Sat Sep 12 2020,Wiener Viktoria,0-3,Wiener Sport-Club
4,Sat Sep 12 2020,SC Team Wiener Linien,2-0,SC Neusiedl am See
1,Tue Sep 15 2020,Wiener Sport-Club,2-1,FC Marchfeld
2,Tue Sep 15 2020,1. Wiener Neustädter SC,2-0,SC Neusiedl am See
4,Tue Sep 15 2020,ASK-BSC Bruck/Leitha,2-1,FCM Traiskirchen
5,Fri Sep 18 2020,ASV Draßburg,1-2,SC Team Wiener Linien
5,Fri Sep 18 2020,Wiener Sport-Club,1-0,1. Wiener Neustädter SC
5,Fri Sep 18 2020,FCM Traiskirchen,3-1,Wiener Viktoria
5,Sat Sep 19 2020,SV Stripfing,2-1,ASK-BSC Bruck/Leitha
5,Sat Sep 19 2020,SV Leobendorf,3-2,FC Marchfeld
6,Fri Sep 25 2020,ASK-BSC Bruck/Leitha,4-2,FC Mauerwerk
6,Fri Sep 25 2020,1. Wiener Neustädter SC,0-2,SC Team Wiener Linien
6,Fri Sep 25 2020,Wiener Sport-Club,1-1,FCM Traiskirchen
6,Sat Sep 26 2020,FC Marchfeld,3-0,SC Neusiedl am See
7,Fri Oct 2 2020,SC Neusiedl am See,,FC Admira Wacker Mödling II
7,Fri Oct 2 2020,ASV Draßburg,2-2,FC Marchfeld
7,Fri Oct 2 2020,FCM Traiskirchen,5-0,1. Wiener Neustädter SC
7,Sat Oct 3 2020,SV Stripfing,0-2,Wiener Sport-Club
7,Sat Oct 3 2020,SV Leobendorf,2-0,ASK-BSC Bruck/Leitha
7,Sun Oct 4 2020,FC Mauerwerk,0-3,Wiener Viktoria
8,Fri Oct 9 2020,ASK-BSC Bruck/Leitha,6-1,SC Neusiedl am See
8,Fri Oct 9 2020,FCM Traiskirchen,0-1,SV Stripfing
8,Fri Oct 9 2020,Wiener Sport-Club,0-1,FC Mauerwerk
8,Fri Oct 9 2020,FC Marchfeld,2-1,SC Team Wiener Linien
8,Sat Oct 10 2020,FC Admira Wacker Mödling II,2-2,ASV Draßburg
8,Sat Oct 10 2020,Wiener Viktoria,0-3,SV Leobendorf
4,Tue Oct 13 2020,FC Marchfeld,,FC Mauerwerk
9,Sat Oct 17 2020,SC Team Wiener Linien,0-1,FC Admira Wacker Mödling II
9,Sun Oct 18 2020,FC Mauerwerk,0-4,FCM Traiskirchen
9,Tue Oct 20 2020,ASV Draßburg,1-4,ASK-BSC Bruck/Leitha
9,Tue Oct 20 2020,SC Neusiedl am See,2-1,Wiener Viktoria
5,Wed Oct 21 2020,FC Admira Wacker Mödling II,2-0,FC Mauerwerk
10,Fri Oct 23 2020,ASK-BSC Bruck/Leitha,,SC Team Wiener Linien
10,Fri Oct 23 2020,1. Wiener Neustädter SC,,FC Marchfeld
10,Fri Oct 23 2020,Wiener Sport-Club,2-0,SC Neusiedl am See
10,Fri Oct 23 2020,FCM Traiskirchen,3-1,SV Leobendorf
10,Sat Oct 24 2020,SV Stripfing,2-0,FC Mauerwerk
10,Sat Oct 24 2020,Wiener Viktoria,2-1,ASV Draßburg
9,Tue Oct 27 2020,SV Stripfing,,1. Wiener Neustädter SC
2,Wed Oct 28 2020,SC Team Wiener Linien,2-1,FC Mauerwerk
11,Fri Oct 30 2020,SC Neusiedl am See,,FCM Traiskirchen
11,Fri Oct 30 2020,ASV Draßburg,,Wiener Sport-Club
11,Fri Oct 30 2020,FC Marchfeld,1-1,FC Admira Wacker Mödling II
11,Sat Oct 31 2020,SC Team Wiener Linien,4-0,Wiener Viktoria
11,Sun Nov 1 2020,SV Leobendorf,,SV Stripfing
11,Sun Nov 1 2020,FC Mauerwerk,,1. Wiener Neustädter SC
1,Tue Nov 3 2020,SV Stripfing,,SC Team Wiener Linien
