Round,Date,Team 1,FT,Team 2
1,Sat Jul 22 2017,SK Rapid Wien,2-2,SV Mattersburg
1,Sat Jul 22 2017,Wolfsberger AC,0-2,FC RB Salzburg
1,Sat Jul 22 2017,LASK Linz,3-0,FC Admira Wacker Mödling
1,Sun Jul 23 2017,SCR Altach,3-0,FK Austria Wien
1,Sun Jul 23 2017,SK Sturm Graz,3-2,SKN St. Pölten
2,Sat Jul 29 2017,FC RB Salzburg,1-1,LASK Linz
2,Sat Jul 29 2017,SKN St. Pölten,1-4,SK Rapid Wien
2,Sat Jul 29 2017,SV Mattersburg,1-0,Wolfsberger AC
2,Sun Jul 30 2017,FK Austria Wien,2-3,SK Sturm Graz
2,Sun Jul 30 2017,FC Admira Wacker Mödling,4-1,SCR Altach
3,Sat Aug 5 2017,LASK Linz,2-0,SKN St. Pölten
3,Sat Aug 5 2017,FC RB Salzburg,5-1,FC Admira Wacker Mödling
3,Sun Aug 6 2017,Wolfsberger AC,1-0,SCR Altach
3,Sun Aug 6 2017,SK Rapid Wien,2-2,FK Austria Wien
3,Sun Aug 6 2017,SV Mattersburg,2-3,SK Sturm Graz
4,Sat Aug 12 2017,SCR Altach,0-1,FC RB Salzburg
4,Sat Aug 12 2017,FK Austria Wien,2-0,LASK Linz
4,Sat Aug 12 2017,SK Sturm Graz,2-1,Wolfsberger AC
4,Sat Aug 12 2017,SKN St. Pölten,0-0,SV Mattersburg
4,Sun Aug 13 2017,FC Admira Wacker Mödling,3-1,SK Rapid Wien
5,Sat Aug 19 2017,SK Rapid Wien,1-2,SK Sturm Graz
5,Sat Aug 19 2017,Wolfsberger AC,2-0,FC Admira Wacker Mödling
5,Sun Aug 20 2017,FC RB Salzburg,5-1,SKN St. Pölten
5,Sun Aug 20 2017,LASK Linz,0-0,SCR Altach
5,Sun Aug 20 2017,SV Mattersburg,1-3,FK Austria Wien
6,Sat Aug 26 2017,Wolfsberger AC,2-1,SKN St. Pölten
6,Sat Aug 26 2017,SK Rapid Wien,1-0,LASK Linz
6,Sun Aug 27 2017,SK Sturm Graz,1-0,FC RB Salzburg
6,Sun Aug 27 2017,SCR Altach,1-0,SV Mattersburg
6,Sun Aug 27 2017,FC Admira Wacker Mödling,1-3,FK Austria Wien
7,Sat Sep 9 2017,LASK Linz,2-1,SK Sturm Graz
7,Sat Sep 9 2017,FK Austria Wien,2-2,Wolfsberger AC
7,Sat Sep 9 2017,SV Mattersburg,0-5,FC Admira Wacker Mödling
7,Sat Sep 9 2017,SKN St. Pölten,1-2,SCR Altach
7,Sun Sep 10 2017,FC RB Salzburg,2-2,SK Rapid Wien
8,Sat Sep 16 2017,SCR Altach,2-2,SK Rapid Wien
8,Sat Sep 16 2017,FC Admira Wacker Mödling,2-1,SK Sturm Graz
8,Sat Sep 16 2017,Wolfsberger AC,0-0,LASK Linz
