Round,Date,Team 1,FT,Team 2
1,Fri Jul 21 2017,Floridsdorfer AC,1-5,Austria Lustenau
1,Fri Jul 21 2017,WSG Tirol,0-1,TSV Hartberg
1,Fri Jul 21 2017,Kapfenberger SV,1-2,FC Liefering
1,Fri Jul 21 2017,FC Blau-Weiß Linz,1-1,FC Wacker Innsbruck
1,Fri Jul 21 2017,SV Ried,0-1,SC Wiener Neustadt
2,Fri Jul 28 2017,FC Liefering,0-1,WSG Tirol
2,Fri Jul 28 2017,TSV Hartberg,3-1,Floridsdorfer AC
2,Fri Jul 28 2017,FC Wacker Innsbruck,0-0,Kapfenberger SV
2,Fri Jul 28 2017,SC Wiener Neustadt,4-0,FC Blau-Weiß Linz
2,Fri Jul 28 2017,Austria Lustenau,0-2,SV Ried
3,Fri Aug 4 2017,SV Ried,3-2,Floridsdorfer AC
3,Fri Aug 4 2017,Austria Lustenau,2-3,SC Wiener Neustadt
3,Fri Aug 4 2017,WSG Tirol,3-1,Kapfenberger SV
3,Fri Aug 4 2017,FC Blau-Weiß Linz,2-3,FC Liefering
4,Mon Aug 7 2017,FC Liefering,4-0,SV Ried
4,Tue Aug 8 2017,FC Wacker Innsbruck,3-2,Austria Lustenau
4,Tue Aug 8 2017,Kapfenberger SV,0-1,FC Blau-Weiß Linz
4,Tue Aug 8 2017,SC Wiener Neustadt,1-0,TSV Hartberg
4,Tue Aug 8 2017,Floridsdorfer AC,1-0,WSG Tirol
5,Fri Aug 11 2017,Austria Lustenau,1-2,Kapfenberger SV
5,Fri Aug 11 2017,TSV Hartberg,2-2,FC Liefering
5,Fri Aug 11 2017,FC Blau-Weiß Linz,1-1,SV Ried
5,Fri Aug 11 2017,Floridsdorfer AC,0-3,SC Wiener Neustadt
5,Fri Aug 11 2017,WSG Tirol,1-3,FC Wacker Innsbruck
6,Mon Aug 14 2017,SV Ried,4-1,FC Wacker Innsbruck
6,Tue Aug 15 2017,FC Liefering,3-1,Floridsdorfer AC
6,Tue Aug 15 2017,WSG Tirol,1-2,Austria Lustenau
6,Tue Aug 15 2017,Kapfenberger SV,0-0,SC Wiener Neustadt
6,Tue Aug 15 2017,FC Blau-Weiß Linz,1-1,TSV Hartberg
7,Fri Aug 18 2017,Austria Lustenau,1-1,FC Blau-Weiß Linz
7,Fri Aug 18 2017,SC Wiener Neustadt,2-1,WSG Tirol
7,Fri Aug 18 2017,Floridsdorfer AC,0-3,Kapfenberger SV
7,Fri Aug 18 2017,TSV Hartberg,2-2,SV Ried
7,Fri Aug 18 2017,FC Wacker Innsbruck,1-0,FC Liefering
3,Mon Aug 21 2017,TSV Hartberg,3-1,FC Wacker Innsbruck
8,Fri Aug 25 2017,SV Ried,4-0,WSG Tirol
8,Fri Aug 25 2017,FC Liefering,0-0,Austria Lustenau
8,Fri Aug 25 2017,FC Wacker Innsbruck,3-0,SC Wiener Neustadt
8,Fri Aug 25 2017,FC Blau-Weiß Linz,4-0,Floridsdorfer AC
8,Fri Aug 25 2017,TSV Hartberg,4-0,Kapfenberger SV
9,Fri Sep 8 2017,Austria Lustenau,1-2,TSV Hartberg
9,Fri Sep 8 2017,WSG Tirol,2-2,FC Blau-Weiß Linz
9,Fri Sep 8 2017,Kapfenberger SV,2-1,SV Ried
9,Fri Sep 8 2017,SC Wiener Neustadt,2-0,FC Liefering
