Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 20 Jul 2013 (28),FK Austria Wien (1),2-0,?,FC Admira Wacker Mödling (1)
?,(Sat) 20 Jul 2013 (28),Wolfsberger AC (1),2-2,?,SK Rapid Wien (1)
?,(Sat) 20 Jul 2013 (28),SV Grödig (1),0-0,?,SV Ried (1)
?,(Sat) 20 Jul 2013 (28),SC Wiener Neustadt (1),1-5,?,FC RB Salzburg (1)
?,(Sun) 21 Jul 2013 (28),FC Wacker Innsbruck (1),2-2,?,SK Sturm Graz (1)
?,(Sat) 27 Jul 2013 (29),SK Rapid Wien (2),4-0,?,SC Wiener Neustadt (2)
?,(Sat) 27 Jul 2013 (29),FC Admira Wacker Mödling (2),1-2,?,FC Wacker Innsbruck (2)
?,(Sat) 27 Jul 2013 (29),SV Ried (2),1-0,?,Wolfsberger AC (2)
?,(Sat) 27 Jul 2013 (29),FC RB Salzburg (2),5-1,?,FK Austria Wien (2)
?,(Sun) 28 Jul 2013 (29),SK Sturm Graz (2),0-2,?,SV Grödig (2)
?,(Sat) 3 Aug 2013 (30),SC Wiener Neustadt (3),2-1,?,Wolfsberger AC (3)
?,(Sat) 3 Aug 2013 (30),FK Austria Wien (3),3-3,?,SV Ried (3)
?,(Sat) 3 Aug 2013 (30),SV Grödig (3),7-1,?,FC Admira Wacker Mödling (3)
?,(Sat) 3 Aug 2013 (30),FC Wacker Innsbruck (3),1-1,?,FC RB Salzburg (3)
?,(Sun) 4 Aug 2013 (30),SK Sturm Graz (3),2-4,?,SK Rapid Wien (3)
?,(Sat) 10 Aug 2013 (31),Wolfsberger AC (4),1-1,?,FC Wacker Innsbruck (4)
?,(Sat) 10 Aug 2013 (31),FC Admira Wacker Mödling (4),1-1,?,SK Sturm Graz (4)
?,(Sat) 10 Aug 2013 (31),SV Ried (4),1-1,?,SC Wiener Neustadt (4)
?,(Sat) 10 Aug 2013 (31),FC RB Salzburg (4),4-1,?,SV Grödig (4)
?,(Sun) 11 Aug 2013 (31),SK Rapid Wien (4),0-0,?,FK Austria Wien (4)
?,(Sat) 17 Aug 2013 (32),SK Sturm Graz (5),1-1,?,FC RB Salzburg (5)
?,(Sat) 17 Aug 2013 (32),FK Austria Wien (5),5-0,?,SC Wiener Neustadt (5)
?,(Sat) 17 Aug 2013 (32),SV Grödig (5),4-3,?,Wolfsberger AC (5)
?,(Sat) 17 Aug 2013 (32),FC Wacker Innsbruck (5),2-3,?,SV Ried (5)
?,(Sun) 18 Aug 2013 (32),FC Admira Wacker Mödling (5),2-0,?,SK Rapid Wien (5)
?,(Sat) 24 Aug 2013 (33),SV Ried (6),3-0,?,SK Sturm Graz (6)
?,(Sat) 24 Aug 2013 (33),Wolfsberger AC (6),1-4,?,FK Austria Wien (6)
?,(Sat) 24 Aug 2013 (33),SC Wiener Neustadt (6),1-1,?,FC Wacker Innsbruck (6)
?,(Sun) 25 Aug 2013 (33),SK Rapid Wien (6),0-1,?,SV Grödig (6)
?,(Sun) 25 Aug 2013 (33),FC RB Salzburg (6),1-0,?,FC Admira Wacker Mödling (6)
?,(Sat) 31 Aug 2013 (34),SK Sturm Graz (7),4-1,?,Wolfsberger AC (7)
?,(Sat) 31 Aug 2013 (34),FC Admira Wacker Mödling (7),1-4,?,SV Ried (7)
?,(Sat) 31 Aug 2013 (34),FK Austria Wien (7),1-1,?,FC Wacker Innsbruck (7)
?,(Sat) 31 Aug 2013 (34),SV Grödig (7),3-6,?,SC Wiener Neustadt (7)
?,(Sun) 1 Sep 2013 (34),FC RB Salzburg (7),1-1,?,SK Rapid Wien (7)
?,(Sat) 14 Sep 2013 (36),FC Wacker Innsbruck (8),0-4,?,SK Rapid Wien (8)
?,(Sat) 14 Sep 2013 (36),Wolfsberger AC (8),3-1,?,FC Admira Wacker Mödling (8)
?,(Sat) 14 Sep 2013 (36),FK Austria Wien (8),2-3,?,SV Grödig (8)
?,(Sat) 14 Sep 2013 (36),SC Wiener Neustadt (8),1-3,?,SK Sturm Graz (8)
?,(Sun) 15 Sep 2013 (36),SV Ried (8),0-5,?,FC RB Salzburg (8)
?,(Sat) 21 Sep 2013 (37),SK Sturm Graz (9),1-2,?,FK Austria Wien (9)
?,(Sat) 21 Sep 2013 (37),FC Admira Wacker Mödling (9),0-3,?,SC Wiener Neustadt (9)
?,(Sat) 21 Sep 2013 (37),SV Grödig (9),3-3,?,FC Wacker Innsbruck (9)
?,(Sun) 22 Sep 2013 (37),SK Rapid Wien (9),2-0,?,SV Ried (9)
?,(Sun) 22 Sep 2013 (37),FC RB Salzburg (9),2-2,?,Wolfsberger AC (9)
?,(Sat) 28 Sep 2013 (38),SV Ried (10),4-2,?,SV Grödig (10)
?,(Sat) 28 Sep 2013 (38),FC Admira Wacker Mödling (10),1-0,?,FK Austria Wien (10)
?,(Sat) 28 Sep 2013 (38),SK Rapid Wien (10),2-4,?,Wolfsberger AC (10)
?,(Sat) 28 Sep 2013 (38),SK Sturm Graz (10),1-0,?,FC Wacker Innsbruck (10)
?,(Sun) 29 Sep 2013 (38),FC RB Salzburg (10),8-1,?,SC Wiener Neustadt (10)
?,(Sat) 5 Oct 2013 (39),Wolfsberger AC (11),1-1,?,SV Ried (11)
?,(Sat) 5 Oct 2013 (39),SV Grödig (11),0-1,?,SK Sturm Graz (11)
?,(Sat) 5 Oct 2013 (39),FC Wacker Innsbruck (11),3-3,?,FC Admira Wacker Mödling (11)
?,(Sun) 6 Oct 2013 (39),FK Austria Wien (11),1-2,?,FC RB Salzburg (11)
?,(Sun) 6 Oct 2013 (39),SC Wiener Neustadt (11),0-0,?,SK Rapid Wien (11)
?,(Sat) 19 Oct 2013 (41),FC RB Salzburg (12),6-0,?,FC Wacker Innsbruck (12)
?,(Sat) 19 Oct 2013 (41),Wolfsberger AC (12),1-1,?,SC Wiener Neustadt (12)
?,(Sat) 19 Oct 2013 (41),FC Admira Wacker Mödling (12),0-4,?,SV Grödig (12)
?,(Sat) 19 Oct 2013 (41),SV Ried (12),1-1,?,FK Austria Wien (12)
?,(Sun) 20 Oct 2013 (41),SK Rapid Wien (12),2-2,?,SK Sturm Graz (12)
?,(Sat) 26 Oct 2013 (42),FC Wacker Innsbruck (13),1-2,?,Wolfsberger AC (13)
?,(Sat) 26 Oct 2013 (42),SC Wiener Neustadt (13),3-3,?,SV Ried (13)
?,(Sat) 26 Oct 2013 (42),SK Sturm Graz (13),0-2,?,FC Admira Wacker Mödling (13)
?,(Sun) 27 Oct 2013 (42),FK Austria Wien (13),0-1,?,SK Rapid Wien (13)
?,(Sun) 27 Oct 2013 (42),SV Grödig (13),0-3,?,FC RB Salzburg (13)
?,(Sat) 2 Nov 2013 (43),SK Rapid Wien (14),4-2,?,FC Admira Wacker Mödling (14)
?,(Sat) 2 Nov 2013 (43),Wolfsberger AC (14),1-1,?,SV Grödig (14)
?,(Sat) 2 Nov 2013 (43),SV Ried (14),4-0,?,FC Wacker Innsbruck (14)
?,(Sat) 2 Nov 2013 (43),FC RB Salzburg (14),1-0,?,SK Sturm Graz (14)
?,(Sun) 3 Nov 2013 (43),SC Wiener Neustadt (14),0-3,?,FK Austria Wien (14)
?,(Sat) 9 Nov 2013 (44),FC Wacker Innsbruck (15),4-0,?,SC Wiener Neustadt (15)
?,(Sat) 9 Nov 2013 (44),FK Austria Wien (15),1-0,?,Wolfsberger AC (15)
?,(Sun) 10 Nov 2013 (44),SV Grödig (15),2-2,?,SK Rapid Wien (15)
?,(Sun) 10 Nov 2013 (44),FC Admira Wacker Mödling (15),3-1,?,FC RB Salzburg (15)
?,(Sat) 23 Nov 2013 (46),SC Wiener Neustadt (16),0-2,?,SV Grödig (16)
?,(Sat) 23 Nov 2013 (46),SV Ried (15),2-2,?,FC Admira Wacker Mödling (16)
?,(Sat) 23 Nov 2013 (46),FC Wacker Innsbruck (16),0-5,?,FK Austria Wien (16)
?,(Sun) 24 Nov 2013 (46),SK Rapid Wien (16),2-1,?,FC RB Salzburg (16)
?,(Wed) 27 Nov 2013 (47),SK Sturm Graz (15),2-0,?,SV Ried (16)
?,(Sat) 30 Nov 2013 (47),SV Grödig (17),1-0,?,FK Austria Wien (17)
?,(Sat) 30 Nov 2013 (47),FC Admira Wacker Mödling (17),3-0,?,Wolfsberger AC (16)
?,(Sat) 30 Nov 2013 (47),SK Sturm Graz (16),2-3,?,SC Wiener Neustadt (17)
?,(Sun) 1 Dec 2013 (47),FC RB Salzburg (17),4-0,?,SV Ried (17)
?,(Sun) 1 Dec 2013 (47),SK Rapid Wien (17),3-0,?,FC Wacker Innsbruck (17)
?,(Tue) 3 Dec 2013 (48),FK Austria Wien (18),3-2,?,SK Sturm Graz (17)
?,(Wed) 4 Dec 2013 (48),Wolfsberger AC (17),1-2,?,FC RB Salzburg (18)
?,(Wed) 4 Dec 2013 (48),SC Wiener Neustadt (18),1-0,?,FC Admira Wacker Mödling (18)
