Round,Date,Team 1,FT,Team 2
1,Thu Jul 12 2012,Floridsdorfer AC,0-1,SCR Altach
1,Fri Jul 13 2012,Deutschlandsberger SC,1-2,TSV Hartberg
1,Fri Jul 13 2012,FC Gratkorn,0-0,FC Wacker Innsbruck
1,Fri Jul 13 2012,SC-ESV Parndorf,0-3,FC Admira Wacker Mödling
1,Fri Jul 13 2012,Union Vöcklamarkt,3-4,FC Lustenau 07
1,Fri Jul 13 2012,WSG Tirol,0-1,SK Sturm Graz
1,Fri Jul 13 2012,FC Pinzgau Saalfelden,0-4,SV Grödig
1,Fri Jul 13 2012,Union St. Florian,2-1,FC Blau-Weiß Linz
1,Fri Jul 13 2012,Austria Klagenfurt,3-2,SV Horn
1,Fri Jul 13 2012,Grazer AK,2-2,First Vienna FC
1,Fri Jul 13 2012,Wiener Sport-Club,0-2,FC RB Salzburg
1,Fri Jul 13 2012,FC Hard,1-0,SC Schwaz
1,Fri Jul 13 2012,FC Pasching,2-1,Austria Salzburg
1,Fri Jul 13 2012,SC Kalsdorf,3-1,SV Wallern
1,Fri Jul 13 2012,Villacher SV,4-2,FC Rohrendorf/Gedersdorf
1,Fri Jul 13 2012,SKU Amstetten,0-1,SV Schwechat
1,Fri Jul 13 2012,SAK 1914,0-5,USV Allerheiligen
1,Sat Jul 14 2012,ASK Bad Vöslau,1-0,SKN St. Pölten
1,Sat Jul 14 2012,SC Ostbahn XI,1-8,Wolfsberger AC
1,Sat Jul 14 2012,SV Oberwart,1-3,FK Austria Wien
1,Sat Jul 14 2012,DSV Leoben,1-3,SV Mattersburg
1,Sat Jul 14 2012,SC Retz,1-7,Austria Lustenau
1,Sat Jul 14 2012,SW Bregenz,1-2,Kapfenberger SV
1,Sat Jul 14 2012,FC Kufstein,1-4,SV Ried
1,Sat Jul 14 2012,SV Stegersbach,2-2,SV Reutte
1,Sat Jul 14 2012,SV Grün-Weiß Micheldorf,0-1,Wiener Viktoria
1,Sat Jul 14 2012,SAK Klagenfurt,1-2,TSV St. Johann
1,Sat Jul 14 2012,LASK Linz,7-0,SV Spittal/Drau
1,Sat Jul 14 2012,SV Gaflenz,1-2,1. SC Sollenau
1,Sat Jul 14 2012,SCU Ardagger,2-2,FC Dornbirn 1913
1,Sun Jul 15 2012,FC Wolfurt,2-2,SC Wiener Neustadt
1,Sun Jul 15 2012,SV Heiligenkreuz,0-5,SK Rapid Wien
2,Mon Sep 24 2012,SC Kalsdorf,3-0,TSV Hartberg
2,Tue Sep 25 2012,Wiener Viktoria,2-2,Kapfenberger SV
2,Tue Sep 25 2012,FC Hard,0-3,SCR Altach
2,Tue Sep 25 2012,SV Stegersbach,1-3,FC RB Salzburg
2,Tue Sep 25 2012,FC Pasching,1-1,Austria Lustenau
2,Tue Sep 25 2012,Austria Klagenfurt,0-0,FC Admira Wacker Mödling
2,Tue Sep 25 2012,SV Schwechat,0-5,SK Sturm Graz
2,Tue Sep 25 2012,LASK Linz,2-0,SV Grödig
2,Tue Sep 25 2012,TSV St. Johann,0-3,FC Lustenau 07
2,Tue Sep 25 2012,1. SC Sollenau,1-1,FC Wacker Innsbruck
2,Tue Sep 25 2012,Villacher SV,3-1,SC Wiener Neustadt
2,Tue Sep 25 2012,FC Dornbirn 1913,2-3,FK Austria Wien
2,Wed Sep 26 2012,ASK Bad Vöslau,2-3,SV Mattersburg
2,Wed Sep 26 2012,Union St. Florian,1-1,SV Ried
2,Wed Sep 26 2012,USV Allerheiligen,1-4,SK Rapid Wien
2,Wed Sep 26 2012,Grazer AK,0-6,Wolfsberger AC
Achtelfinale,Tue Oct 30 2012,SK Sturm Graz,1-2,FC Wacker Innsbruck
Achtelfinale,Tue Oct 30 2012,FC Lustenau 07,1-2,Wolfsberger AC
Achtelfinale,Tue Oct 30 2012,FC Pasching,2-1,Austria Klagenfurt
Achtelfinale,Tue Oct 30 2012,LASK Linz,2-2,SV Mattersburg
Achtelfinale,Tue Oct 30 2012,Wiener Viktoria,0-1,SV Ried
Achtelfinale,Wed Oct 31 2012,SC Kalsdorf,1-3,FC RB Salzburg
Achtelfinale,Wed Oct 31 2012,Villacher SV,0-4,FK Austria Wien
Achtelfinale,Wed Oct 31 2012,SK Rapid Wien,2-2,SCR Altach
Viertelfinale,Tue Apr 16 2013,SK Rapid Wien,0-1,FC Pasching
Viertelfinale,Tue Apr 16 2013,FC Wacker Innsbruck,0-3,FC RB Salzburg
Viertelfinale,Wed Apr 17 2013,Wolfsberger AC,1-2,FK Austria Wien
Viertelfinale,Wed Apr 17 2013,SV Ried,1-1,LASK Linz
Halbfinale,Tue May 7 2013,FC RB Salzburg,1-2,FC Pasching
Halbfinale,Wed May 8 2013,SV Ried,1-3,FK Austria Wien
Finale,Thu May 30 2013,FK Austria Wien,0-1,FC Pasching
