Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 22 Jul 2017 (29),SK Rapid Wien (1),2-2,?,SV Mattersburg (1)
?,(Sat) 22 Jul 2017 (29),Wolfsberger AC (1),0-2,?,FC RB Salzburg (1)
?,(Sat) 22 Jul 2017 (29),LASK Linz (1),3-0,?,FC Admira Wacker Mödling (1)
?,(Sun) 23 Jul 2017 (29),SCR Altach (1),3-0,?,FK Austria Wien (1)
?,(Sun) 23 Jul 2017 (29),SK Sturm Graz (1),3-2,?,SKN St. Pölten (1)
?,(Sat) 29 Jul 2017 (30),FC RB Salzburg (2),1-1,?,LASK Linz (2)
?,(Sat) 29 Jul 2017 (30),SV Mattersburg (2),1-0,?,Wolfsberger AC (2)
?,(Sat) 29 Jul 2017 (30),SKN St. Pölten (2),1-4,?,SK Rapid Wien (2)
?,(Sun) 30 Jul 2017 (30),FK Austria Wien (2),2-3,?,SK Sturm Graz (2)
?,(Sun) 30 Jul 2017 (30),FC Admira Wacker Mödling (2),4-1,?,SCR Altach (2)
?,(Sat) 5 Aug 2017 (31),LASK Linz (3),2-0,?,SKN St. Pölten (3)
?,(Sat) 5 Aug 2017 (31),FC RB Salzburg (3),5-1,?,FC Admira Wacker Mödling (3)
?,(Sun) 6 Aug 2017 (31),Wolfsberger AC (3),1-0,?,SCR Altach (3)
?,(Sun) 6 Aug 2017 (31),SK Rapid Wien (3),2-2,?,FK Austria Wien (3)
?,(Sun) 6 Aug 2017 (31),SV Mattersburg (3),2-3,?,SK Sturm Graz (3)
?,(Sat) 12 Aug 2017 (32),SCR Altach (4),0-1,?,FC RB Salzburg (4)
?,(Sat) 12 Aug 2017 (32),FK Austria Wien (4),2-0,?,LASK Linz (4)
?,(Sat) 12 Aug 2017 (32),SKN St. Pölten (4),0-0,?,SV Mattersburg (4)
?,(Sat) 12 Aug 2017 (32),SK Sturm Graz (4),2-1,?,Wolfsberger AC (4)
?,(Sun) 13 Aug 2017 (32),FC Admira Wacker Mödling (4),3-1,?,SK Rapid Wien (4)
?,(Sat) 19 Aug 2017 (33),SK Rapid Wien (5),1-2,?,SK Sturm Graz (5)
?,(Sat) 19 Aug 2017 (33),Wolfsberger AC (5),2-0,?,FC Admira Wacker Mödling (5)
?,(Sun) 20 Aug 2017 (33),LASK Linz (5),0-0,?,SCR Altach (5)
?,(Sun) 20 Aug 2017 (33),FC RB Salzburg (5),5-1,?,SKN St. Pölten (5)
?,(Sun) 20 Aug 2017 (33),SV Mattersburg (5),1-3,?,FK Austria Wien (5)
?,(Sat) 26 Aug 2017 (34),Wolfsberger AC (6),2-1,?,SKN St. Pölten (6)
?,(Sat) 26 Aug 2017 (34),SK Rapid Wien (6),1-0,?,LASK Linz (6)
?,(Sun) 27 Aug 2017 (34),SCR Altach (6),1-0,?,SV Mattersburg (6)
?,(Sun) 27 Aug 2017 (34),SK Sturm Graz (6),1-0,?,FC RB Salzburg (6)
?,(Sun) 27 Aug 2017 (34),FC Admira Wacker Mödling (6),1-3,?,FK Austria Wien (6)
?,(Sat) 9 Sep 2017 (36),LASK Linz (7),2-1,?,SK Sturm Graz (7)
?,(Sat) 9 Sep 2017 (36),FK Austria Wien (7),2-2,?,Wolfsberger AC (7)
?,(Sat) 9 Sep 2017 (36),SV Mattersburg (7),0-5,?,FC Admira Wacker Mödling (7)
?,(Sat) 9 Sep 2017 (36),SKN St. Pölten (7),1-2,?,SCR Altach (7)
?,(Sun) 10 Sep 2017 (36),FC RB Salzburg (7),2-2,?,SK Rapid Wien (7)
?,(Sat) 16 Sep 2017 (37),SCR Altach (8),2-2,?,SK Rapid Wien (8)
?,(Sat) 16 Sep 2017 (37),Wolfsberger AC (8),0-0,?,LASK Linz (8)
?,(Sat) 16 Sep 2017 (37),FC Admira Wacker Mödling (8),2-1,?,SK Sturm Graz (8)
?,(Sun) 17 Sep 2017 (37),SV Mattersburg (8),1-2,?,FC RB Salzburg (8)
?,(Sun) 17 Sep 2017 (37),FK Austria Wien (8),5-1,?,SKN St. Pölten (8)
?,(Sat) 23 Sep 2017 (38),SK Rapid Wien (9),4-2,?,Wolfsberger AC (9)
?,(Sat) 23 Sep 2017 (38),LASK Linz (9),2-2,?,SV Mattersburg (9)
?,(Sat) 23 Sep 2017 (38),SKN St. Pölten (9),1-1,?,FC Admira Wacker Mödling (9)
?,(Sat) 23 Sep 2017 (38),SK Sturm Graz (9),0-0,?,SCR Altach (9)
?,(Sun) 24 Sep 2017 (38),FC RB Salzburg (9),0-0,?,FK Austria Wien (9)
?,(Sat) 30 Sep 2017 (39),SKN St. Pölten (10),0-3,?,SK Sturm Graz (10)
?,(Sat) 30 Sep 2017 (39),FC Admira Wacker Mödling (10),4-2,?,LASK Linz (10)
?,(Sat) 30 Sep 2017 (39),SV Mattersburg (10),0-1,?,SK Rapid Wien (10)
?,(Sun) 1 Oct 2017 (39),FK Austria Wien (10),2-0,?,SCR Altach (10)
?,(Sun) 1 Oct 2017 (39),FC RB Salzburg (10),2-1,?,Wolfsberger AC (10)
?,(Sat) 14 Oct 2017 (41),LASK Linz (11),1-3,?,FC RB Salzburg (11)
?,(Sat) 14 Oct 2017 (41),Wolfsberger AC (11),2-2,?,SV Mattersburg (11)
?,(Sat) 14 Oct 2017 (41),SCR Altach (11),2-2,?,FC Admira Wacker Mödling (11)
?,(Sat) 14 Oct 2017 (41),SK Rapid Wien (11),1-0,?,SKN St. Pölten (11)
?,(Sun) 15 Oct 2017 (41),SK Sturm Graz (11),3-0,?,FK Austria Wien (11)
?,(Sat) 21 Oct 2017 (42),SK Sturm Graz (12),3-2,?,SV Mattersburg (12)
?,(Sat) 21 Oct 2017 (42),SCR Altach (12),3-2,?,Wolfsberger AC (12)
?,(Sat) 21 Oct 2017 (42),SKN St. Pölten (12),0-1,?,LASK Linz (12)
?,(Sun) 22 Oct 2017 (42),FC Admira Wacker Mödling (12),1-1,?,FC RB Salzburg (12)
?,(Sun) 22 Oct 2017 (42),FK Austria Wien (12),0-1,?,SK Rapid Wien (12)
?,(Sat) 28 Oct 2017 (43),SK Rapid Wien (13),1-0,?,FC Admira Wacker Mödling (13)
?,(Sat) 28 Oct 2017 (43),LASK Linz (13),2-2,?,FK Austria Wien (13)
?,(Sat) 28 Oct 2017 (43),SV Mattersburg (13),1-1,?,SKN St. Pölten (13)
?,(Sat) 28 Oct 2017 (43),FC RB Salzburg (13),2-0,?,SCR Altach (13)
?,(Sun) 29 Oct 2017 (43),Wolfsberger AC (13),0-2,?,SK Sturm Graz (13)
?,(Sat) 4 Nov 2017 (44),SK Sturm Graz (14),0-0,?,SK Rapid Wien (14)
?,(Sat) 4 Nov 2017 (44),FC Admira Wacker Mödling (14),0-0,?,Wolfsberger AC (14)
?,(Sat) 4 Nov 2017 (44),SCR Altach (14),2-4,?,LASK Linz (14)
?,(Sun) 5 Nov 2017 (44),FK Austria Wien (14),1-3,?,SV Mattersburg (14)
?,(Sun) 5 Nov 2017 (44),SKN St. Pölten (14),1-3,?,FC RB Salzburg (14)
?,(Sat) 18 Nov 2017 (46),LASK Linz (15),1-2,?,SK Rapid Wien (15)
?,(Sat) 18 Nov 2017 (46),FK Austria Wien (15),2-3,?,FC Admira Wacker Mödling (15)
?,(Sat) 18 Nov 2017 (46),SV Mattersburg (15),1-0,?,SCR Altach (15)
?,(Sat) 18 Nov 2017 (46),SKN St. Pölten (15),0-0,?,Wolfsberger AC (15)
?,(Sun) 19 Nov 2017 (46),FC RB Salzburg (15),5-0,?,SK Sturm Graz (15)
?,(Sat) 25 Nov 2017 (47),SK Sturm Graz (16),1-0,?,LASK Linz (16)
?,(Sat) 25 Nov 2017 (47),FC Admira Wacker Mödling (16),2-0,?,SV Mattersburg (16)
?,(Sat) 25 Nov 2017 (47),SCR Altach (16),3-0,?,SKN St. Pölten (16)
?,(Sun) 26 Nov 2017 (47),Wolfsberger AC (16),1-2,?,FK Austria Wien (16)
?,(Sun) 26 Nov 2017 (47),SK Rapid Wien (16),2-3,?,FC RB Salzburg (16)
?,(Tue) 28 Nov 2017 (48),SK Sturm Graz (17),6-1,?,FC Admira Wacker Mödling (17)
?,(Wed) 29 Nov 2017 (48),LASK Linz (17),2-0,?,Wolfsberger AC (17)
?,(Wed) 29 Nov 2017 (48),FC RB Salzburg (17),2-0,?,SV Mattersburg (17)
?,(Wed) 29 Nov 2017 (48),SKN St. Pölten (17),1-0,?,FK Austria Wien (17)
?,(Wed) 29 Nov 2017 (48),SK Rapid Wien (17),1-2,?,SCR Altach (17)
?,(Sat) 2 Dec 2017 (48),Wolfsberger AC (18),0-0,?,SK Rapid Wien (18)
?,(Sat) 2 Dec 2017 (48),FC Admira Wacker Mödling (18),1-0,?,SKN St. Pölten (18)
?,(Sat) 2 Dec 2017 (48),SCR Altach (18),1-2,?,SK Sturm Graz (18)
?,(Sat) 2 Dec 2017 (48),SV Mattersburg (18),1-0,?,LASK Linz (18)
?,(Sun) 3 Dec 2017 (48),FK Austria Wien (18),1-1,?,FC RB Salzburg (18)
?,(Sat) 9 Dec 2017 (49),SK Rapid Wien (19),2-2,?,SV Mattersburg (19)
?,(Sat) 9 Dec 2017 (49),LASK Linz (19),2-1,?,FC Admira Wacker Mödling (19)
?,(Sat) 9 Dec 2017 (49),SK Sturm Graz (19),3-2,?,SKN St. Pölten (19)
?,(Sun) 10 Dec 2017 (49),SCR Altach (19),1-0,?,FK Austria Wien (19)
?,(Sun) 10 Dec 2017 (49),Wolfsberger AC (19),0-0,?,FC RB Salzburg (19)
?,(Sat) 16 Dec 2017 (50),FC RB Salzburg (20),0-0,?,LASK Linz (20)
?,(Sat) 16 Dec 2017 (50),FC Admira Wacker Mödling (20),3-1,?,SCR Altach (20)
?,(Sat) 16 Dec 2017 (50),SV Mattersburg (20),5-1,?,Wolfsberger AC (20)
?,(Sat) 16 Dec 2017 (50),SKN St. Pölten (20),0-5,?,SK Rapid Wien (20)
?,(Sun) 17 Dec 2017 (50),FK Austria Wien (20),1-0,?,SK Sturm Graz (20)
?,(Sat) 3 Feb 2018 (5),SV Mattersburg (21),1-0,?,SK Sturm Graz (21)
?,(Sat) 3 Feb 2018 (5),Wolfsberger AC (21),0-0,?,SCR Altach (21)
?,(Sat) 3 Feb 2018 (5),LASK Linz (21),2-1,?,SKN St. Pölten (21)
?,(Sat) 3 Feb 2018 (5),FC RB Salzburg (21),2-1,?,FC Admira Wacker Mödling (21)
?,(Sun) 4 Feb 2018 (5),SK Rapid Wien (21),1-1,?,FK Austria Wien (21)
?,(Sat) 10 Feb 2018 (6),SCR Altach (22),0-1,?,FC RB Salzburg (22)
?,(Sat) 10 Feb 2018 (6),FK Austria Wien (22),1-3,?,LASK Linz (22)
?,(Sat) 10 Feb 2018 (6),SKN St. Pölten (22),0-3,?,SV Mattersburg (22)
?,(Sat) 10 Feb 2018 (6),SK Sturm Graz (22),0-1,?,Wolfsberger AC (22)
?,(Sun) 11 Feb 2018 (6),FC Admira Wacker Mödling (22),2-1,?,SK Rapid Wien (22)
?,(Sat) 17 Feb 2018 (7),SK Rapid Wien (23),1-1,?,SK Sturm Graz (23)
?,(Sat) 17 Feb 2018 (7),Wolfsberger AC (23),1-3,?,FC Admira Wacker Mödling (23)
?,(Sat) 17 Feb 2018 (7),LASK Linz (23),2-0,?,SCR Altach (23)
?,(Sat) 17 Feb 2018 (7),SV Mattersburg (23),2-1,?,FK Austria Wien (23)
?,(Sun) 18 Feb 2018 (7),FC RB Salzburg (23),4-0,?,SKN St. Pölten (23)
?,(Sat) 24 Feb 2018 (8),FC Admira Wacker Mödling (24),2-1,?,FK Austria Wien (24)
?,(Sat) 24 Feb 2018 (8),Wolfsberger AC (24),0-1,?,SKN St. Pölten (24)
?,(Sat) 24 Feb 2018 (8),SCR Altach (24),1-1,?,SV Mattersburg (24)
?,(Sat) 24 Feb 2018 (8),SK Rapid Wien (24),2-0,?,LASK Linz (24)
?,(Sun) 25 Feb 2018 (8),SK Sturm Graz (24),2-4,?,FC RB Salzburg (24)
?,(Sat) 3 Mar 2018 (9),LASK Linz (25),0-2,?,SK Sturm Graz (25)
?,(Sat) 3 Mar 2018 (9),FK Austria Wien (25),2-0,?,Wolfsberger AC (25)
?,(Sat) 3 Mar 2018 (9),SV Mattersburg (25),3-2,?,FC Admira Wacker Mödling (25)
?,(Sat) 3 Mar 2018 (9),SKN St. Pölten (25),1-2,?,SCR Altach (25)
?,(Sun) 4 Mar 2018 (9),FC RB Salzburg (25),1-0,?,SK Rapid Wien (25)
?,(Sat) 10 Mar 2018 (10),SCR Altach (26),0-0,?,SK Rapid Wien (26)
?,(Sat) 10 Mar 2018 (10),Wolfsberger AC (26),0-3,?,LASK Linz (26)
?,(Sat) 10 Mar 2018 (10),FC Admira Wacker Mödling (26),2-4,?,SK Sturm Graz (26)
?,(Sat) 10 Mar 2018 (10),FK Austria Wien (26),4-0,?,SKN St. Pölten (26)
?,(Sun) 11 Mar 2018 (10),SV Mattersburg (26),2-2,?,FC RB Salzburg (26)
?,(Sat) 17 Mar 2018 (11),SK Rapid Wien (27),5-1,?,Wolfsberger AC (27)
?,(Sat) 17 Mar 2018 (11),LASK Linz (27),3-1,?,SV Mattersburg (27)
?,(Sat) 17 Mar 2018 (11),SKN St. Pölten (27),1-2,?,FC Admira Wacker Mödling (27)
?,(Sat) 17 Mar 2018 (11),SK Sturm Graz (27),1-0,?,SCR Altach (27)
?,(Sun) 18 Mar 2018 (11),FC RB Salzburg (27),5-0,?,FK Austria Wien (27)
?,(Sat) 31 Mar 2018 (13),FC Admira Wacker Mödling (28),0-1,?,LASK Linz (28)
?,(Sat) 31 Mar 2018 (13),FK Austria Wien (28),2-1,?,SCR Altach (28)
?,(Sat) 31 Mar 2018 (13),FC RB Salzburg (28),2-0,?,Wolfsberger AC (28)
?,(Sat) 31 Mar 2018 (13),SKN St. Pölten (28),1-5,?,SK Sturm Graz (28)
?,(Sun) 1 Apr 2018 (13),SV Mattersburg (28),2-4,?,SK Rapid Wien (28)
?,(Sat) 7 Apr 2018 (14),SK Sturm Graz (29),0-2,?,FK Austria Wien (29)
?,(Sat) 7 Apr 2018 (14),Wolfsberger AC (29),0-2,?,SV Mattersburg (29)
?,(Sat) 7 Apr 2018 (14),SCR Altach (29),1-2,?,FC Admira Wacker Mödling (29)
?,(Sat) 7 Apr 2018 (14),SK Rapid Wien (29),2-1,?,SKN St. Pölten (29)
?,(Sun) 8 Apr 2018 (14),LASK Linz (29),1-0,?,FC RB Salzburg (29)
?,(Sat) 14 Apr 2018 (15),SK Sturm Graz (30),3-0,?,SV Mattersburg (30)
?,(Sat) 14 Apr 2018 (15),SCR Altach (30),2-1,?,Wolfsberger AC (30)
?,(Sat) 14 Apr 2018 (15),SKN St. Pölten (30),1-3,?,LASK Linz (30)
?,(Sun) 15 Apr 2018 (15),FK Austria Wien (30),0-4,?,SK Rapid Wien (30)
?,(Sun) 15 Apr 2018 (15),FC Admira Wacker Mödling (30),2-6,?,FC RB Salzburg (30)
?,(Sat) 21 Apr 2018 (16),Wolfsberger AC (31),2-1,?,SK Sturm Graz (31)
?,(Sat) 21 Apr 2018 (16),LASK Linz (31),1-0,?,FK Austria Wien (31)
?,(Sat) 21 Apr 2018 (16),SV Mattersburg (31),1-1,?,SKN St. Pölten (31)
?,(Sun) 22 Apr 2018 (16),FC RB Salzburg (31),3-1,?,SCR Altach (31)
?,(Sun) 22 Apr 2018 (16),SK Rapid Wien (31),4-1,?,FC Admira Wacker Mödling (31)
?,(Sat) 28 Apr 2018 (17),FK Austria Wien (32),2-3,?,SV Mattersburg (32)
?,(Sat) 28 Apr 2018 (17),FC Admira Wacker Mödling (32),4-2,?,Wolfsberger AC (32)
?,(Sat) 28 Apr 2018 (17),SCR Altach (32),0-2,?,LASK Linz (32)
?,(Sun) 29 Apr 2018 (17),SK Sturm Graz (32),4-2,?,SK Rapid Wien (32)
?,(Sun) 29 Apr 2018 (17),SKN St. Pölten (32),0-2,?,FC RB Salzburg (32)
?,(Sat) 5 May 2018 (18),LASK Linz (33),0-2,?,SK Rapid Wien (33)
?,(Sat) 5 May 2018 (18),FK Austria Wien (33),0-0,?,FC Admira Wacker Mödling (33)
?,(Sat) 5 May 2018 (18),SV Mattersburg (33),0-1,?,SCR Altach (33)
?,(Sat) 5 May 2018 (18),SKN St. Pölten (33),0-1,?,Wolfsberger AC (33)
?,(Sun) 6 May 2018 (18),FC RB Salzburg (33),4-1,?,SK Sturm Graz (33)
?,(Sat) 12 May 2018 (19),SK Sturm Graz (34),3-1,?,LASK Linz (34)
?,(Sat) 12 May 2018 (19),FC Admira Wacker Mödling (34),1-1,?,SV Mattersburg (34)
?,(Sat) 12 May 2018 (19),SCR Altach (34),1-3,?,SKN St. Pölten (34)
?,(Sun) 13 May 2018 (19),SK Rapid Wien (34),1-4,?,FC RB Salzburg (34)
?,(Tue) 15 May 2018 (20),Wolfsberger AC (34),2-1,?,FK Austria Wien (34)
?,(Sun) 20 May 2018 (20),LASK Linz (35),1-3,?,Wolfsberger AC (35)
?,(Sun) 20 May 2018 (20),SK Rapid Wien (35),4-1,?,SCR Altach (35)
?,(Sun) 20 May 2018 (20),FC RB Salzburg (35),1-0,?,SV Mattersburg (35)
?,(Sun) 20 May 2018 (20),SKN St. Pölten (35),2-0,?,FK Austria Wien (35)
?,(Sun) 20 May 2018 (20),SK Sturm Graz (35),2-0,?,FC Admira Wacker Mödling (35)
?,(Sun) 27 May 2018 (21),Wolfsberger AC (36),0-0,?,SK Rapid Wien (36)
?,(Sun) 27 May 2018 (21),FC Admira Wacker Mödling (36),0-2,?,SKN St. Pölten (36)
?,(Sun) 27 May 2018 (21),SCR Altach (36),0-0,?,SK Sturm Graz (36)
?,(Sun) 27 May 2018 (21),FK Austria Wien (36),4-0,?,FC RB Salzburg (36)
?,(Sun) 27 May 2018 (21),SV Mattersburg (36),2-1,?,LASK Linz (36)
?,(Thu) 31 May 2018 (22),SC Wiener Neustadt (1),0-2,?,SKN St. Pölten (37)
?,(Sun) 3 Jun 2018 (22),SKN St. Pölten (38),1-1,?,SC Wiener Neustadt (2)
