Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 22 Jul 2017 (29),Rapid Vienna (1),2-2,?,Mattersburg (1)
?,(Sat) 22 Jul 2017 (29),AC Wolfsberger (1),0-2,?,Salzburg (1)
?,(Sat) 22 Jul 2017 (29),LASK Linz (1),3-0,?,Admira (1)
?,(Sun) 23 Jul 2017 (29),Altach (1),3-0,?,Austria Vienna (1)
?,(Sun) 23 Jul 2017 (29),Sturm Graz (1),3-2,?,St. Polten (1)
?,(Sat) 29 Jul 2017 (30),Salzburg (2),1-1,?,LASK Linz (2)
?,(Sat) 29 Jul 2017 (30),Mattersburg (2),1-0,?,AC Wolfsberger (2)
?,(Sat) 29 Jul 2017 (30),St. Polten (2),1-4,?,Rapid Vienna (2)
?,(Sun) 30 Jul 2017 (30),Austria Vienna (2),2-3,?,Sturm Graz (2)
?,(Sun) 30 Jul 2017 (30),Admira (2),4-1,?,Altach (2)
?,(Sat) 5 Aug 2017 (31),LASK Linz (3),2-0,?,St. Polten (3)
?,(Sat) 5 Aug 2017 (31),Salzburg (3),5-1,?,Admira (3)
?,(Sun) 6 Aug 2017 (31),AC Wolfsberger (3),1-0,?,Altach (3)
?,(Sun) 6 Aug 2017 (31),Rapid Vienna (3),2-2,?,Austria Vienna (3)
?,(Sun) 6 Aug 2017 (31),Mattersburg (3),2-3,?,Sturm Graz (3)
?,(Sat) 12 Aug 2017 (32),Altach (4),0-1,?,Salzburg (4)
?,(Sat) 12 Aug 2017 (32),Austria Vienna (4),2-0,?,LASK Linz (4)
?,(Sat) 12 Aug 2017 (32),St. Polten (4),0-0,?,Mattersburg (4)
?,(Sat) 12 Aug 2017 (32),Sturm Graz (4),2-1,?,AC Wolfsberger (4)
?,(Sun) 13 Aug 2017 (32),Admira (4),3-1,?,Rapid Vienna (4)
?,(Sat) 19 Aug 2017 (33),Rapid Vienna (5),1-2,?,Sturm Graz (5)
?,(Sat) 19 Aug 2017 (33),AC Wolfsberger (5),2-0,?,Admira (5)
?,(Sun) 20 Aug 2017 (33),LASK Linz (5),0-0,?,Altach (5)
?,(Sun) 20 Aug 2017 (33),Salzburg (5),5-1,?,St. Polten (5)
?,(Sun) 20 Aug 2017 (33),Mattersburg (5),1-3,?,Austria Vienna (5)
?,(Sat) 26 Aug 2017 (34),AC Wolfsberger (6),2-1,?,St. Polten (6)
?,(Sat) 26 Aug 2017 (34),Rapid Vienna (6),1-0,?,LASK Linz (6)
?,(Sun) 27 Aug 2017 (34),Altach (6),1-0,?,Mattersburg (6)
?,(Sun) 27 Aug 2017 (34),Sturm Graz (6),1-0,?,Salzburg (6)
?,(Sun) 27 Aug 2017 (34),Admira (6),1-3,?,Austria Vienna (6)
?,(Sat) 9 Sep 2017 (36),LASK Linz (7),2-1,?,Sturm Graz (7)
?,(Sat) 9 Sep 2017 (36),Austria Vienna (7),2-2,?,AC Wolfsberger (7)
?,(Sat) 9 Sep 2017 (36),Mattersburg (7),0-5,?,Admira (7)
?,(Sat) 9 Sep 2017 (36),St. Polten (7),1-2,?,Altach (7)
?,(Sun) 10 Sep 2017 (36),Salzburg (7),2-2,?,Rapid Vienna (7)
?,(Sat) 16 Sep 2017 (37),Altach (8),2-2,?,Rapid Vienna (8)
?,(Sat) 16 Sep 2017 (37),AC Wolfsberger (8),0-0,?,LASK Linz (8)
?,(Sat) 16 Sep 2017 (37),Admira (8),2-1,?,Sturm Graz (8)
?,(Sun) 17 Sep 2017 (37),Mattersburg (8),1-2,?,Salzburg (8)
?,(Sun) 17 Sep 2017 (37),Austria Vienna (8),5-1,?,St. Polten (8)
?,(Sat) 23 Sep 2017 (38),Rapid Vienna (9),4-2,?,AC Wolfsberger (9)
?,(Sat) 23 Sep 2017 (38),LASK Linz (9),2-2,?,Mattersburg (9)
?,(Sat) 23 Sep 2017 (38),St. Polten (9),1-1,?,Admira (9)
?,(Sat) 23 Sep 2017 (38),Sturm Graz (9),0-0,?,Altach (9)
?,(Sun) 24 Sep 2017 (38),Salzburg (9),0-0,?,Austria Vienna (9)
?,(Sat) 30 Sep 2017 (39),St. Polten (10),0-3,?,Sturm Graz (10)
?,(Sat) 30 Sep 2017 (39),Admira (10),4-2,?,LASK Linz (10)
?,(Sat) 30 Sep 2017 (39),Mattersburg (10),0-1,?,Rapid Vienna (10)
?,(Sun) 1 Oct 2017 (39),Austria Vienna (10),2-0,?,Altach (10)
?,(Sun) 1 Oct 2017 (39),Salzburg (10),2-1,?,AC Wolfsberger (10)
?,(Sat) 14 Oct 2017 (41),LASK Linz (11),1-3,?,Salzburg (11)
?,(Sat) 14 Oct 2017 (41),AC Wolfsberger (11),2-2,?,Mattersburg (11)
?,(Sat) 14 Oct 2017 (41),Altach (11),2-2,?,Admira (11)
?,(Sat) 14 Oct 2017 (41),Rapid Vienna (11),1-0,?,St. Polten (11)
?,(Sun) 15 Oct 2017 (41),Sturm Graz (11),3-0,?,Austria Vienna (11)
?,(Sat) 21 Oct 2017 (42),Sturm Graz (12),3-2,?,Mattersburg (12)
?,(Sat) 21 Oct 2017 (42),Altach (12),3-2,?,AC Wolfsberger (12)
?,(Sat) 21 Oct 2017 (42),St. Polten (12),0-1,?,LASK Linz (12)
?,(Sun) 22 Oct 2017 (42),Admira (12),1-1,?,Salzburg (12)
?,(Sun) 22 Oct 2017 (42),Austria Vienna (12),0-1,?,Rapid Vienna (12)
