Round,Date,Team 1,FT,Team 2
7,Sat Aug 29 2015,SV Grödig,4-1,SV Ried
7,Sun Aug 30 2015,SK Sturm Graz,2-3,FC RB Salzburg
7,Sun Aug 30 2015,Wolfsberger AC,0-2,SCR Altach
8,Sat Sep 12 2015,SCR Altach,2-0,SK Rapid Wien
8,Sat Sep 12 2015,FC RB Salzburg,4-2,SV Grödig
8,Sat Sep 12 2015,FK Austria Wien,1-1,SV Ried
8,Sat Sep 12 2015,FC Admira Wacker Mödling,1-0,Wolfsberger AC
8,Sun Sep 13 2015,SV Mattersburg,2-0,SK Sturm Graz
9,Sat Sep 19 2015,SK Sturm Graz,2-0,FK Austria Wien
9,Sat Sep 19 2015,Wolfsberger AC,1-1,FC RB Salzburg
9,Sat Sep 19 2015,SV Ried,2-0,SCR Altach
9,Sat Sep 19 2015,SV Grödig,1-1,SV Mattersburg
9,Sun Sep 20 2015,SK Rapid Wien,2-0,FC Admira Wacker Mödling
10,Sat Sep 26 2015,SV Ried,0-1,SK Rapid Wien
10,Sat Sep 26 2015,FC RB Salzburg,4-2,SV Mattersburg
10,Sat Sep 26 2015,SCR Altach,1-0,SV Grödig
10,Sat Sep 26 2015,FK Austria Wien,1-0,Wolfsberger AC
10,Sun Sep 27 2015,FC Admira Wacker Mödling,0-1,SK Sturm Graz
11,Sat Oct 3 2015,SV Grödig,3-0,SK Sturm Graz
11,Sat Oct 3 2015,Wolfsberger AC,1-1,SV Ried
11,Sat Oct 3 2015,SV Mattersburg,0-4,FC Admira Wacker Mödling
11,Sat Oct 3 2015,SCR Altach,1-2,FK Austria Wien
11,Sun Oct 4 2015,SK Rapid Wien,1-2,FC RB Salzburg
12,Sat Oct 17 2015,FC RB Salzburg,8-0,FC Admira Wacker Mödling
12,Sat Oct 17 2015,FK Austria Wien,2-1,SV Grödig
12,Sat Oct 17 2015,SV Ried,0-1,SV Mattersburg
12,Sat Oct 17 2015,SK Sturm Graz,3-1,SCR Altach
12,Sun Oct 18 2015,Wolfsberger AC,2-1,SK Rapid Wien
13,Sat Oct 24 2015,SV Mattersburg,2-1,SCR Altach
13,Sat Oct 24 2015,FC RB Salzburg,2-1,SV Ried
13,Sat Oct 24 2015,SK Sturm Graz,2-0,Wolfsberger AC
13,Sat Oct 24 2015,FC Admira Wacker Mödling,0-0,SV Grödig
13,Sun Oct 25 2015,SK Rapid Wien,1-2,FK Austria Wien
14,Sat Oct 31 2015,SK Rapid Wien,2-1,SK Sturm Graz
14,Sat Oct 31 2015,SV Ried,1-1,FC Admira Wacker Mödling
14,Sat Oct 31 2015,SV Grödig,1-0,Wolfsberger AC
14,Sat Oct 31 2015,SCR Altach,1-0,FC RB Salzburg
14,Sun Nov 1 2015,SV Mattersburg,1-2,FK Austria Wien
15,Sat Nov 7 2015,FK Austria Wien,1-1,FC RB Salzburg
15,Sat Nov 7 2015,FC Admira Wacker Mödling,1-1,SCR Altach
15,Sat Nov 7 2015,SK Sturm Graz,3-2,SV Ried
15,Sat Nov 7 2015,Wolfsberger AC,2-1,SV Mattersburg
15,Sun Nov 8 2015,SV Grödig,2-1,SK Rapid Wien
16,Sat Nov 21 2015,FK Austria Wien,1-1,FC Admira Wacker Mödling
16,Sat Nov 21 2015,SV Mattersburg,1-6,SK Rapid Wien
16,Sat Nov 21 2015,SCR Altach,2-1,Wolfsberger AC
16,Sat Nov 21 2015,SV Ried,1-0,SV Grödig
16,Sun Nov 22 2015,FC RB Salzburg,3-1,SK Sturm Graz
17,Sat Nov 28 2015,SK Sturm Graz,0-0,SV Mattersburg
17,Sat Nov 28 2015,SV Grödig,1-1,FC RB Salzburg
17,Sat Nov 28 2015,Wolfsberger AC,4-0,FC Admira Wacker Mödling
17,Sun Nov 29 2015,SV Ried,4-2,FK Austria Wien
17,Sun Nov 29 2015,SK Rapid Wien,3-1,SCR Altach
18,Tue Dec 1 2015,FC RB Salzburg,1-1,Wolfsberger AC
18,Wed Dec 2 2015,FC Admira Wacker Mödling,2-1,SK Rapid Wien
18,Wed Dec 2 2015,SCR Altach,1-3,SV Ried
18,Wed Dec 2 2015,SV Mattersburg,0-2,SV Grödig
18,Wed Dec 2 2015,FK Austria Wien,2-1,SK Sturm Graz
19,Sat Dec 5 2015,Wolfsberger AC,2-0,FK Austria Wien
19,Sat Dec 5 2015,SK Rapid Wien,2-1,SV Ried
19,Sat Dec 5 2015,SK Sturm Graz,1-1,FC Admira Wacker Mödling
19,Sat Dec 5 2015,SV Grödig,0-3,SCR Altach
19,Sun Dec 6 2015,SV Mattersburg,0-0,FC RB Salzburg
20,Sat Dec 12 2015,FK Austria Wien,1-2,SCR Altach
20,Sat Dec 12 2015,SK Sturm Graz,2-0,SV Grödig
20,Sat Dec 12 2015,SV Ried,1-0,Wolfsberger AC
20,Sat Dec 12 2015,FC Admira Wacker Mödling,1-1,SV Mattersburg
20,Sun Dec 13 2015,FC RB Salzburg,2-0,SK Rapid Wien
21,Sat Feb 6 2016,SCR Altach,2-2,SK Sturm Graz
21,Sat Feb 6 2016,SK Rapid Wien,3-0,Wolfsberger AC
21,Sat Feb 6 2016,SV Grödig,0-1,FK Austria Wien
21,Sat Feb 6 2016,SV Mattersburg,3-3,SV Ried
21,Sun Feb 7 2016,FC Admira Wacker Mödling,1-2,FC RB Salzburg
22,Sat Feb 13 2016,SV Ried,1-0,FC RB Salzburg
22,Sat Feb 13 2016,SCR Altach,1-2,SV Mattersburg
22,Sat Feb 13 2016,Wolfsberger AC,0-0,SK Sturm Graz
22,Sat Feb 13 2016,SV Grödig,2-2,FC Admira Wacker Mödling
22,Sun Feb 14 2016,FK Austria Wien,0-3,SK Rapid Wien
23,Sat Feb 20 2016,FK Austria Wien,2-2,SV Mattersburg
23,Sat Feb 20 2016,FC RB Salzburg,2-0,SCR Altach
23,Sat Feb 20 2016,Wolfsberger AC,2-0,SV Grödig
23,Sat Feb 20 2016,FC Admira Wacker Mödling,0-0,SV Ried
23,Sun Feb 21 2016,SK Sturm Graz,0-2,SK Rapid Wien
24,Sat Feb 27 2016,SV Ried,0-1,SK Sturm Graz
24,Sat Feb 27 2016,SCR Altach,1-2,FC Admira Wacker Mödling
24,Sat Feb 27 2016,SV Mattersburg,1-1,Wolfsberger AC
24,Sun Feb 28 2016,SK Rapid Wien,3-2,SV Grödig
24,Sun Feb 28 2016,FC RB Salzburg,4-1,FK Austria Wien
25,Tue Mar 1 2016,Wolfsberger AC,1-0,SCR Altach
25,Wed Mar 2 2016,SK Rapid Wien,3-0,SV Mattersburg
25,Wed Mar 2 2016,SV Grödig,2-2,SV Ried
25,Wed Mar 2 2016,FC Admira Wacker Mödling,0-3,FK Austria Wien
25,Wed Mar 2 2016,SK Sturm Graz,0-0,FC RB Salzburg
26,Sat Mar 5 2016,FC RB Salzburg,3-0,SV Grödig
26,Sat Mar 5 2016,FK Austria Wien,3-1,SV Ried
26,Sat Mar 5 2016,FC Admira Wacker Mödling,0-2,Wolfsberger AC
26,Sat Mar 5 2016,SV Mattersburg,1-0,SK Sturm Graz
26,Sun Mar 6 2016,SCR Altach,0-0,SK Rapid Wien
27,Sat Mar 12 2016,Wolfsberger AC,1-1,FC RB Salzburg
27,Sat Mar 12 2016,SK Rapid Wien,0-4,FC Admira Wacker Mödling
27,Sat Mar 12 2016,SV Ried,0-2,SCR Altach
27,Sat Mar 12 2016,SV Grödig,0-1,SV Mattersburg
27,Sun Mar 13 2016,SK Sturm Graz,1-1,FK Austria Wien
28,Sat Mar 19 2016,FK Austria Wien,0-0,Wolfsberger AC
28,Sat Mar 19 2016,FC Admira Wacker Mödling,1-0,SK Sturm Graz
28,Sat Mar 19 2016,SCR Altach,1-0,SV Grödig
28,Sat Mar 19 2016,FC RB Salzburg,2-1,SV Mattersburg
28,Sun Mar 20 2016,SV Ried,1-0,SK Rapid Wien
29,Sat Apr 2 2016,SV Grödig,1-3,SK Sturm Graz
29,Sat Apr 2 2016,Wolfsberger AC,1-0,SV Ried
29,Sat Apr 2 2016,SCR Altach,2-0,FK Austria Wien
29,Sat Apr 2 2016,SV Mattersburg,0-3,FC Admira Wacker Mödling
29,Sun Apr 3 2016,SK Rapid Wien,1-1,FC RB Salzburg
30,Sat Apr 9 2016,SK Sturm Graz,4-1,SCR Altach
30,Sat Apr 9 2016,Wolfsberger AC,2-2,SK Rapid Wien
30,Sat Apr 9 2016,FK Austria Wien,0-2,SV Grödig
30,Sat Apr 9 2016,SV Ried,1-0,SV Mattersburg
30,Sun Apr 10 2016,FC RB Salzburg,1-0,FC Admira Wacker Mödling
31,Sat Apr 16 2016,FC RB Salzburg,2-1,SV Ried
31,Sat Apr 16 2016,SV Mattersburg,0-0,SCR Altach
31,Sat Apr 16 2016,SK Sturm Graz,1-0,Wolfsberger AC
31,Sat Apr 16 2016,FC Admira Wacker Mödling,1-1,SV Grödig
31,Sun Apr 17 2016,SK Rapid Wien,1-0,FK Austria Wien
32,Sat Apr 23 2016,SV Mattersburg,0-9,FK Austria Wien
32,Sat Apr 23 2016,SCR Altach,1-3,FC RB Salzburg
32,Sat Apr 23 2016,SV Grödig,0-1,Wolfsberger AC
32,Sat Apr 23 2016,SV Ried,1-0,FC Admira Wacker Mödling
32,Sun Apr 24 2016,SK Rapid Wien,2-0,SK Sturm Graz
33,Sat Apr 30 2016,SV Grödig,2-0,SK Rapid Wien
33,Sat Apr 30 2016,FC Admira Wacker Mödling,2-1,SCR Altach
33,Sat Apr 30 2016,SK Sturm Graz,0-0,SV Ried
33,Sat Apr 30 2016,Wolfsberger AC,2-0,SV Mattersburg
33,Sun May 1 2016,FK Austria Wien,0-2,FC RB Salzburg
34,Sat May 7 2016,FK Austria Wien,3-1,FC Admira Wacker Mödling
34,Sat May 7 2016,FC RB Salzburg,1-1,SK Sturm Graz
34,Sat May 7 2016,SCR Altach,1-1,Wolfsberger AC
34,Sat May 7 2016,SV Ried,2-0,SV Grödig
34,Sun May 8 2016,SV Mattersburg,0-2,SK Rapid Wien
35,Wed May 11 2016,SV Grödig,1-2,FC RB Salzburg
35,Wed May 11 2016,SK Rapid Wien,1-1,SCR Altach
35,Wed May 11 2016,SV Ried,0-5,FK Austria Wien
35,Wed May 11 2016,Wolfsberger AC,1-2,FC Admira Wacker Mödling
35,Wed May 11 2016,SK Sturm Graz,1-1,SV Mattersburg
36,Sun May 15 2016,FC Admira Wacker Mödling,1-3,SK Rapid Wien
36,Sun May 15 2016,FK Austria Wien,3-0,SK Sturm Graz
36,Sun May 15 2016,FC RB Salzburg,1-0,Wolfsberger AC
36,Sun May 15 2016,SCR Altach,0-0,SV Ried
36,Sun May 15 2016,SV Mattersburg,2-3,SV Grödig
