Round,Date,Team 1,FT,Team 2
1,Sat Jul 25 2015,SV Mattersburg,2-1,FC RB Salzburg
1,Sat Jul 25 2015,SK Sturm Graz,1-1,FC Admira Wacker Mödling
1,Sat Jul 25 2015,SK Rapid Wien,3-0,SV Ried
1,Sat Jul 25 2015,SV Grödig,2-1,SCR Altach
1,Sun Jul 26 2015,Wolfsberger AC,0-2,FK Austria Wien
2,Sat Aug 1 2015,FC RB Salzburg,1-2,SK Rapid Wien
2,Sat Aug 1 2015,FC Admira Wacker Mödling,2-1,SV Mattersburg
2,Sun Aug 2 2015,SV Ried,0-0,Wolfsberger AC
2,Sun Aug 2 2015,FK Austria Wien,3-1,SCR Altach
2,Sun Aug 2 2015,SK Sturm Graz,1-1,SV Grödig
3,Sat Aug 8 2015,SV Grödig,2-2,FK Austria Wien
3,Sat Aug 8 2015,SV Mattersburg,4-1,SV Ried
3,Sat Aug 8 2015,FC Admira Wacker Mödling,2-2,FC RB Salzburg
3,Sun Aug 9 2015,SCR Altach,0-1,SK Sturm Graz
3,Sun Aug 9 2015,SK Rapid Wien,2-1,Wolfsberger AC
4,Tue Aug 11 2015,SV Ried,1-4,FC RB Salzburg
4,Wed Aug 12 2015,Wolfsberger AC,0-2,SK Sturm Graz
4,Wed Aug 12 2015,SCR Altach,3-1,SV Mattersburg
4,Wed Aug 12 2015,SV Grödig,2-3,FC Admira Wacker Mödling
4,Wed Aug 12 2015,FK Austria Wien,2-5,SK Rapid Wien
5,Sat Aug 15 2015,FK Austria Wien,5-1,SV Mattersburg
5,Sat Aug 15 2015,FC Admira Wacker Mödling,3-1,SV Ried
5,Sat Aug 15 2015,Wolfsberger AC,3-2,SV Grödig
5,Sat Aug 15 2015,FC RB Salzburg,2-0,SCR Altach
5,Sun Aug 16 2015,SK Sturm Graz,2-2,SK Rapid Wien
6,Sat Aug 22 2015,SK Rapid Wien,3-0,SV Grödig
6,Sat Aug 22 2015,SV Ried,1-0,SK Sturm Graz
6,Sat Aug 22 2015,SV Mattersburg,1-0,Wolfsberger AC
6,Sun Aug 23 2015,FC RB Salzburg,2-2,FK Austria Wien
6,Sun Aug 23 2015,SCR Altach,1-2,FC Admira Wacker Mödling
7,Sat Aug 29 2015,FC Admira Wacker Mödling,0-1,FK Austria Wien
7,Sat Aug 29 2015,SK Rapid Wien,2-4,SV Mattersburg
