Round,Date,Team 1,FT,Team 2
1,Fri Jul 24 2015,LASK Linz,2-1,Floridsdorfer AC
1,Fri Jul 24 2015,FC Wacker Innsbruck,0-0,Kapfenberger SV
1,Fri Jul 24 2015,Austria Lustenau,2-0,SC Wiener Neustadt
1,Fri Jul 24 2015,Austria Klagenfurt,4-0,FC Liefering
1,Fri Jul 24 2015,SKN St. Pölten,2-2,Austria Salzburg
2,Fri Jul 31 2015,FC Liefering,2-1,SKN St. Pölten
2,Fri Jul 31 2015,Kapfenberger SV,1-0,Austria Lustenau
2,Fri Jul 31 2015,Floridsdorfer AC,1-5,FC Wacker Innsbruck
2,Fri Jul 31 2015,Austria Salzburg,1-1,Austria Klagenfurt
2,Fri Jul 31 2015,SC Wiener Neustadt,0-0,LASK Linz
3,Mon Aug 3 2015,FC Wacker Innsbruck,1-2,LASK Linz
3,Tue Aug 4 2015,Kapfenberger SV,5-2,FC Liefering
3,Tue Aug 4 2015,Austria Lustenau,0-1,SKN St. Pölten
3,Tue Aug 4 2015,Austria Salzburg,3-0,SC Wiener Neustadt
3,Tue Aug 4 2015,Austria Klagenfurt,1-0,Floridsdorfer AC
4,Fri Aug 7 2015,SC Wiener Neustadt,0-2,Kapfenberger SV
4,Fri Aug 7 2015,LASK Linz,2-0,Austria Klagenfurt
4,Fri Aug 7 2015,SKN St. Pölten,0-3,FC Wacker Innsbruck
4,Fri Aug 7 2015,Floridsdorfer AC,1-3,Austria Lustenau
4,Fri Aug 7 2015,FC Liefering,5-3,Austria Salzburg
5,Fri Aug 14 2015,Kapfenberger SV,1-3,SKN St. Pölten
5,Fri Aug 14 2015,FC Wacker Innsbruck,4-1,FC Liefering
5,Fri Aug 14 2015,Austria Lustenau,2-1,LASK Linz
5,Fri Aug 14 2015,Austria Salzburg,2-1,Floridsdorfer AC
5,Fri Aug 14 2015,Austria Klagenfurt,1-0,SC Wiener Neustadt
6,Fri Aug 21 2015,FC Liefering,0-1,SC Wiener Neustadt
6,Fri Aug 21 2015,SKN St. Pölten,1-1,Austria Klagenfurt
6,Fri Aug 21 2015,FC Wacker Innsbruck,1-0,Austria Lustenau
6,Fri Aug 21 2015,Floridsdorfer AC,0-3,Kapfenberger SV
6,Fri Aug 21 2015,LASK Linz,2-0,Austria Salzburg
7,Fri Aug 28 2015,SC Wiener Neustadt,1-0,Floridsdorfer AC
7,Fri Aug 28 2015,LASK Linz,1-0,SKN St. Pölten
7,Fri Aug 28 2015,Austria Lustenau,1-2,FC Liefering
7,Fri Aug 28 2015,Austria Salzburg,3-4,FC Wacker Innsbruck
7,Fri Aug 28 2015,Austria Klagenfurt,5-1,Kapfenberger SV
8,Fri Sep 11 2015,FC Liefering,4-1,Floridsdorfer AC
8,Fri Sep 11 2015,Kapfenberger SV,1-5,LASK Linz
8,Fri Sep 11 2015,SKN St. Pölten,2-0,SC Wiener Neustadt
8,Fri Sep 11 2015,FC Wacker Innsbruck,4-2,Austria Klagenfurt
8,Fri Sep 11 2015,Austria Lustenau,0-2,Austria Salzburg
9,Tue Sep 15 2015,SC Wiener Neustadt,1-2,FC Wacker Innsbruck
9,Tue Sep 15 2015,LASK Linz,1-2,FC Liefering
9,Tue Sep 15 2015,Floridsdorfer AC,0-1,SKN St. Pölten
9,Tue Sep 15 2015,Austria Salzburg,0-2,Kapfenberger SV
9,Tue Sep 15 2015,Austria Klagenfurt,1-1,Austria Lustenau
10,Fri Sep 18 2015,Floridsdorfer AC,0-2,LASK Linz
10,Fri Sep 18 2015,Austria Salzburg,1-5,SKN St. Pölten
10,Fri Sep 18 2015,Kapfenberger SV,1-4,FC Wacker Innsbruck
10,Fri Sep 18 2015,SC Wiener Neustadt,1-3,Austria Lustenau
10,Fri Sep 18 2015,FC Liefering,4-1,Austria Klagenfurt
11,Fri Sep 25 2015,LASK Linz,0-0,SC Wiener Neustadt
11,Fri Sep 25 2015,SKN St. Pölten,1-0,FC Liefering
11,Fri Sep 25 2015,Austria Lustenau,1-2,Kapfenberger SV
11,Fri Sep 25 2015,FC Wacker Innsbruck,1-1,Floridsdorfer AC
11,Fri Sep 25 2015,Austria Klagenfurt,1-1,Austria Salzburg
12,Fri Oct 2 2015,FC Liefering,5-1,Kapfenberger SV
12,Fri Oct 2 2015,LASK Linz,0-1,FC Wacker Innsbruck
12,Fri Oct 2 2015,SKN St. Pölten,0-1,Austria Lustenau
12,Fri Oct 2 2015,SC Wiener Neustadt,2-0,Austria Salzburg
12,Fri Oct 2 2015,Floridsdorfer AC,1-3,Austria Klagenfurt
13,Fri Oct 16 2015,Kapfenberger SV,0-1,SC Wiener Neustadt
13,Fri Oct 16 2015,Austria Salzburg,2-2,FC Liefering
13,Fri Oct 16 2015,Austria Klagenfurt,2-2,LASK Linz
13,Fri Oct 16 2015,FC Wacker Innsbruck,1-3,SKN St. Pölten
13,Fri Oct 16 2015,Austria Lustenau,1-0,Floridsdorfer AC
