Round,Date,Team 1,FT,Team 2
1,Fri Jul 26 2019,SV Ried,1-3,Austria Klagenfurt
1,Fri Jul 26 2019,FC Blau-Weiß Linz,1-1,Kapfenberger SV
1,Fri Jul 26 2019,FC Liefering,2-3,SKU Amstetten
1,Fri Jul 26 2019,Young Violets Austria Wien,1-5,SV Horn
1,Fri Jul 26 2019,SV Lafnitz,0-0,FC Juniors OÖ
1,Fri Jul 26 2019,SK Vorwärts Steyr,2-0,FC Wacker Innsbruck
1,Fri Jul 26 2019,FC Dornbirn 1913,1-3,Austria Lustenau
1,Sun Jul 28 2019,Floridsdorfer AC,2-0,Grazer AK
2,Fri Aug 2 2019,Austria Lustenau,1-1,SV Ried
2,Fri Aug 2 2019,Kapfenberger SV,1-2,SV Lafnitz
2,Fri Aug 2 2019,FC Juniors OÖ,3-1,SK Vorwärts Steyr
2,Fri Aug 2 2019,SKU Amstetten,3-2,Young Violets Austria Wien
2,Fri Aug 2 2019,SV Horn,2-2,Floridsdorfer AC
2,Fri Aug 2 2019,Grazer AK,2-0,FC Blau-Weiß Linz
2,Sun Aug 4 2019,FC Wacker Innsbruck,1-0,FC Dornbirn 1913
2,Sun Aug 4 2019,Austria Klagenfurt,4-4,FC Liefering
3,Fri Aug 9 2019,FC Juniors OÖ,1-0,Kapfenberger SV
3,Fri Aug 9 2019,Floridsdorfer AC,2-0,FC Wacker Innsbruck
3,Fri Aug 9 2019,Young Violets Austria Wien,0-2,Austria Lustenau
3,Fri Aug 9 2019,SV Lafnitz,2-0,FC Liefering
3,Fri Aug 9 2019,SK Vorwärts Steyr,0-1,FC Blau-Weiß Linz
3,Fri Aug 9 2019,FC Dornbirn 1913,0-0,Austria Klagenfurt
3,Fri Aug 9 2019,Grazer AK,0-0,SV Horn
3,Sun Aug 11 2019,SV Ried,4-1,SKU Amstetten
4,Fri Aug 16 2019,FC Wacker Innsbruck,2-1,FC Juniors OÖ
4,Fri Aug 16 2019,Kapfenberger SV,1-2,Austria Klagenfurt
4,Fri Aug 16 2019,FC Blau-Weiß Linz,4-3,Young Violets Austria Wien
4,Fri Aug 16 2019,SKU Amstetten,0-2,FC Dornbirn 1913
4,Fri Aug 16 2019,FC Liefering,3-2,SV Horn
4,Fri Aug 16 2019,SV Lafnitz,0-1,SV Ried
4,Fri Aug 16 2019,SK Vorwärts Steyr,1-0,Floridsdorfer AC
4,Sun Aug 18 2019,Austria Lustenau,0-2,Grazer AK
5,Fri Aug 23 2019,FC Wacker Innsbruck,2-1,SKU Amstetten
5,Fri Aug 23 2019,SV Ried,1-2,Grazer AK
5,Fri Aug 23 2019,FC Juniors OÖ,8-5,Austria Lustenau
5,Fri Aug 23 2019,Floridsdorfer AC,0-0,FC Liefering
5,Fri Aug 23 2019,Young Violets Austria Wien,2-3,SV Lafnitz
5,Fri Aug 23 2019,SV Horn,1-4,SK Vorwärts Steyr
5,Sat Aug 24 2019,FC Dornbirn 1913,6-1,Kapfenberger SV
5,Sun Aug 25 2019,Austria Klagenfurt,3-1,FC Blau-Weiß Linz
6,Fri Aug 30 2019,Kapfenberger SV,2-3,SV Ried
6,Fri Aug 30 2019,FC Blau-Weiß Linz,1-0,FC Wacker Innsbruck
6,Fri Aug 30 2019,SKU Amstetten,2-4,SV Horn
6,Fri Aug 30 2019,FC Liefering,2-1,Young Violets Austria Wien
6,Fri Aug 30 2019,SV Lafnitz,0-3,Austria Klagenfurt
6,Fri Aug 30 2019,Grazer AK,2-1,FC Juniors OÖ
6,Sat Aug 31 2019,SK Vorwärts Steyr,3-2,FC Dornbirn 1913
6,Sun Sep 1 2019,Austria Lustenau,1-2,Floridsdorfer AC
7,Fri Sep 13 2019,SKU Amstetten,2-1,SK Vorwärts Steyr
7,Fri Sep 13 2019,Austria Klagenfurt,3-3,Austria Lustenau
7,Fri Sep 13 2019,Floridsdorfer AC,1-1,SV Lafnitz
7,Fri Sep 13 2019,Young Violets Austria Wien,0-0,SV Ried
7,Fri Sep 13 2019,SV Horn,5-1,Kapfenberger SV
7,Sat Sep 14 2019,FC Wacker Innsbruck,2-0,Grazer AK
7,Sat Sep 14 2019,FC Dornbirn 1913,2-2,FC Liefering
7,Sun Sep 15 2019,FC Juniors OÖ,0-5,FC Blau-Weiß Linz
8,Fri Sep 20 2019,SV Ried,3-1,FC Juniors OÖ
8,Fri Sep 20 2019,Austria Lustenau,2-1,FC Blau-Weiß Linz
8,Fri Sep 20 2019,Kapfenberger SV,1-1,SKU Amstetten
8,Fri Sep 20 2019,SV Lafnitz,2-3,SV Horn
8,Fri Sep 20 2019,Grazer AK,1-2,Austria Klagenfurt
8,Sat Sep 21 2019,FC Liefering,2-2,FC Wacker Innsbruck
8,Sat Sep 21 2019,Floridsdorfer AC,0-3,FC Dornbirn 1913
8,Sun Sep 22 2019,SK Vorwärts Steyr,0-0,Young Violets Austria Wien
9,Fri Sep 27 2019,Kapfenberger SV,0-2,FC Liefering
9,Fri Sep 27 2019,SKU Amstetten,1-2,FC Juniors OÖ
9,Fri Sep 27 2019,Young Violets Austria Wien,4-1,Floridsdorfer AC
9,Fri Sep 27 2019,SV Horn,2-4,Austria Lustenau
9,Sat Sep 28 2019,FC Wacker Innsbruck,0-3,SV Lafnitz
9,Sat Sep 28 2019,FC Dornbirn 1913,3-1,Grazer AK
9,Sun Sep 29 2019,FC Blau-Weiß Linz,2-3,SV Ried
9,Sun Sep 29 2019,Austria Klagenfurt,1-1,SK Vorwärts Steyr
10,Fri Oct 4 2019,FC Juniors OÖ,0-2,Austria Klagenfurt
10,Fri Oct 4 2019,FC Wacker Innsbruck,1-2,Kapfenberger SV
10,Fri Oct 4 2019,SV Ried,1-0,SK Vorwärts Steyr
10,Fri Oct 4 2019,Floridsdorfer AC,0-2,SKU Amstetten
10,Fri Oct 4 2019,SV Horn,2-4,FC Blau-Weiß Linz
10,Sat Oct 5 2019,Grazer AK,2-3,Young Violets Austria Wien
10,Sat Oct 5 2019,SV Lafnitz,1-1,FC Dornbirn 1913
10,Sun Oct 6 2019,Austria Lustenau,3-2,FC Liefering
11,Fri Oct 18 2019,FC Blau-Weiß Linz,2-3,Floridsdorfer AC
11,Fri Oct 18 2019,Austria Klagenfurt,2-0,SV Horn
11,Fri Oct 18 2019,SKU Amstetten,1-1,SV Lafnitz
11,Fri Oct 18 2019,Young Violets Austria Wien,1-2,FC Wacker Innsbruck
11,Fri Oct 18 2019,SK Vorwärts Steyr,3-1,Austria Lustenau
11,Sat Oct 19 2019,FC Liefering,0-1,SV Ried
11,Sat Oct 19 2019,FC Dornbirn 1913,2-2,FC Juniors OÖ
11,Sun Oct 20 2019,Kapfenberger SV,2-0,Grazer AK
12,Fri Oct 25 2019,FC Wacker Innsbruck,2-3,SV Ried
12,Fri Oct 25 2019,Austria Lustenau,3-2,Kapfenberger SV
12,Fri Oct 25 2019,SKU Amstetten,2-2,FC Blau-Weiß Linz
12,Fri Oct 25 2019,SV Lafnitz,1-1,SK Vorwärts Steyr
12,Fri Oct 25 2019,Grazer AK,1-1,FC Liefering
12,Sat Oct 26 2019,FC Juniors OÖ,2-4,Young Violets Austria Wien
12,Sat Oct 26 2019,SV Horn,1-1,FC Dornbirn 1913
