Stage,Round,Date,Team 1,FT,Team 2
Europa League Play-off,Halbfinale,Mon Jul 8 2019,FK Austria Wien,1-0,SCR Altach
Europa League Play-off,Finale,Thu Jul 11 2019,FK Austria Wien,2-3,TSV Hartberg
Europa League Play-off,Finale,Mon Jul 15 2019,TSV Hartberg,0-0,FK Austria Wien
Grunddurchgang,1,Fri Jul 26 2019,SK Rapid Wien,0-2,FC RB Salzburg
Grunddurchgang,1,Sat Jul 27 2019,FC Admira Wacker Mödling,0-3,Wolfsberger AC
Grunddurchgang,1,Sat Jul 27 2019,WSG Tirol,3-1,FK Austria Wien
Grunddurchgang,1,Sun Jul 28 2019,SK Sturm Graz,3-0,SKN St. Pölten
Grunddurchgang,1,Sun Jul 28 2019,LASK Linz,2-0,SCR Altach
Grunddurchgang,1,Sun Jul 28 2019,SV Mattersburg,2-1,TSV Hartberg
Grunddurchgang,2,Sat Aug 3 2019,TSV Hartberg,4-1,FC Admira Wacker Mödling
Grunddurchgang,2,Sat Aug 3 2019,FK Austria Wien,0-3,LASK Linz
Grunddurchgang,2,Sat Aug 3 2019,SCR Altach,3-2,WSG Tirol
Grunddurchgang,2,Sun Aug 4 2019,FC RB Salzburg,4-1,SV Mattersburg
Grunddurchgang,2,Sun Aug 4 2019,Wolfsberger AC,0-1,SK Sturm Graz
Grunddurchgang,2,Sun Aug 4 2019,SKN St. Pölten,2-2,SK Rapid Wien
Grunddurchgang,3,Sat Aug 10 2019,SK Rapid Wien,2-1,SCR Altach
Grunddurchgang,3,Sat Aug 10 2019,FC Admira Wacker Mödling,0-1,LASK Linz
Grunddurchgang,3,Sat Aug 10 2019,FC RB Salzburg,5-2,Wolfsberger AC
Grunddurchgang,3,Sun Aug 11 2019,WSG Tirol,1-1,SKN St. Pölten
Grunddurchgang,3,Sun Aug 11 2019,SV Mattersburg,1-5,FK Austria Wien
Grunddurchgang,3,Sun Aug 11 2019,TSV Hartberg,1-0,SK Sturm Graz
Grunddurchgang,4,Sat Aug 17 2019,Wolfsberger AC,5-0,SV Mattersburg
Grunddurchgang,4,Sat Aug 17 2019,LASK Linz,1-1,WSG Tirol
Grunddurchgang,4,Sat Aug 17 2019,SKN St. Pölten,0-6,FC RB Salzburg
Grunddurchgang,4,Sun Aug 18 2019,FK Austria Wien,1-1,FC Admira Wacker Mödling
Grunddurchgang,4,Sun Aug 18 2019,SCR Altach,3-3,TSV Hartberg
Grunddurchgang,4,Sun Aug 18 2019,SK Sturm Graz,0-1,SK Rapid Wien
Grunddurchgang,5,Sat Aug 24 2019,Wolfsberger AC,5-2,SCR Altach
Grunddurchgang,5,Sat Aug 24 2019,SK Rapid Wien,1-2,LASK Linz
