Round,Date,Team 1,FT,Team 2
1,Fri Jul 19 2019,USK Anif,1-4,SK Sturm Graz
1,Fri Jul 19 2019,SK Treibach,1-2,WSG Tirol
1,Fri Jul 19 2019,FC Langenegg,1-4,Austria Klagenfurt
1,Fri Jul 19 2019,ASK-BSC Bruck/Leitha,0-4,SV Ried
1,Fri Jul 19 2019,ATSV Wolfsberg,4-1,ASK Elektra Wien
1,Fri Jul 19 2019,FC Kitzbühel,0-7,FC Wacker Innsbruck
1,Fri Jul 19 2019,SV Hall,1-5,FC Juniors OÖ
1,Fri Jul 19 2019,ASK Ebreichsdorf,1-1,SV Lafnitz
1,Fri Jul 19 2019,TuS Bad Gleichenberg,2-3,SK Vorwärts Steyr
1,Fri Jul 19 2019,FC Gleisdorf 09,4-0,ASV Draßburg
1,Fri Jul 19 2019,Union Gurten,1-0,FC Zell am See
1,Fri Jul 19 2019,SV Seekirchen,1-4,SKU Amstetten
1,Fri Jul 19 2019,Wiener Sport-Club,2-6,FC Dornbirn 1913
1,Fri Jul 19 2019,FC Mauerwerk,1-2,FC Marchfeld
1,Fri Jul 19 2019,SC-ESV Parndorf,1-7,FC RB Salzburg
1,Sat Jul 20 2019,FC Wolfurt,0-3,Floridsdorfer AC
1,Sat Jul 20 2019,Wiener Viktoria,2-2,TSV Hartberg
1,Sat Jul 20 2019,SV Gloggnitz,1-2,SKN St. Pölten
1,Sat Jul 20 2019,ASKÖ Köttmannsdorf,0-9,FK Austria Wien
1,Sat Jul 20 2019,SC Pinkafeld,0-10,SV Mattersburg
1,Sat Jul 20 2019,WSC Hertha Wels,1-0,VfB Hohenems
1,Sat Jul 20 2019,ATSV Stadl-Paura,0-5,Austria Lustenau
1,Sat Jul 20 2019,FC Kufstein,1-6,SCR Altach
1,Sat Jul 20 2019,SAK Klagenfurt,0-9,Wolfsberger AC
1,Sat Jul 20 2019,USV St. Anna,1-0,SC Kalsdorf
1,Sat Jul 20 2019,Union Edelweiß Linz,0-5,FC Admira Wacker Mödling
1,Sat Jul 20 2019,FCM Traiskirchen,1-5,SV Horn
1,Sat Jul 20 2019,SV Leobendorf,0-5,FC Blau-Weiß Linz
1,Sat Jul 20 2019,Union Vöcklamarkt,2-6,LASK Linz
1,Sat Jul 20 2019,SC Neusiedl am See,1-6,Grazer AK
1,Sun Jul 21 2019,USV Allerheiligen,1-9,SK Rapid Wien
1,Sun Jul 21 2019,SC Schwaz,1-3,Kapfenberger SV
2,Tue Sep 24 2019,Austria Lustenau,1-1,Floridsdorfer AC
2,Tue Sep 24 2019,Grazer AK,1-2,FC Wacker Innsbruck
2,Tue Sep 24 2019,ASK Ebreichsdorf,2-1,FC Admira Wacker Mödling
2,Tue Sep 24 2019,Union Gurten,2-0,SV Horn
2,Tue Sep 24 2019,FC Gleisdorf 09,3-0,FC Juniors OÖ
2,Tue Sep 24 2019,USV St. Anna,2-0,FC Dornbirn 1913
2,Tue Sep 24 2019,FC Marchfeld,1-2,Kapfenberger SV
2,Tue Sep 24 2019,SKU Amstetten,1-1,FC Blau-Weiß Linz
2,Tue Sep 24 2019,SKN St. Pölten,2-1,SV Mattersburg
2,Wed Sep 25 2019,Wiener Viktoria,1-4,LASK Linz
2,Wed Sep 25 2019,Austria Klagenfurt,2-2,SK Sturm Graz
2,Wed Sep 25 2019,WSG Tirol,5-2,FK Austria Wien
2,Wed Sep 25 2019,ATSV Wolfsberg,0-6,Wolfsberger AC
2,Wed Sep 25 2019,WSC Hertha Wels,1-4,SCR Altach
2,Wed Sep 25 2019,SK Vorwärts Steyr,3-4,SV Ried
2,Wed Sep 25 2019,SK Rapid Wien,1-1,FC RB Salzburg
Achtelfinale,Tue Oct 29 2019,SKN St. Pölten,1-0,SV Ried
Achtelfinale,Tue Oct 29 2019,Union Gurten,2-3,Austria Lustenau
Achtelfinale,Tue Oct 29 2019,USV St. Anna,0-3,SKU Amstetten
Achtelfinale,Tue Oct 29 2019,FC Gleisdorf 09,1-1,WSG Tirol
Achtelfinale,Tue Oct 29 2019,Kapfenberger SV,0-2,SK Sturm Graz
Achtelfinale,Wed Oct 30 2019,ASK Ebreichsdorf,0-5,FC RB Salzburg
Achtelfinale,Wed Oct 30 2019,FC Wacker Innsbruck,1-0,Wolfsberger AC
Achtelfinale,Wed Oct 30 2019,LASK Linz,3-1,SCR Altach
Viertelfinale,Fri Feb 7 2020,SKN St. Pölten,2-2,FC Wacker Innsbruck
Viertelfinale,Sat Feb 8 2020,Austria Lustenau,1-1,WSG Tirol
Viertelfinale,Sat Feb 8 2020,LASK Linz,2-0,SK Sturm Graz
Viertelfinale,Sun Feb 9 2020,SKU Amstetten,0-3,FC RB Salzburg
Halbfinale,Wed Mar 4 2020,Austria Lustenau,1-0,FC Wacker Innsbruck
Halbfinale,Thu Mar 5 2020,FC RB Salzburg,1-0,LASK Linz
Finale,Fri May 29 2020,FC RB Salzburg,5-0,Austria Lustenau
