Round,Date,Team 1,FT,Team 2
1,Fri Jul 11 2014,FC Hard,1-2,SC Ritzing
1,Fri Jul 11 2014,SC Kalsdorf,1-1,TSV Hartberg
1,Fri Jul 11 2014,SC Weiz,2-4,Wolfsberger AC
1,Fri Jul 11 2014,WSG Tirol,1-1,SCR Altach
1,Fri Jul 11 2014,ATSV Wolfsberg,2-1,FC Dornbirn 1913
1,Fri Jul 11 2014,SV Wallern,0-0,Union St. Florian
1,Fri Jul 11 2014,SC-ESV Parndorf,2-3,SV Ried
1,Fri Jul 11 2014,SC Schwaz,1-4,SK Sturm Graz
1,Fri Jul 11 2014,SV Seekirchen,1-4,LASK Linz
1,Fri Jul 11 2014,ASK Kottingbrunn,0-7,Kapfenberger SV
1,Fri Jul 11 2014,Austria Klagenfurt,1-3,SK Vorwärts Steyr
1,Fri Jul 11 2014,SKU Amstetten,0-0,SK Rapid Wien
1,Fri Jul 11 2014,FC Lendorf,0-7,FC Admira Wacker Mödling
1,Fri Jul 11 2014,SV Schwechat,1-4,Floridsdorfer AC
1,Fri Jul 11 2014,First Vienna FC,0-6,FK Austria Wien
1,Sat Jul 12 2014,ATSV Ober-Grafendorf,1-4,FC Lankowitz
1,Sat Jul 12 2014,1. SC Sollenau,1-10,FC RB Salzburg
1,Sat Jul 12 2014,Union Gurten,0-6,SC Wiener Neustadt
1,Sat Jul 12 2014,FC Kitzbühel,5-1,SC Retz
1,Sat Jul 12 2014,Wiener Sport-Club,3-2,Austria Lustenau
1,Sat Jul 12 2014,VfB Hohenems,5-1,USC Eugendorf
1,Sat Jul 12 2014,SV Wimpassing,0-3,SV Horn
1,Sat Jul 12 2014,SR Donaufeld,1-1,FC Wacker Innsbruck
1,Sat Jul 12 2014,FC Höchst,1-2,SV Mattersburg
1,Sat Jul 12 2014,TSV St. Johann,3-0,ASV Spratzern
1,Sat Jul 12 2014,SC Neusiedl am See,5-1,TSV Neumarkt
1,Sat Jul 12 2014,SV Grün-Weiß Micheldorf,2-1,USV Allerheiligen
1,Sat Jul 12 2014,SAK Klagenfurt,1-4,SV Lafnitz
1,Sun Jul 13 2014,FC Gleisdorf 09,1-2,FC Kufstein
1,Sun Jul 13 2014,Technopool Admira,0-8,SKN St. Pölten
1,Sun Jul 13 2014,SV Leobendorf,1-7,SV Grödig
1,Wed Jul 16 2014,Austria Salzburg,2-0,FC Blau-Weiß Linz
2,Mon Sep 22 2014,FC Lankowitz,0-3,LASK Linz
2,Tue Sep 23 2014,FC Kufstein,1-6,Floridsdorfer AC
2,Tue Sep 23 2014,SV Grün-Weiß Micheldorf,0-4,SV Mattersburg
2,Tue Sep 23 2014,SC Neusiedl am See,1-4,Kapfenberger SV
2,Tue Sep 23 2014,TSV St. Johann,1-1,SKN St. Pölten
2,Tue Sep 23 2014,SV Ried,0-1,Wolfsberger AC
2,Tue Sep 23 2014,ATSV Wolfsberg,0-3,FC Wacker Innsbruck
2,Tue Sep 23 2014,SC Ritzing,2-0,SV Horn
2,Tue Sep 23 2014,SV Lafnitz,0-2,TSV Hartberg
2,Tue Sep 23 2014,SK Vorwärts Steyr,0-2,SV Grödig
2,Tue Sep 23 2014,Austria Salzburg,0-5,SK Sturm Graz
2,Wed Sep 24 2014,SV Wallern,0-1,SK Rapid Wien
2,Wed Sep 24 2014,FC Kitzbühel,0-5,FK Austria Wien
2,Wed Sep 24 2014,VfB Hohenems,0-5,SCR Altach
2,Wed Sep 24 2014,SC Wiener Neustadt,2-2,FC Admira Wacker Mödling
2,Wed Sep 24 2014,Wiener Sport-Club,1-12,FC RB Salzburg
Achtelfinale,Tue Oct 28 2014,Wolfsberger AC,3-2,SC Wiener Neustadt
Achtelfinale,Tue Oct 28 2014,SC Ritzing,1-3,Floridsdorfer AC
Achtelfinale,Tue Oct 28 2014,TSV Hartberg,0-6,FK Austria Wien
Achtelfinale,Wed Oct 29 2014,FC Wacker Innsbruck,0-0,FC RB Salzburg
Achtelfinale,Wed Oct 29 2014,Kapfenberger SV,5-3,LASK Linz
Achtelfinale,Wed Oct 29 2014,SCR Altach,1-1,SV Mattersburg
Achtelfinale,Wed Oct 29 2014,SKN St. Pölten,0-1,SV Grödig
Achtelfinale,Wed Oct 29 2014,SK Rapid Wien,1-0,SK Sturm Graz
Viertelfinale,Tue Apr 7 2015,Wolfsberger AC,2-1,SK Rapid Wien
Viertelfinale,Tue Apr 7 2015,SV Grödig,2-1,Floridsdorfer AC
Viertelfinale,Tue Apr 7 2015,Kapfenberger SV,0-2,FK Austria Wien
Viertelfinale,Wed Apr 8 2015,SCR Altach,0-4,FC RB Salzburg
Halbfinale,Tue Apr 28 2015,SV Grödig,0-2,FC RB Salzburg
Halbfinale,Wed Apr 29 2015,Wolfsberger AC,0-3,FK Austria Wien
Finale,Wed Jun 3 2015,FK Austria Wien,0-0,FC RB Salzburg
