Round,Date,Team 1,FT,Team 2
1,Sat Jul 19 2014,FC RB Salzburg,6-1,SK Rapid Wien
1,Sat Jul 19 2014,SV Ried,3-1,SC Wiener Neustadt
1,Sat Jul 19 2014,FC Admira Wacker Mödling,1-4,Wolfsberger AC
1,Sat Jul 19 2014,SCR Altach,1-0,SK Sturm Graz
1,Sun Jul 20 2014,FK Austria Wien,1-1,SV Grödig
2,Sat Jul 26 2014,Wolfsberger AC,4-0,FK Austria Wien
2,Sat Jul 26 2014,SC Wiener Neustadt,0-5,FC RB Salzburg
2,Sat Jul 26 2014,SK Rapid Wien,1-0,SV Ried
2,Sun Jul 27 2014,SV Grödig,2-1,SK Sturm Graz
3,Sat Aug 2 2014,FC Admira Wacker Mödling,1-1,SK Rapid Wien
3,Sat Aug 2 2014,SV Ried,0-2,FC RB Salzburg
3,Sat Aug 2 2014,FK Austria Wien,0-0,SCR Altach
3,Sat Aug 2 2014,SK Sturm Graz,4-2,SC Wiener Neustadt
3,Sun Aug 3 2014,SV Grödig,0-2,Wolfsberger AC
4,Sat Aug 9 2014,SC Wiener Neustadt,2-2,FK Austria Wien
4,Sat Aug 9 2014,SCR Altach,1-2,Wolfsberger AC
4,Sat Aug 9 2014,SV Ried,1-1,FC Admira Wacker Mödling
4,Sat Aug 9 2014,SK Rapid Wien,1-1,SK Sturm Graz
4,Sun Aug 10 2014,FC RB Salzburg,8-0,SV Grödig
2,Wed Aug 13 2014,SCR Altach,0-2,FC Admira Wacker Mödling
5,Sat Aug 16 2014,SK Rapid Wien,0-1,SCR Altach
5,Sat Aug 16 2014,SV Grödig,3-0,SC Wiener Neustadt
5,Sat Aug 16 2014,Wolfsberger AC,4-1,SV Ried
5,Sat Aug 16 2014,FC Admira Wacker Mödling,0-3,FC RB Salzburg
5,Sun Aug 17 2014,SK Sturm Graz,1-1,FK Austria Wien
6,Sat Aug 23 2014,SK Sturm Graz,1-2,Wolfsberger AC
6,Sat Aug 23 2014,FC RB Salzburg,5-0,SCR Altach
6,Sat Aug 23 2014,SC Wiener Neustadt,5-4,FC Admira Wacker Mödling
6,Sat Aug 23 2014,SV Ried,2-2,SV Grödig
6,Sun Aug 24 2014,FK Austria Wien,2-2,SK Rapid Wien
7,Sat Aug 30 2014,FC Admira Wacker Mödling,2-1,FK Austria Wien
7,Sat Aug 30 2014,SCR Altach,2-2,SV Ried
7,Sat Aug 30 2014,Wolfsberger AC,0-1,SC Wiener Neustadt
7,Sat Aug 30 2014,FC RB Salzburg,2-3,SK Sturm Graz
7,Sun Aug 31 2014,SK Rapid Wien,2-0,SV Grödig
8,Sat Sep 13 2014,FK Austria Wien,3-1,SV Ried
8,Sat Sep 13 2014,SK Sturm Graz,0-2,FC Admira Wacker Mödling
8,Sun Sep 14 2014,Wolfsberger AC,1-0,FC RB Salzburg
8,Wed Sep 17 2014,SV Grödig,3-3,SCR Altach
8,Wed Sep 17 2014,SC Wiener Neustadt,1-5,SK Rapid Wien
9,Sat Sep 20 2014,SK Rapid Wien,3-0,Wolfsberger AC
9,Sat Sep 20 2014,SV Ried,0-1,SK Sturm Graz
9,Sat Sep 20 2014,SCR Altach,2-0,SC Wiener Neustadt
9,Sat Sep 20 2014,FC Admira Wacker Mödling,0-0,SV Grödig
9,Sun Sep 21 2014,FC RB Salzburg,2-3,FK Austria Wien
10,Sat Sep 27 2014,SC Wiener Neustadt,0-1,SV Ried
10,Sat Sep 27 2014,SK Sturm Graz,2-2,SCR Altach
10,Sat Sep 27 2014,Wolfsberger AC,2-1,FC Admira Wacker Mödling
10,Sat Sep 27 2014,SV Grödig,0-0,FK Austria Wien
10,Sun Sep 28 2014,SK Rapid Wien,1-2,FC RB Salzburg
11,Sat Oct 4 2014,FK Austria Wien,0-2,Wolfsberger AC
11,Sat Oct 4 2014,FC Admira Wacker Mödling,0-2,SCR Altach
11,Sat Oct 4 2014,SK Sturm Graz,1-0,SV Grödig
11,Sun Oct 5 2014,FC RB Salzburg,4-1,SC Wiener Neustadt
11,Sun Oct 5 2014,SV Ried,1-2,SK Rapid Wien
12,Sat Oct 18 2014,FC RB Salzburg,4-2,SV Ried
12,Sat Oct 18 2014,SCR Altach,1-1,FK Austria Wien
12,Sat Oct 18 2014,Wolfsberger AC,1-2,SV Grödig
12,Sat Oct 18 2014,SK Rapid Wien,0-0,FC Admira Wacker Mödling
12,Sun Oct 19 2014,SC Wiener Neustadt,0-0,SK Sturm Graz
13,Sat Oct 25 2014,FK Austria Wien,2-0,SC Wiener Neustadt
13,Sat Oct 25 2014,FC Admira Wacker Mödling,0-0,SV Ried
13,Sat Oct 25 2014,Wolfsberger AC,0-0,SCR Altach
13,Sat Oct 25 2014,SK Sturm Graz,1-3,SK Rapid Wien
13,Sun Oct 26 2014,SV Grödig,2-2,FC RB Salzburg
14,Sat Nov 1 2014,FC RB Salzburg,2-0,FC Admira Wacker Mödling
14,Sat Nov 1 2014,FK Austria Wien,0-3,SK Sturm Graz
14,Sat Nov 1 2014,SV Ried,1-0,Wolfsberger AC
14,Sun Nov 2 2014,SCR Altach,2-0,SK Rapid Wien
14,Wed Nov 5 2014,SC Wiener Neustadt,2-4,SV Grödig
15,Sat Nov 8 2014,Wolfsberger AC,0-2,SK Sturm Graz
15,Sat Nov 8 2014,FC Admira Wacker Mödling,1-1,SC Wiener Neustadt
15,Sat Nov 8 2014,SV Grödig,0-1,SV Ried
15,Sun Nov 9 2014,SK Rapid Wien,2-3,FK Austria Wien
15,Sun Nov 9 2014,SCR Altach,4-1,FC RB Salzburg
16,Sat Nov 22 2014,SV Grödig,3-1,SK Rapid Wien
16,Sat Nov 22 2014,FK Austria Wien,4-0,FC Admira Wacker Mödling
16,Sat Nov 22 2014,SV Ried,2-1,SCR Altach
16,Sat Nov 22 2014,SC Wiener Neustadt,2-0,Wolfsberger AC
16,Sun Nov 23 2014,SK Sturm Graz,1-2,FC RB Salzburg
17,Sat Nov 29 2014,SK Rapid Wien,3-0,SC Wiener Neustadt
17,Sat Nov 29 2014,SV Ried,1-1,FK Austria Wien
17,Sat Nov 29 2014,FC Admira Wacker Mödling,0-2,SK Sturm Graz
17,Sat Nov 29 2014,SCR Altach,3-1,SV Grödig
17,Sun Nov 30 2014,FC RB Salzburg,2-2,Wolfsberger AC
18,Sat Dec 6 2014,FK Austria Wien,2-4,FC RB Salzburg
18,Sat Dec 6 2014,SV Grödig,5-0,FC Admira Wacker Mödling
18,Sat Dec 6 2014,SK Sturm Graz,3-1,SV Ried
18,Sat Dec 6 2014,SC Wiener Neustadt,2-0,SCR Altach
18,Sun Dec 7 2014,Wolfsberger AC,1-1,SK Rapid Wien
19,Sat Dec 13 2014,FK Austria Wien,1-0,SV Grödig
19,Sat Dec 13 2014,FC Admira Wacker Mödling,2-1,Wolfsberger AC
19,Sat Dec 13 2014,SV Ried,6-0,SC Wiener Neustadt
19,Sat Dec 13 2014,SCR Altach,2-0,SK Sturm Graz
19,Sun Dec 14 2014,FC RB Salzburg,1-2,SK Rapid Wien
20,Sat Feb 14 2015,SK Rapid Wien,3-0,SV Ried
20,Sat Feb 14 2015,SC Wiener Neustadt,0-2,FC RB Salzburg
20,Sat Feb 14 2015,SCR Altach,2-0,FC Admira Wacker Mödling
20,Sun Feb 15 2015,Wolfsberger AC,1-0,FK Austria Wien
21,Sat Feb 21 2015,SK Sturm Graz,3-3,SC Wiener Neustadt
21,Sat Feb 21 2015,FK Austria Wien,5-2,SCR Altach
21,Sun Feb 22 2015,FC Admira Wacker Mödling,1-1,SK Rapid Wien
21,Sun Feb 22 2015,SV Ried,2-2,FC RB Salzburg
22,Sat Feb 28 2015,SC Wiener Neustadt,1-0,FK Austria Wien
22,Sat Feb 28 2015,SV Ried,2-2,FC Admira Wacker Mödling
22,Sat Feb 28 2015,SK Rapid Wien,1-0,SK Sturm Graz
22,Sat Feb 28 2015,SCR Altach,1-0,Wolfsberger AC
22,Sun Mar 1 2015,FC RB Salzburg,3-1,SV Grödig
23,Tue Mar 3 2015,SK Sturm Graz,2-1,FK Austria Wien
23,Wed Mar 4 2015,SK Rapid Wien,1-0,SCR Altach
23,Wed Mar 4 2015,FC Admira Wacker Mödling,1-4,FC RB Salzburg
23,Wed Mar 4 2015,Wolfsberger AC,1-2,SV Ried
23,Wed Mar 4 2015,SV Grödig,1-3,SC Wiener Neustadt
24,Sat Mar 7 2015,SV Ried,2-1,SV Grödig
24,Sat Mar 7 2015,SC Wiener Neustadt,0-0,FC Admira Wacker Mödling
24,Sat Mar 7 2015,FC RB Salzburg,0-1,SCR Altach
24,Sat Mar 7 2015,SK Sturm Graz,2-0,Wolfsberger AC
24,Sun Mar 8 2015,FK Austria Wien,2-1,SK Rapid Wien
20,Wed Mar 11 2015,SV Grödig,0-2,SK Sturm Graz
25,Sat Mar 14 2015,FC Admira Wacker Mödling,1-1,FK Austria Wien
25,Sat Mar 14 2015,Wolfsberger AC,2-0,SC Wiener Neustadt
25,Sat Mar 14 2015,SK Rapid Wien,4-0,SV Grödig
25,Sat Mar 14 2015,SCR Altach,2-1,SV Ried
25,Sun Mar 15 2015,FC RB Salzburg,2-1,SK Sturm Graz
21,Wed Mar 18 2015,SV Grödig,2-0,Wolfsberger AC
26,Sat Mar 21 2015,FK Austria Wien,0-1,SV Ried
26,Sat Mar 21 2015,SV Grödig,0-1,SCR Altach
26,Sat Mar 21 2015,Wolfsberger AC,3-2,FC RB Salzburg
26,Sat Mar 21 2015,SK Sturm Graz,3-1,FC Admira Wacker Mödling
26,Sun Mar 22 2015,SC Wiener Neustadt,0-1,SK Rapid Wien
27,Sat Apr 4 2015,SK Rapid Wien,4-1,Wolfsberger AC
27,Sat Apr 4 2015,FC RB Salzburg,3-1,FK Austria Wien
27,Sat Apr 4 2015,FC Admira Wacker Mödling,2-3,SV Grödig
27,Sun Apr 5 2015,SV Ried,1-2,SK Sturm Graz
28,Sat Apr 11 2015,SC Wiener Neustadt,0-1,SV Ried
28,Sat Apr 11 2015,SK Sturm Graz,5-0,SCR Altach
28,Sat Apr 11 2015,SV Grödig,1-1,FK Austria Wien
28,Sat Apr 11 2015,Wolfsberger AC,2-0,FC Admira Wacker Mödling
28,Sun Apr 12 2015,SK Rapid Wien,3-3,FC RB Salzburg
27,Wed Apr 15 2015,SCR Altach,3-1,SC Wiener Neustadt
29,Sat Apr 18 2015,SV Ried,0-1,SK Rapid Wien
29,Sat Apr 18 2015,FC RB Salzburg,6-0,SC Wiener Neustadt
29,Sat Apr 18 2015,SK Sturm Graz,2-1,SV Grödig
29,Sat Apr 18 2015,FC Admira Wacker Mödling,2-2,SCR Altach
29,Sun Apr 19 2015,FK Austria Wien,1-1,Wolfsberger AC
30,Sat Apr 25 2015,SK Rapid Wien,1-1,FC Admira Wacker Mödling
30,Sat Apr 25 2015,FC RB Salzburg,2-1,SV Ried
30,Sat Apr 25 2015,Wolfsberger AC,2-1,SV Grödig
30,Sat Apr 25 2015,SC Wiener Neustadt,4-4,SK Sturm Graz
30,Sun Apr 26 2015,SCR Altach,2-0,FK Austria Wien
31,Sat May 2 2015,SV Grödig,0-3,FC RB Salzburg
31,Sat May 2 2015,Wolfsberger AC,2-0,SCR Altach
31,Sat May 2 2015,FK Austria Wien,2-1,SC Wiener Neustadt
31,Sat May 2 2015,FC Admira Wacker Mödling,1-0,SV Ried
31,Sun May 3 2015,SK Sturm Graz,2-2,SK Rapid Wien
32,Sat May 9 2015,FK Austria Wien,0-0,SK Sturm Graz
32,Sat May 9 2015,FC RB Salzburg,4-0,FC Admira Wacker Mödling
32,Sat May 9 2015,SV Ried,4-0,Wolfsberger AC
32,Sat May 9 2015,SC Wiener Neustadt,2-4,SV Grödig
32,Sun May 10 2015,SCR Altach,1-3,SK Rapid Wien
33,Sat May 16 2015,SCR Altach,2-2,FC RB Salzburg
33,Sat May 16 2015,SV Grödig,3-2,SV Ried
33,Sat May 16 2015,Wolfsberger AC,1-0,SK Sturm Graz
33,Sat May 16 2015,FC Admira Wacker Mödling,0-0,SC Wiener Neustadt
33,Sun May 17 2015,SK Rapid Wien,4-1,FK Austria Wien
34,Tue May 19 2015,SV Ried,4-1,SCR Altach
34,Wed May 20 2015,SC Wiener Neustadt,2-0,Wolfsberger AC
34,Wed May 20 2015,SK Sturm Graz,0-0,FC RB Salzburg
34,Wed May 20 2015,FK Austria Wien,0-1,FC Admira Wacker Mödling
35,Sun May 24 2015,SCR Altach,2-0,SV Grödig
35,Sun May 24 2015,FC Admira Wacker Mödling,1-2,SK Sturm Graz
35,Sun May 24 2015,SK Rapid Wien,0-0,SC Wiener Neustadt
35,Sun May 24 2015,SV Ried,0-2,FK Austria Wien
35,Sun May 24 2015,FC RB Salzburg,3-0,Wolfsberger AC
34,Wed May 27 2015,SV Grödig,0-2,SK Rapid Wien
36,Sun May 31 2015,SK Sturm Graz,0-0,SV Ried
36,Sun May 31 2015,FK Austria Wien,1-1,FC RB Salzburg
36,Sun May 31 2015,SV Grödig,0-1,FC Admira Wacker Mödling
36,Sun May 31 2015,Wolfsberger AC,0-5,SK Rapid Wien
36,Sun May 31 2015,SC Wiener Neustadt,0-1,SCR Altach
