Round,Date,Team 1,FT,Team 2
1,Fri Jul 18 2014,SV Mattersburg,2-0,FC Wacker Innsbruck
1,Fri Jul 18 2014,LASK Linz,2-1,Kapfenberger SV
1,Fri Jul 18 2014,Austria Lustenau,0-0,Floridsdorfer AC
1,Fri Jul 18 2014,TSV Hartberg,0-3,FC Liefering
1,Mon Jul 21 2014,SKN St. Pölten,3-0,SV Horn
2,Fri Jul 25 2014,FC Wacker Innsbruck,1-2,Austria Lustenau
2,Fri Jul 25 2014,SV Horn,0-0,SV Mattersburg
2,Fri Jul 25 2014,FC Liefering,1-1,Floridsdorfer AC
2,Fri Jul 25 2014,LASK Linz,0-0,TSV Hartberg
2,Mon Jul 28 2014,Kapfenberger SV,2-2,SKN St. Pölten
3,Fri Aug 1 2014,FC Liefering,2-0,Austria Lustenau
3,Fri Aug 1 2014,Floridsdorfer AC,2-1,SV Horn
3,Fri Aug 1 2014,Kapfenberger SV,0-0,FC Wacker Innsbruck
3,Fri Aug 1 2014,TSV Hartberg,0-4,SV Mattersburg
3,Fri Aug 1 2014,SKN St. Pölten,1-0,LASK Linz
7,Sat Aug 2 2014,LASK Linz,2-0,FC Liefering
7,Sat Aug 2 2014,Austria Lustenau,0-1,SV Horn
7,Sat Aug 2 2014,TSV Hartberg,1-3,Kapfenberger SV
7,Sat Aug 2 2014,SV Mattersburg,2-0,Floridsdorfer AC
7,Sat Aug 2 2014,SKN St. Pölten,0-1,FC Wacker Innsbruck
4,Tue Aug 5 2014,Austria Lustenau,1-2,LASK Linz
4,Tue Aug 5 2014,SV Horn,3-0,TSV Hartberg
4,Tue Aug 5 2014,Floridsdorfer AC,2-2,Kapfenberger SV
4,Tue Aug 5 2014,FC Wacker Innsbruck,0-1,FC Liefering
4,Tue Aug 5 2014,SV Mattersburg,4-0,SKN St. Pölten
5,Fri Aug 8 2014,FC Wacker Innsbruck,2-1,Floridsdorfer AC
5,Fri Aug 8 2014,LASK Linz,1-0,SV Mattersburg
5,Fri Aug 8 2014,Austria Lustenau,5-0,TSV Hartberg
5,Fri Aug 8 2014,Kapfenberger SV,0-0,SV Horn
5,Fri Aug 8 2014,SKN St. Pölten,2-3,FC Liefering
6,Fri Aug 15 2014,SV Horn,0-2,LASK Linz
6,Fri Aug 15 2014,TSV Hartberg,0-3,FC Wacker Innsbruck
6,Fri Aug 15 2014,SV Mattersburg,2-0,Austria Lustenau
6,Fri Aug 15 2014,FC Liefering,3-2,Kapfenberger SV
6,Fri Aug 15 2014,Floridsdorfer AC,0-1,SKN St. Pölten
8,Fri Aug 29 2014,Floridsdorfer AC,3-2,TSV Hartberg
8,Fri Aug 29 2014,SKN St. Pölten,1-1,Austria Lustenau
8,Fri Aug 29 2014,FC Liefering,4-1,SV Horn
8,Fri Aug 29 2014,Kapfenberger SV,2-2,SV Mattersburg
8,Fri Aug 29 2014,FC Wacker Innsbruck,1-0,LASK Linz
9,Fri Sep 12 2014,SV Horn,0-3,FC Wacker Innsbruck
9,Fri Sep 12 2014,Austria Lustenau,1-3,Kapfenberger SV
9,Fri Sep 12 2014,SV Mattersburg,3-6,FC Liefering
9,Fri Sep 12 2014,TSV Hartberg,1-0,SKN St. Pölten
9,Fri Sep 12 2014,LASK Linz,5-1,Floridsdorfer AC
10,Tue Sep 16 2014,Floridsdorfer AC,3-3,Austria Lustenau
10,Tue Sep 16 2014,SV Horn,1-0,SKN St. Pölten
10,Tue Sep 16 2014,Kapfenberger SV,1-1,LASK Linz
10,Tue Sep 16 2014,FC Wacker Innsbruck,1-1,SV Mattersburg
10,Tue Sep 16 2014,FC Liefering,0-3,TSV Hartberg
11,Fri Sep 19 2014,Floridsdorfer AC,2-2,FC Liefering
11,Fri Sep 19 2014,SKN St. Pölten,1-0,Kapfenberger SV
11,Fri Sep 19 2014,Austria Lustenau,1-1,FC Wacker Innsbruck
11,Fri Sep 19 2014,TSV Hartberg,2-2,LASK Linz
11,Fri Sep 19 2014,SV Mattersburg,2-0,SV Horn
12,Fri Sep 26 2014,SV Horn,0-2,Floridsdorfer AC
12,Fri Sep 26 2014,Austria Lustenau,5-2,FC Liefering
12,Fri Sep 26 2014,LASK Linz,2-1,SKN St. Pölten
12,Fri Sep 26 2014,SV Mattersburg,1-0,TSV Hartberg
12,Fri Sep 26 2014,FC Wacker Innsbruck,0-3,Kapfenberger SV
13,Fri Oct 3 2014,SKN St. Pölten,0-2,SV Mattersburg
13,Fri Oct 3 2014,LASK Linz,3-1,Austria Lustenau
13,Fri Oct 3 2014,Kapfenberger SV,0-0,Floridsdorfer AC
13,Fri Oct 3 2014,TSV Hartberg,3-1,SV Horn
13,Fri Oct 3 2014,FC Liefering,4-1,FC Wacker Innsbruck
14,Fri Oct 17 2014,Floridsdorfer AC,2-0,FC Wacker Innsbruck
14,Fri Oct 17 2014,SV Horn,4-1,Kapfenberger SV
14,Fri Oct 17 2014,FC Liefering,1-2,SKN St. Pölten
14,Fri Oct 17 2014,SV Mattersburg,0-1,LASK Linz
14,Fri Oct 17 2014,TSV Hartberg,0-1,Austria Lustenau
15,Tue Oct 21 2014,SKN St. Pölten,1-1,Floridsdorfer AC
15,Tue Oct 21 2014,Austria Lustenau,3-3,SV Mattersburg
15,Tue Oct 21 2014,Kapfenberger SV,0-1,FC Liefering
15,Tue Oct 21 2014,FC Wacker Innsbruck,2-0,TSV Hartberg
15,Tue Oct 21 2014,LASK Linz,2-0,SV Horn
16,Fri Oct 24 2014,Floridsdorfer AC,2-2,SV Mattersburg
16,Fri Oct 24 2014,SV Horn,1-0,Austria Lustenau
16,Fri Oct 24 2014,FC Liefering,1-0,LASK Linz
16,Fri Oct 24 2014,FC Wacker Innsbruck,0-1,SKN St. Pölten
