Round,Date,Team 1,FT,Team 2
1,Thu Aug 14 2014,USC Grafenwörth,0-2,USV Groß Gerungs
1,Fri Aug 15 2014,SC St. Martin,0-1,SV Zwentendorf
1,Fri Aug 15 2014,USC Kirchberg/W.,0-1,USC Altenwörth
1,Fri Aug 15 2014,SV Rehberg,1-1,Horn Amateure
1,Fri Aug 15 2014,SV Sieghartskirchen,4-1,SC Weißenkirchen
1,Sat Aug 16 2014,USV Langenlois,2-1,SC Guntersdorf
1,Sun Aug 17 2014,SC Echsenbach,0-2,USC Schweiggers
2,Sat Aug 23 2014,SC Guntersdorf,4-0,USV Groß Gerungs
2,Sat Aug 23 2014,USC Altenwörth,2-0,SC Echsenbach
2,Sat Aug 23 2014,Horn Amateure,2-3,SV Sieghartskirchen
2,Sat Aug 23 2014,USV Langenlois,3-1,USC Kirchberg/W.
2,Sat Aug 23 2014,USC Schweiggers,1-2,SV Rehberg
2,Sun Aug 24 2014,SC Weißenkirchen,8-2,SC St. Martin
2,Sun Aug 24 2014,SV Zwentendorf,0-4,USC Grafenwörth
3,Fri Aug 29 2014,USC Kirchberg/W.,0-2,SC Guntersdorf
3,Fri Aug 29 2014,USC Grafenwörth,1-0,SC Weißenkirchen
3,Fri Aug 29 2014,SV Sieghartskirchen,2-1,USC Schweiggers
3,Sat Aug 30 2014,SC St. Martin,2-0,Horn Amateure
3,Sat Aug 30 2014,SV Rehberg,1-0,USC Altenwörth
3,Sun Aug 31 2014,USV Groß Gerungs,1-1,SV Zwentendorf
3,Sun Aug 31 2014,SC Echsenbach,2-2,USV Langenlois
4,Fri Sep 5 2014,Horn Amateure,0-7,USC Grafenwörth
4,Fri Sep 5 2014,USC Kirchberg/W.,1-1,SC Echsenbach
4,Sat Sep 6 2014,USC Altenwörth,1-0,SV Sieghartskirchen
4,Sat Sep 6 2014,USV Langenlois,2-4,SV Rehberg
4,Sat Sep 6 2014,USC Schweiggers,0-3,SC St. Martin
4,Sun Sep 7 2014,SC Guntersdorf,3-1,SV Zwentendorf
4,Sun Sep 7 2014,SC Weißenkirchen,0-1,USV Groß Gerungs
5,Fri Sep 12 2014,USV Groß Gerungs,1-2,Horn Amateure
5,Fri Sep 12 2014,SV Sieghartskirchen,4-1,USV Langenlois
5,Fri Sep 12 2014,USC Grafenwörth,3-0,USC Schweiggers
5,Sat Sep 13 2014,SC St. Martin,1-1,USC Altenwörth
5,Sat Sep 13 2014,SV Zwentendorf,3-3,SC Weißenkirchen
5,Sat Sep 13 2014,SV Rehberg,4-0,USC Kirchberg/W.
5,Sun Sep 14 2014,SC Echsenbach,1-4,SC Guntersdorf
6,Fri Sep 19 2014,USC Kirchberg/W.,2-1,SV Sieghartskirchen
6,Sat Sep 20 2014,SC Guntersdorf,2-1,SC Weißenkirchen
6,Sat Sep 20 2014,USC Altenwörth,0-4,USC Grafenwörth
6,Sat Sep 20 2014,USV Langenlois,2-1,SC St. Martin
6,Sat Sep 20 2014,USC Schweiggers,2-3,USV Groß Gerungs
6,Sun Sep 21 2014,Horn Amateure,0-3,SV Zwentendorf
6,Sun Sep 21 2014,SC Echsenbach,0-4,SV Rehberg
7,Fri Sep 26 2014,USC Grafenwörth,3-0,USV Langenlois
7,Fri Sep 26 2014,SV Sieghartskirchen,0-2,SC Echsenbach
7,Sat Sep 27 2014,SV Rehberg,4-1,SC Guntersdorf
7,Sun Sep 28 2014,SV Zwentendorf,1-0,USC Schweiggers
7,Sun Sep 28 2014,SC St. Martin,3-1,USC Kirchberg/W.
7,Sun Sep 28 2014,USV Groß Gerungs,1-1,USC Altenwörth
7,Sun Sep 28 2014,SC Weißenkirchen,1-2,Horn Amateure
8,Fri Oct 3 2014,USC Schweiggers,2-2,SC Weißenkirchen
8,Sat Oct 4 2014,SV Rehberg,1-1,SV Sieghartskirchen
8,Sat Oct 4 2014,USC Altenwörth,1-2,SV Zwentendorf
8,Sat Oct 4 2014,SC Guntersdorf,2-1,Horn Amateure
8,Sat Oct 4 2014,USV Langenlois,0-0,USV Groß Gerungs
8,Sun Oct 5 2014,USC Kirchberg/W.,1-2,USC Grafenwörth
8,Sun Oct 5 2014,SC Echsenbach,2-1,SC St. Martin
9,Fri Oct 10 2014,SV Sieghartskirchen,0-2,SC Guntersdorf
9,Fri Oct 10 2014,USC Grafenwörth,1-0,SC Echsenbach
9,Sat Oct 11 2014,SV Zwentendorf,1-0,USV Langenlois
9,Sat Oct 11 2014,SC St. Martin,2-0,SV Rehberg
9,Sat Oct 11 2014,USV Groß Gerungs,1-0,USC Kirchberg/W.
9,Sat Oct 11 2014,Horn Amateure,0-3,USC Schweiggers
9,Sun Oct 12 2014,SC Weißenkirchen,4-0,USC Altenwörth
10,Fri Oct 17 2014,SV Sieghartskirchen,2-0,SC St. Martin
10,Sat Oct 18 2014,USC Altenwörth,0-1,Horn Amateure
10,Sat Oct 18 2014,SV Rehberg,3-0,USC Grafenwörth
10,Sat Oct 18 2014,SC Guntersdorf,1-1,USC Schweiggers
10,Sat Oct 18 2014,USV Langenlois,4-3,SC Weißenkirchen
10,Sun Oct 19 2014,USC Kirchberg/W.,3-0,SV Zwentendorf
10,Sun Oct 19 2014,SC Echsenbach,3-5,USV Groß Gerungs
11,Fri Oct 24 2014,USC Grafenwörth,2-1,SV Sieghartskirchen
11,Sat Oct 25 2014,SC St. Martin,0-3,SC Guntersdorf
11,Sat Oct 25 2014,Horn Amateure,3-3,USV Langenlois
11,Sat Oct 25 2014,SC Weißenkirchen,3-0,USC Kirchberg/W.
11,Sat Oct 25 2014,USC Schweiggers,6-1,USC Altenwörth
11,Sun Oct 26 2014,SV Zwentendorf,3-2,SC Echsenbach
11,Sun Oct 26 2014,USV Groß Gerungs,0-0,SV Rehberg
12,Fri Oct 31 2014,USC Kirchberg/W.,4-2,Horn Amateure
12,Fri Oct 31 2014,USV Langenlois,1-0,USC Schweiggers
12,Sat Nov 1 2014,SC Guntersdorf,4-2,USC Altenwörth
12,Sun Nov 2 2014,SV Sieghartskirchen,2-1,USV Groß Gerungs
12,Sun Nov 2 2014,SC Echsenbach,1-4,SC Weißenkirchen
12,Sun Nov 2 2014,SC St. Martin,2-1,USC Grafenwörth
12,Sun Nov 2 2014,SV Rehberg,3-2,SV Zwentendorf
13,Sat Nov 8 2014,USC Grafenwörth,0-0,SC Guntersdorf
13,Sat Nov 8 2014,USC Altenwörth,2-2,USV Langenlois
13,Sat Nov 8 2014,USC Schweiggers,2-2,USC Kirchberg/W.
13,Sat Nov 8 2014,SC Weißenkirchen,1-1,SV Rehberg
13,Sat Nov 8 2014,SV Zwentendorf,3-2,SV Sieghartskirchen
13,Sat Nov 8 2014,Horn Amateure,0-3,SC Echsenbach
13,Sat Nov 8 2014,USV Groß Gerungs,1-2,SC St. Martin
26,Sun Mar 22 2015,SV Sieghartskirchen,1-2,SV Zwentendorf
26,Sun Mar 22 2015,USV Langenlois,2-1,USC Altenwörth
26,Sun Mar 22 2015,USC Kirchberg/W.,0-0,USC Schweiggers
26,Sun Mar 22 2015,SC Guntersdorf,2-0,USC Grafenwörth
26,Sun Mar 22 2015,SV Rehberg,3-2,SC Weißenkirchen
26,Sun Mar 22 2015,SC Echsenbach,0-1,Horn Amateure
26,Sun Mar 22 2015,SC St. Martin,1-1,USV Groß Gerungs
14,Sun Mar 29 2015,USC Schweiggers,1-0,SC Echsenbach
14,Sun Mar 29 2015,SC Weißenkirchen,1-0,SV Sieghartskirchen
14,Sun Mar 29 2015,USC Altenwörth,4-1,USC Kirchberg/W.
14,Sun Mar 29 2015,SC Guntersdorf,1-1,USV Langenlois
14,Sun Mar 29 2015,SV Zwentendorf,1-1,SC St. Martin
14,Sun Mar 29 2015,USV Groß Gerungs,0-1,USC Grafenwörth
14,Sun Mar 29 2015,Horn Amateure,1-0,SV Rehberg
15,Sun Apr 5 2015,SV Rehberg,1-0,USC Schweiggers
15,Sun Apr 5 2015,SC Echsenbach,4-0,USC Altenwörth
15,Sun Apr 5 2015,SV Sieghartskirchen,0-2,Horn Amateure
15,Sun Apr 5 2015,USV Groß Gerungs,2-2,SC Guntersdorf
15,Sun Apr 5 2015,USC Grafenwörth,1-1,SV Zwentendorf
15,Sun Apr 5 2015,USC Kirchberg/W.,0-5,USV Langenlois
15,Sun Apr 5 2015,SC St. Martin,4-1,SC Weißenkirchen
16,Sun Apr 12 2015,SC Weißenkirchen,1-2,USC Grafenwörth
16,Sun Apr 12 2015,USC Schweiggers,4-1,SV Sieghartskirchen
16,Sun Apr 12 2015,SC Guntersdorf,1-0,USC Kirchberg/W.
16,Sun Apr 12 2015,SV Zwentendorf,0-1,USV Groß Gerungs
16,Sun Apr 12 2015,Horn Amateure,4-1,SC St. Martin
16,Sun Apr 12 2015,USC Altenwörth,0-0,SV Rehberg
16,Sun Apr 12 2015,USV Langenlois,2-1,SC Echsenbach
17,Sun Apr 19 2015,SV Sieghartskirchen,1-0,USC Altenwörth
17,Sun Apr 19 2015,USV Groß Gerungs,1-3,SC Weißenkirchen
17,Sun Apr 19 2015,SV Rehberg,3-1,USV Langenlois
17,Sun Apr 19 2015,SC Echsenbach,0-1,USC Kirchberg/W.
17,Sun Apr 19 2015,SV Zwentendorf,0-1,SC Guntersdorf
17,Sun Apr 19 2015,USC Grafenwörth,1-3,Horn Amateure
17,Sun Apr 19 2015,SC St. Martin,1-4,USC Schweiggers
18,Sun Apr 26 2015,USC Kirchberg/W.,0-2,SV Rehberg
18,Sun Apr 26 2015,USV Langenlois,1-3,SV Sieghartskirchen
18,Sun Apr 26 2015,USC Altenwörth,3-4,SC St. Martin
18,Sun Apr 26 2015,SC Guntersdorf,3-3,SC Echsenbach
18,Sun Apr 26 2015,Horn Amateure,2-4,USV Groß Gerungs
18,Sun Apr 26 2015,SC Weißenkirchen,2-1,SV Zwentendorf
18,Sun Apr 26 2015,USC Schweiggers,3-0,USC Grafenwörth
19,Sun May 3 2015,USV Groß Gerungs,1-2,USC Schweiggers
19,Sun May 3 2015,USC Grafenwörth,4-0,USC Altenwörth
19,Sun May 3 2015,SV Sieghartskirchen,1-2,USC Kirchberg/W.
19,Sun May 3 2015,SC St. Martin,0-0,USV Langenlois
19,Sun May 3 2015,SV Zwentendorf,0-1,Horn Amateure
19,Sun May 3 2015,SC Weißenkirchen,1-1,SC Guntersdorf
19,Sun May 3 2015,SV Rehberg,1-3,SC Echsenbach
20,Sun May 10 2015,SC Echsenbach,1-4,SV Sieghartskirchen
20,Sun May 10 2015,USC Kirchberg/W.,3-1,SC St. Martin
20,Sun May 10 2015,USC Altenwörth,3-2,USV Groß Gerungs
20,Sun May 10 2015,Horn Amateure,0-3,SC Weißenkirchen
20,Sun May 10 2015,SC Guntersdorf,1-1,SV Rehberg
20,Sun May 10 2015,USC Schweiggers,0-0,SV Zwentendorf
20,Sun May 10 2015,USV Langenlois,2-1,USC Grafenwörth
21,Sun May 17 2015,SV Zwentendorf,5-0,USC Altenwörth
21,Sun May 17 2015,USC Grafenwörth,0-0,USC Kirchberg/W.
21,Sun May 17 2015,SC St. Martin,4-1,SC Echsenbach
21,Sun May 17 2015,USV Groß Gerungs,0-3,USV Langenlois
21,Sun May 17 2015,SV Sieghartskirchen,0-2,SV Rehberg
21,Sun May 17 2015,SC Weißenkirchen,0-2,USC Schweiggers
21,Sun May 17 2015,Horn Amateure,0-1,SC Guntersdorf
22,Sun May 24 2015,USC Altenwörth,3-1,SC Weißenkirchen
22,Sun May 24 2015,SC Echsenbach,5-4,USC Grafenwörth
22,Sun May 24 2015,SV Rehberg,1-1,SC St. Martin
22,Sun May 24 2015,USV Langenlois,2-3,SV Zwentendorf
22,Sun May 24 2015,USC Schweiggers,2-1,Horn Amateure
22,Sun May 24 2015,USC Kirchberg/W.,1-5,USV Groß Gerungs
22,Sun May 24 2015,SC Guntersdorf,4-3,SV Sieghartskirchen
23,Sun May 31 2015,SC St. Martin,1-2,SV Sieghartskirchen
23,Sun May 31 2015,USC Schweiggers,0-1,SC Guntersdorf
23,Sun May 31 2015,Horn Amateure,2-3,USC Altenwörth
23,Sun May 31 2015,SC Weißenkirchen,1-1,USV Langenlois
23,Sun May 31 2015,SV Zwentendorf,4-1,USC Kirchberg/W.
23,Sun May 31 2015,USV Groß Gerungs,3-4,SC Echsenbach
23,Sun May 31 2015,USC Grafenwörth,1-2,SV Rehberg
24,Sun Jun 7 2015,USV Langenlois,3-0,Horn Amateure
24,Sun Jun 7 2015,USC Altenwörth,1-1,USC Schweiggers
24,Sun Jun 7 2015,SV Sieghartskirchen,1-0,USC Grafenwörth
24,Sun Jun 7 2015,USC Kirchberg/W.,0-2,SC Weißenkirchen
24,Sun Jun 7 2015,SC Echsenbach,2-0,SV Zwentendorf
24,Sun Jun 7 2015,SV Rehberg,3-2,USV Groß Gerungs
