Round,Date,Team 1,FT,Team 2
1,Sat Jul 20 2013,FK Austria Wien,2-0,FC Admira Wacker Mödling
1,Sat Jul 20 2013,SV Grödig,0-0,SV Ried
1,Sat Jul 20 2013,Wolfsberger AC,2-2,SK Rapid Wien
1,Sat Jul 20 2013,SC Wiener Neustadt,1-5,FC RB Salzburg
1,Sun Jul 21 2013,FC Wacker Innsbruck,2-2,SK Sturm Graz
2,Sat Jul 27 2013,SK Rapid Wien,4-0,SC Wiener Neustadt
2,Sat Jul 27 2013,FC Admira Wacker Mödling,1-2,FC Wacker Innsbruck
2,Sat Jul 27 2013,FC RB Salzburg,5-1,FK Austria Wien
2,Sat Jul 27 2013,SV Ried,1-0,Wolfsberger AC
2,Sun Jul 28 2013,SK Sturm Graz,0-2,SV Grödig
3,Sat Aug 3 2013,SV Grödig,7-1,FC Admira Wacker Mödling
3,Sat Aug 3 2013,SC Wiener Neustadt,2-1,Wolfsberger AC
3,Sat Aug 3 2013,FK Austria Wien,3-3,SV Ried
3,Sat Aug 3 2013,FC Wacker Innsbruck,1-1,FC RB Salzburg
3,Sun Aug 4 2013,SK Sturm Graz,2-4,SK Rapid Wien
4,Sat Aug 10 2013,SV Ried,1-1,SC Wiener Neustadt
4,Sat Aug 10 2013,Wolfsberger AC,1-1,FC Wacker Innsbruck
4,Sat Aug 10 2013,FC RB Salzburg,4-1,SV Grödig
4,Sat Aug 10 2013,FC Admira Wacker Mödling,1-1,SK Sturm Graz
4,Sun Aug 11 2013,SK Rapid Wien,0-0,FK Austria Wien
5,Sat Aug 17 2013,SK Sturm Graz,1-1,FC RB Salzburg
5,Sat Aug 17 2013,SV Grödig,4-3,Wolfsberger AC
5,Sat Aug 17 2013,FC Wacker Innsbruck,2-3,SV Ried
5,Sat Aug 17 2013,FK Austria Wien,5-0,SC Wiener Neustadt
5,Sun Aug 18 2013,FC Admira Wacker Mödling,2-0,SK Rapid Wien
6,Sat Aug 24 2013,SV Ried,3-0,SK Sturm Graz
6,Sat Aug 24 2013,Wolfsberger AC,1-4,FK Austria Wien
6,Sat Aug 24 2013,SC Wiener Neustadt,1-1,FC Wacker Innsbruck
6,Sun Aug 25 2013,SK Rapid Wien,0-1,SV Grödig
6,Sun Aug 25 2013,FC RB Salzburg,1-0,FC Admira Wacker Mödling
7,Sat Aug 31 2013,SK Sturm Graz,4-1,Wolfsberger AC
7,Sat Aug 31 2013,FC Admira Wacker Mödling,1-4,SV Ried
7,Sat Aug 31 2013,FK Austria Wien,1-1,FC Wacker Innsbruck
7,Sat Aug 31 2013,SV Grödig,3-6,SC Wiener Neustadt
7,Sun Sep 1 2013,FC RB Salzburg,1-1,SK Rapid Wien
8,Sat Sep 14 2013,FK Austria Wien,2-3,SV Grödig
8,Sat Sep 14 2013,FC Wacker Innsbruck,0-4,SK Rapid Wien
8,Sat Sep 14 2013,SC Wiener Neustadt,1-3,SK Sturm Graz
8,Sat Sep 14 2013,Wolfsberger AC,3-1,FC Admira Wacker Mödling
8,Sun Sep 15 2013,SV Ried,0-5,FC RB Salzburg
9,Sat Sep 21 2013,SK Sturm Graz,1-2,FK Austria Wien
9,Sat Sep 21 2013,FC Admira Wacker Mödling,0-3,SC Wiener Neustadt
9,Sat Sep 21 2013,SV Grödig,3-3,FC Wacker Innsbruck
9,Sun Sep 22 2013,FC RB Salzburg,2-2,Wolfsberger AC
9,Sun Sep 22 2013,SK Rapid Wien,2-0,SV Ried
10,Sat Sep 28 2013,FC Admira Wacker Mödling,1-0,FK Austria Wien
10,Sat Sep 28 2013,SK Sturm Graz,1-0,FC Wacker Innsbruck
10,Sat Sep 28 2013,SK Rapid Wien,2-4,Wolfsberger AC
10,Sat Sep 28 2013,SV Ried,4-2,SV Grödig
10,Sun Sep 29 2013,FC RB Salzburg,8-1,SC Wiener Neustadt
11,Sat Oct 5 2013,Wolfsberger AC,1-1,SV Ried
11,Sat Oct 5 2013,FC Wacker Innsbruck,3-3,FC Admira Wacker Mödling
11,Sat Oct 5 2013,SV Grödig,0-1,SK Sturm Graz
11,Sun Oct 6 2013,SC Wiener Neustadt,0-0,SK Rapid Wien
11,Sun Oct 6 2013,FK Austria Wien,1-2,FC RB Salzburg
12,Sat Oct 19 2013,SV Ried,1-1,FK Austria Wien
12,Sat Oct 19 2013,FC Admira Wacker Mödling,0-4,SV Grödig
12,Sat Oct 19 2013,Wolfsberger AC,1-1,SC Wiener Neustadt
