Round,Date,Team 1,FT,Team 2
1,Fri Jul 12 2013,SAK Klagenfurt,3-1,Union Vöcklamarkt
1,Fri Jul 12 2013,SC Leopoldsdorf,1-1,SC-ESV Parndorf
1,Fri Jul 12 2013,FC Dornbirn 1913,1-2,First Vienna FC
1,Fri Jul 12 2013,DSV Leoben,2-3,Kapfenberger SV
1,Fri Jul 12 2013,SV Wals-Grünau,1-2,SKN St. Pölten
1,Fri Jul 12 2013,SV Lafnitz,0-4,SCR Altach
1,Sat Jul 13 2013,SC Pinkafeld,1-1,TSV Neumarkt
1,Sat Jul 13 2013,Dornbirner SV,1-0,FC Kitzbühel
1,Sat Jul 13 2013,FC Hard,1-3,SV Horn
1,Sat Jul 13 2013,SC Retz,0-0,SK Vorwärts Steyr
1,Sat Jul 13 2013,FC St. Veit,1-5,FC Lankowitz
1,Sat Jul 13 2013,SC Schwaz,0-3,Wolfsberger AC
1,Sat Jul 13 2013,FC Marchfeld Donauauen,0-0,FC Gratkorn
1,Sat Jul 13 2013,TSV St. Johann,0-5,FC Pasching
1,Sat Jul 13 2013,SV Stegersbach,0-2,Austria Lustenau
1,Sat Jul 13 2013,SV Schwechat,0-3,SC Kalsdorf
1,Sat Jul 13 2013,1. SC Sollenau,1-1,Wiener Sport-Club
1,Sat Jul 13 2013,Floridsdorfer AC,3-1,FC Kufstein
1,Sat Jul 13 2013,Austria Salzburg,0-0,SV Grödig
1,Sat Jul 13 2013,SV Oberwart,0-3,FK Austria Wien
1,Sat Jul 13 2013,ASV Draßburg,0-3,SC Wiener Neustadt
1,Sat Jul 13 2013,Union St. Florian,0-9,FC RB Salzburg
1,Sat Jul 13 2013,SC Team Wiener Linien,0-5,SK Sturm Graz
1,Sat Jul 13 2013,ATSV Ober-Grafendorf,2-5,SKU Amstetten
1,Sat Jul 13 2013,Austria Klagenfurt,3-2,Wiener Viktoria
1,Sat Jul 13 2013,SW Bregenz,0-4,SV Ried
1,Sat Jul 13 2013,Villacher SV,4-4,WSG Tirol
1,Sat Jul 13 2013,SV Seekirchen,0-2,FC Admira Wacker Mödling
1,Sat Jul 13 2013,FC Blau-Weiß Linz,1-5,SV Mattersburg
1,Sat Jul 13 2013,ASK Bad Vöslau,2-3,TSV Hartberg
1,Sun Jul 14 2013,LASK Linz,0-0,SK Rapid Wien
1,Sun Jul 14 2013,USV Allerheiligen,1-4,FC Wacker Innsbruck
2,Mon Sep 23 2013,SAK Klagenfurt,2-2,TSV Hartberg
2,Mon Sep 23 2013,LASK Linz,3-4,SKN St. Pölten
2,Mon Sep 23 2013,Villacher SV,0-3,Kapfenberger SV
2,Tue Sep 24 2013,Austria Salzburg,1-1,SV Mattersburg
2,Tue Sep 24 2013,Austria Klagenfurt,0-2,SC-ESV Parndorf
2,Tue Sep 24 2013,SC Kalsdorf,2-1,FK Austria Wien
2,Tue Sep 24 2013,SK Vorwärts Steyr,1-2,Austria Lustenau
2,Tue Sep 24 2013,1. SC Sollenau,0-4,First Vienna FC
2,Tue Sep 24 2013,SKU Amstetten,2-1,SCR Altach
2,Tue Sep 24 2013,FC Marchfeld Donauauen,4-4,SV Horn
2,Tue Sep 24 2013,FC Pasching,2-1,FC Wacker Innsbruck
2,Tue Sep 24 2013,Dornbirner SV,0-2,SV Ried
2,Tue Sep 24 2013,SK Sturm Graz,0-0,SC Wiener Neustadt
2,Tue Sep 24 2013,SC Pinkafeld,1-4,Wolfsberger AC
2,Tue Sep 24 2013,Floridsdorfer AC,0-0,FC Admira Wacker Mödling
2,Tue Sep 24 2013,FC Lankowitz,1-1,FC RB Salzburg
Achtelfinale,Mon Oct 28 2013,SC Kalsdorf,0-4,SKN St. Pölten
Achtelfinale,Mon Oct 28 2013,SV Horn,5-4,SC-ESV Parndorf
Achtelfinale,Tue Oct 29 2013,SAK Klagenfurt,0-1,SV Ried
Achtelfinale,Tue Oct 29 2013,FC Pasching,2-2,Wolfsberger AC
Achtelfinale,Tue Oct 29 2013,FC Admira Wacker Mödling,3-1,First Vienna FC
Achtelfinale,Tue Oct 29 2013,SKU Amstetten,2-0,SV Mattersburg
Achtelfinale,Wed Oct 30 2013,Austria Lustenau,0-4,SK Sturm Graz
Achtelfinale,Wed Oct 30 2013,Kapfenberger SV,1-7,FC RB Salzburg
Viertelfinale,Tue Apr 8 2014,FC Admira Wacker Mödling,0-1,SK Sturm Graz
Viertelfinale,Tue Apr 15 2014,SV Horn,2-0,SKU Amstetten
Viertelfinale,Tue Apr 15 2014,SV Ried,1-2,SKN St. Pölten
Viertelfinale,Wed Apr 16 2014,Wolfsberger AC,0-6,FC RB Salzburg
Halbfinale,Wed May 7 2014,SV Horn,0-7,FC RB Salzburg
Halbfinale,Wed May 7 2014,SKN St. Pölten,0-0,SK Sturm Graz
Finale,Sun May 18 2014,FC RB Salzburg,4-2,SKN St. Pölten
