Stage,Round,Date,Team 1,FT,Team 2
Grunddurchgang,7,Sat Sep 15 2018,SKN St. Pölten,1-3,FC RB Salzburg
Grunddurchgang,7,Sat Sep 15 2018,TSV Hartberg,2-1,SCR Altach
Grunddurchgang,7,Sat Sep 15 2018,FC Admira Wacker Mödling,2-3,SK Sturm Graz
Grunddurchgang,7,Sun Sep 16 2018,Wolfsberger AC,3-1,FC Wacker Innsbruck
Grunddurchgang,7,Sun Sep 16 2018,SV Mattersburg,1-3,LASK Linz
Grunddurchgang,7,Sun Sep 16 2018,SK Rapid Wien,0-1,FK Austria Wien
Grunddurchgang,8,Sat Sep 22 2018,SK Sturm Graz,1-2,SV Mattersburg
Grunddurchgang,8,Sat Sep 22 2018,SCR Altach,0-1,Wolfsberger AC
Grunddurchgang,8,Sat Sep 22 2018,SKN St. Pölten,3-0,TSV Hartberg
Grunddurchgang,8,Sun Sep 23 2018,FK Austria Wien,0-3,LASK Linz
Grunddurchgang,8,Sun Sep 23 2018,FC Wacker Innsbruck,1-3,FC Admira Wacker Mödling
Grunddurchgang,8,Sun Sep 23 2018,FC RB Salzburg,2-1,SK Rapid Wien
Grunddurchgang,9,Sat Sep 29 2018,FC Admira Wacker Mödling,2-4,SCR Altach
Grunddurchgang,9,Sat Sep 29 2018,Wolfsberger AC,1-4,FC RB Salzburg
Grunddurchgang,9,Sat Sep 29 2018,SK Rapid Wien,0-2,SKN St. Pölten
Grunddurchgang,9,Sun Sep 30 2018,SV Mattersburg,2-1,FC Wacker Innsbruck
Grunddurchgang,9,Sun Sep 30 2018,TSV Hartberg,0-1,FK Austria Wien
Grunddurchgang,9,Sun Sep 30 2018,LASK Linz,0-0,SK Sturm Graz
Grunddurchgang,10,Sat Oct 6 2018,SKN St. Pölten,0-0,FC Admira Wacker Mödling
Grunddurchgang,10,Sat Oct 6 2018,SCR Altach,2-0,FK Austria Wien
Grunddurchgang,10,Sat Oct 6 2018,Wolfsberger AC,3-4,TSV Hartberg
Grunddurchgang,10,Sun Oct 7 2018,FC Wacker Innsbruck,1-0,LASK Linz
Grunddurchgang,10,Sun Oct 7 2018,SK Rapid Wien,1-0,SV Mattersburg
Grunddurchgang,10,Sun Oct 7 2018,SK Sturm Graz,1-2,FC RB Salzburg
Grunddurchgang,11,Sat Oct 20 2018,FC RB Salzburg,1-1,FC Wacker Innsbruck
Grunddurchgang,11,Sat Oct 20 2018,LASK Linz,1-1,SCR Altach
Grunddurchgang,11,Sat Oct 20 2018,TSV Hartberg,3-0,SK Rapid Wien
Grunddurchgang,11,Sun Oct 21 2018,FC Admira Wacker Mödling,0-0,Wolfsberger AC
Grunddurchgang,11,Sun Oct 21 2018,SV Mattersburg,2-0,SKN St. Pölten
Grunddurchgang,11,Sun Oct 21 2018,FK Austria Wien,1-1,SK Sturm Graz
Grunddurchgang,12,Sat Oct 27 2018,TSV Hartberg,2-0,SK Sturm Graz
Grunddurchgang,12,Sat Oct 27 2018,SV Mattersburg,1-1,SCR Altach
Grunddurchgang,12,Sat Oct 27 2018,FC Wacker Innsbruck,0-0,FK Austria Wien
Grunddurchgang,12,Sun Oct 28 2018,Wolfsberger AC,1-0,SKN St. Pölten
Grunddurchgang,12,Sun Oct 28 2018,SK Rapid Wien,2-0,FC Admira Wacker Mödling
Grunddurchgang,12,Sun Oct 28 2018,LASK Linz,3-3,FC RB Salzburg
Grunddurchgang,13,Sat Nov 3 2018,SK Sturm Graz,1-1,FC Wacker Innsbruck
Grunddurchgang,13,Sat Nov 3 2018,FC Admira Wacker Mödling,2-3,TSV Hartberg
Grunddurchgang,13,Sat Nov 3 2018,SKN St. Pölten,2-2,LASK Linz
Grunddurchgang,13,Sun Nov 4 2018,FK Austria Wien,2-3,Wolfsberger AC
Grunddurchgang,13,Sun Nov 4 2018,FC RB Salzburg,2-1,SV Mattersburg
Grunddurchgang,13,Sun Nov 4 2018,SCR Altach,2-2,SK Rapid Wien
Grunddurchgang,14,Sat Nov 10 2018,FC Wacker Innsbruck,1-0,SCR Altach
Grunddurchgang,14,Sat Nov 10 2018,LASK Linz,5-1,FC Admira Wacker Mödling
Grunddurchgang,14,Sat Nov 10 2018,SK Sturm Graz,0-0,SKN St. Pölten
Grunddurchgang,14,Sun Nov 11 2018,Wolfsberger AC,3-1,SK Rapid Wien
Grunddurchgang,14,Sun Nov 11 2018,SV Mattersburg,1-2,TSV Hartberg
Grunddurchgang,14,Sun Nov 11 2018,FK Austria Wien,0-2,FC RB Salzburg
Grunddurchgang,15,Sat Nov 24 2018,Wolfsberger AC,2-2,SV Mattersburg
Grunddurchgang,15,Sat Nov 24 2018,FC Admira Wacker Mödling,1-2,FK Austria Wien
Grunddurchgang,15,Sat Nov 24 2018,TSV Hartberg,0-4,FC RB Salzburg
Grunddurchgang,15,Sun Nov 25 2018,SCR Altach,0-2,SK Sturm Graz
Grunddurchgang,15,Sun Nov 25 2018,SKN St. Pölten,2-0,FC Wacker Innsbruck
Grunddurchgang,15,Sun Nov 25 2018,SK Rapid Wien,0-1,LASK Linz
Grunddurchgang,16,Sat Dec 1 2018,SV Mattersburg,2-2,FC Admira Wacker Mödling
Grunddurchgang,16,Sat Dec 1 2018,FK Austria Wien,2-0,SKN St. Pölten
Grunddurchgang,16,Sat Dec 1 2018,LASK Linz,3-3,TSV Hartberg
Grunddurchgang,16,Sun Dec 2 2018,FC RB Salzburg,1-0,SCR Altach
Grunddurchgang,16,Sun Dec 2 2018,FC Wacker Innsbruck,0-1,SK Rapid Wien
Grunddurchgang,16,Sun Dec 2 2018,SK Sturm Graz,3-0,Wolfsberger AC
Grunddurchgang,17,Sat Dec 8 2018,SKN St. Pölten,2-1,SCR Altach
Grunddurchgang,17,Sat Dec 8 2018,Wolfsberger AC,1-1,LASK Linz
Grunddurchgang,17,Sat Dec 8 2018,FC Admira Wacker Mödling,2-2,FC RB Salzburg
Grunddurchgang,17,Sun Dec 9 2018,TSV Hartberg,2-2,FC Wacker Innsbruck
Grunddurchgang,17,Sun Dec 9 2018,SV Mattersburg,2-1,FK Austria Wien
Grunddurchgang,17,Sun Dec 9 2018,SK Rapid Wien,0-0,SK Sturm Graz
Grunddurchgang,18,Sat Dec 15 2018,FC Wacker Innsbruck,0-0,Wolfsberger AC
Grunddurchgang,18,Sat Dec 15 2018,LASK Linz,2-1,SV Mattersburg
Grunddurchgang,18,Sat Dec 15 2018,SK Sturm Graz,3-0,FC Admira Wacker Mödling
Grunddurchgang,18,Sun Dec 16 2018,SCR Altach,6-1,TSV Hartberg
Grunddurchgang,18,Sun Dec 16 2018,FC RB Salzburg,5-1,SKN St. Pölten
Grunddurchgang,18,Sun Dec 16 2018,FK Austria Wien,6-1,SK Rapid Wien
Grunddurchgang,19,Fri Feb 22 2019,LASK Linz,2-0,FK Austria Wien
Grunddurchgang,19,Sat Feb 23 2019,Wolfsberger AC,0-0,SCR Altach
Grunddurchgang,19,Sat Feb 23 2019,FC Admira Wacker Mödling,3-0,FC Wacker Innsbruck
Grunddurchgang,19,Sun Feb 24 2019,SV Mattersburg,1-1,SK Sturm Graz
Grunddurchgang,19,Sun Feb 24 2019,TSV Hartberg,1-1,SKN St. Pölten
Grunddurchgang,19,Sun Feb 24 2019,SK Rapid Wien,2-0,FC RB Salzburg
Grunddurchgang,20,Sat Mar 2 2019,FC RB Salzburg,3-0,Wolfsberger AC
Grunddurchgang,20,Sat Mar 2 2019,SCR Altach,0-1,FC Admira Wacker Mödling
Grunddurchgang,20,Sat Mar 2 2019,SKN St. Pölten,0-4,SK Rapid Wien
Grunddurchgang,20,Sun Mar 3 2019,SK Sturm Graz,0-3,LASK Linz
Grunddurchgang,20,Sun Mar 3 2019,FK Austria Wien,4-2,TSV Hartberg
Grunddurchgang,20,Sun Mar 3 2019,FC Wacker Innsbruck,0-1,SV Mattersburg
Grunddurchgang,21,Sun Mar 10 2019,TSV Hartberg,1-1,Wolfsberger AC
Grunddurchgang,21,Sun Mar 10 2019,SV Mattersburg,2-1,SK Rapid Wien
Grunddurchgang,21,Sun Mar 10 2019,LASK Linz,2-0,FC Wacker Innsbruck
Grunddurchgang,21,Sun Mar 10 2019,FC Admira Wacker Mödling,3-2,SKN St. Pölten
Grunddurchgang,21,Sun Mar 10 2019,FC RB Salzburg,0-0,SK Sturm Graz
Grunddurchgang,21,Sun Mar 10 2019,FK Austria Wien,1-3,SCR Altach
Grunddurchgang,22,Sun Mar 17 2019,SKN St. Pölten,0-1,SV Mattersburg
Grunddurchgang,22,Sun Mar 17 2019,SK Rapid Wien,2-2,TSV Hartberg
Grunddurchgang,22,Sun Mar 17 2019,SCR Altach,1-2,LASK Linz
Grunddurchgang,22,Sun Mar 17 2019,SK Sturm Graz,1-0,FK Austria Wien
Grunddurchgang,22,Sun Mar 17 2019,Wolfsberger AC,2-2,FC Admira Wacker Mödling
Grunddurchgang,22,Sun Mar 17 2019,FC Wacker Innsbruck,0-2,FC RB Salzburg
Finaldurchgang - Qualifikation,23,Sat Mar 30 2019,SK Rapid Wien,3-0,FC Admira Wacker Mödling
Finaldurchgang - Qualifikation,23,Sat Mar 30 2019,TSV Hartberg,0-2,FC Wacker Innsbruck
Finaldurchgang - Qualifikation,23,Sat Mar 30 2019,SCR Altach,2-1,SV Mattersburg
Finaldurchgang - Meister,23,Sun Mar 31 2019,Wolfsberger AC,0-3,LASK Linz
Finaldurchgang - Meister,23,Sun Mar 31 2019,SK Sturm Graz,0-1,SKN St. Pölten
Finaldurchgang - Meister,23,Sun Mar 31 2019,FC RB Salzburg,5-1,FK Austria Wien
Finaldurchgang - Qualifikation,24,Sat Apr 6 2019,SV Mattersburg,3-0,TSV Hartberg
Finaldurchgang - Qualifikation,24,Sat Apr 6 2019,FC Wacker Innsbruck,0-2,SK Rapid Wien
Finaldurchgang - Qualifikation,24,Sat Apr 6 2019,FC Admira Wacker Mödling,1-1,SCR Altach
Finaldurchgang - Meister,24,Sun Apr 7 2019,FK Austria Wien,0-1,SK Sturm Graz
Finaldurchgang - Meister,24,Sun Apr 7 2019,LASK Linz,0-2,FC RB Salzburg
Finaldurchgang - Meister,24,Sun Apr 7 2019,SKN St. Pölten,1-3,Wolfsberger AC
Finaldurchgang - Qualifikation,25,Sat Apr 13 2019,SK Rapid Wien,2-1,SV Mattersburg
Finaldurchgang - Qualifikation,25,Sat Apr 13 2019,TSV Hartberg,0-1,SCR Altach
Finaldurchgang - Qualifikation,25,Sat Apr 13 2019,FC Wacker Innsbruck,1-3,FC Admira Wacker Mödling
Finaldurchgang - Meister,25,Sun Apr 14 2019,LASK Linz,0-0,SKN St. Pölten
Finaldurchgang - Meister,25,Sun Apr 14 2019,Wolfsberger AC,1-1,FK Austria Wien
Finaldurchgang - Meister,25,Sun Apr 14 2019,FC RB Salzburg,3-1,SK Sturm Graz
Finaldurchgang - Qualifikation,26,Sat Apr 20 2019,SV Mattersburg,3-1,FC Wacker Innsbruck
Finaldurchgang - Qualifikation,26,Sat Apr 20 2019,FC Admira Wacker Mödling,2-1,TSV Hartberg
Finaldurchgang - Qualifikation,26,Sat Apr 20 2019,SCR Altach,2-2,SK Rapid Wien
Finaldurchgang - Meister,26,Sun Apr 21 2019,SK Sturm Graz,1-2,Wolfsberger AC
Finaldurchgang - Meister,26,Sun Apr 21 2019,SKN St. Pölten,1-1,FC RB Salzburg
Finaldurchgang - Meister,26,Sun Apr 21 2019,FK Austria Wien,2-2,LASK Linz
Finaldurchgang - Qualifikation,27,Tue Apr 23 2019,FC Wacker Innsbruck,0-4,SCR Altach
Finaldurchgang - Qualifikation,27,Tue Apr 23 2019,FC Admira Wacker Mödling,0-2,SV Mattersburg
Finaldurchgang - Qualifikation,27,Tue Apr 23 2019,TSV Hartberg,2-4,SK Rapid Wien
Finaldurchgang - Meister,27,Wed Apr 24 2019,LASK Linz,1-2,SK Sturm Graz
Finaldurchgang - Meister,27,Wed Apr 24 2019,FK Austria Wien,2-2,SKN St. Pölten
Finaldurchgang - Meister,27,Wed Apr 24 2019,FC RB Salzburg,3-1,Wolfsberger AC
Finaldurchgang - Qualifikation,28,Sat Apr 27 2019,SK Rapid Wien,3-4,TSV Hartberg
Finaldurchgang - Qualifikation,28,Sat Apr 27 2019,SCR Altach,1-4,FC Wacker Innsbruck
Finaldurchgang - Qualifikation,28,Sat Apr 27 2019,SV Mattersburg,1-1,FC Admira Wacker Mödling
Finaldurchgang - Meister,28,Sun Apr 28 2019,SK Sturm Graz,2-3,LASK Linz
Finaldurchgang - Meister,28,Sun Apr 28 2019,Wolfsberger AC,2-1,FC RB Salzburg
Finaldurchgang - Meister,28,Sun Apr 28 2019,SKN St. Pölten,1-2,FK Austria Wien
Finaldurchgang - Qualifikation,29,Sat May 4 2019,SV Mattersburg,0-0,SCR Altach
Finaldurchgang - Qualifikation,29,Sat May 4 2019,FC Wacker Innsbruck,1-0,TSV Hartberg
Finaldurchgang - Qualifikation,29,Sat May 4 2019,FC Admira Wacker Mödling,3-4,SK Rapid Wien
Finaldurchgang - Meister,29,Sun May 5 2019,SKN St. Pölten,0-1,SK Sturm Graz
Finaldurchgang - Meister,29,Sun May 5 2019,LASK Linz,3-0,Wolfsberger AC
Finaldurchgang - Meister,29,Sun May 5 2019,FK Austria Wien,1-2,FC RB Salzburg
Finaldurchgang - Qualifikation,30,Sat May 11 2019,TSV Hartberg,2-1,SV Mattersburg
Finaldurchgang - Qualifikation,30,Sat May 11 2019,SK Rapid Wien,1-0,FC Wacker Innsbruck
Finaldurchgang - Qualifikation,30,Sat May 11 2019,SCR Altach,2-2,FC Admira Wacker Mödling
Finaldurchgang - Meister,30,Sun May 12 2019,Wolfsberger AC,4-0,SKN St. Pölten
Finaldurchgang - Meister,30,Sun May 12 2019,FC RB Salzburg,2-1,LASK Linz
Finaldurchgang - Meister,30,Sun May 12 2019,SK Sturm Graz,1-3,FK Austria Wien
Finaldurchgang - Qualifikation,31,Sat May 18 2019,FC Admira Wacker Mödling,3-2,FC Wacker Innsbruck
Finaldurchgang - Qualifikation,31,Sat May 18 2019,SCR Altach,3-1,TSV Hartberg
Finaldurchgang - Qualifikation,31,Sat May 18 2019,SV Mattersburg,1-0,SK Rapid Wien
Finaldurchgang - Meister,31,Sun May 19 2019,SK Sturm Graz,1-2,FC RB Salzburg
Finaldurchgang - Meister,31,Sun May 19 2019,SKN St. Pölten,0-1,LASK Linz
Finaldurchgang - Meister,31,Sun May 19 2019,FK Austria Wien,2-0,Wolfsberger AC
Finaldurchgang - Qualifikation,32,Sat May 25 2019,SK Rapid Wien,1-2,SCR Altach
Finaldurchgang - Qualifikation,32,Sat May 25 2019,TSV Hartberg,3-1,FC Admira Wacker Mödling
Finaldurchgang - Qualifikation,32,Sat May 25 2019,FC Wacker Innsbruck,4-0,SV Mattersburg
Finaldurchgang - Meister,32,Sun May 26 2019,FC RB Salzburg,7-0,SKN St. Pölten
Finaldurchgang - Meister,32,Sun May 26 2019,Wolfsberger AC,2-1,SK Sturm Graz
Finaldurchgang - Meister,32,Sun May 26 2019,LASK Linz,5-2,FK Austria Wien
Europa League Play-off,Halbfinale,Tue May 28 2019,SK Rapid Wien,2-0,SV Mattersburg
Europa League Play-off,Finale,Thu May 30 2019,SK Rapid Wien,1-2,SK Sturm Graz
Europa League Play-off,Finale,Sun Jun 2 2019,SK Sturm Graz,0-1,SK Rapid Wien
