Stage,Round,Date,Team 1,FT,Team 2
Grunddurchgang,1,Fri Jul 27 2018,FK Austria Wien,2-1,FC Wacker Innsbruck
Grunddurchgang,1,Sat Jul 28 2018,SCR Altach,2-3,SV Mattersburg
Grunddurchgang,1,Sat Jul 28 2018,SK Sturm Graz,3-2,TSV Hartberg
Grunddurchgang,1,Sun Jul 29 2018,FC RB Salzburg,3-1,LASK Linz
Grunddurchgang,1,Sun Jul 29 2018,FC Admira Wacker Mödling,0-3,SK Rapid Wien
Grunddurchgang,1,Sun Jul 29 2018,SKN St. Pölten,4-3,Wolfsberger AC
Grunddurchgang,2,Sat Aug 4 2018,SK Rapid Wien,1-1,SCR Altach
Grunddurchgang,2,Sat Aug 4 2018,FC Wacker Innsbruck,2-3,SK Sturm Graz
Grunddurchgang,2,Sat Aug 4 2018,SV Mattersburg,0-2,FC RB Salzburg
Grunddurchgang,2,Sun Aug 5 2018,Wolfsberger AC,1-0,FK Austria Wien
Grunddurchgang,2,Sun Aug 5 2018,LASK Linz,0-0,SKN St. Pölten
Grunddurchgang,2,Sun Aug 5 2018,TSV Hartberg,0-1,FC Admira Wacker Mödling
Grunddurchgang,3,Sat Aug 11 2018,FC RB Salzburg,2-0,FK Austria Wien
Grunddurchgang,3,Sat Aug 11 2018,SCR Altach,1-2,FC Wacker Innsbruck
Grunddurchgang,3,Sat Aug 11 2018,TSV Hartberg,4-2,SV Mattersburg
Grunddurchgang,3,Sun Aug 12 2018,SK Rapid Wien,0-0,Wolfsberger AC
Grunddurchgang,3,Sun Aug 12 2018,FC Admira Wacker Mödling,0-1,LASK Linz
Grunddurchgang,3,Sun Aug 12 2018,SKN St. Pölten,2-0,SK Sturm Graz
Grunddurchgang,4,Sat Aug 18 2018,FC Wacker Innsbruck,0-2,SKN St. Pölten
Grunddurchgang,4,Sat Aug 18 2018,SV Mattersburg,0-6,Wolfsberger AC
Grunddurchgang,4,Sat Aug 18 2018,FC RB Salzburg,2-0,TSV Hartberg
Grunddurchgang,4,Sun Aug 19 2018,SK Sturm Graz,1-1,SCR Altach
Grunddurchgang,4,Sun Aug 19 2018,FK Austria Wien,4-0,FC Admira Wacker Mödling
Grunddurchgang,4,Sun Aug 19 2018,LASK Linz,2-1,SK Rapid Wien
Grunddurchgang,5,Sat Aug 25 2018,Wolfsberger AC,1-1,SK Sturm Graz
Grunddurchgang,5,Sat Aug 25 2018,SCR Altach,2-3,FC RB Salzburg
Grunddurchgang,5,Sat Aug 25 2018,SKN St. Pölten,0-0,FK Austria Wien
Grunddurchgang,5,Sun Aug 26 2018,FC Admira Wacker Mödling,0-0,SV Mattersburg
Grunddurchgang,5,Sun Aug 26 2018,SK Rapid Wien,2-1,FC Wacker Innsbruck
Grunddurchgang,5,Sun Aug 26 2018,TSV Hartberg,0-1,LASK Linz
Grunddurchgang,6,Sat Sep 1 2018,SCR Altach,1-2,SKN St. Pölten
Grunddurchgang,6,Sat Sep 1 2018,FC Wacker Innsbruck,2-1,TSV Hartberg
Grunddurchgang,6,Sat Sep 1 2018,FK Austria Wien,2-1,SV Mattersburg
Grunddurchgang,6,Sun Sep 2 2018,LASK Linz,2-0,Wolfsberger AC
Grunddurchgang,6,Sun Sep 2 2018,SK Sturm Graz,1-1,SK Rapid Wien
Grunddurchgang,6,Sun Sep 2 2018,FC RB Salzburg,3-1,FC Admira Wacker Mödling
