Round,Date,Team 1,FT,Team 2
1,Fri Jul 20 2018,SV Leobendorf,2-0,SV Neuberg
1,Fri Jul 20 2018,SAK Klagenfurt,1-0,VST Völkermarkt
1,Fri Jul 20 2018,SVG Reichenau,3-5,Kapfenberger SV
1,Fri Jul 20 2018,SK Maria Saal,0-6,SKN St. Pölten
1,Fri Jul 20 2018,SV Grödig,1-1,TSV Hartberg
1,Fri Jul 20 2018,SC Schwaz,2-0,FC Dornbirn 1913
1,Fri Jul 20 2018,WSC Hertha Wels,0-3,LASK Linz
1,Fri Jul 20 2018,USV Allerheiligen,1-3,SV Mattersburg
1,Fri Jul 20 2018,ASK Ebreichsdorf,1-2,SK Vorwärts Steyr
1,Fri Jul 20 2018,SC Neusiedl am See,1-0,FC Admira Wacker Mödling
1,Fri Jul 20 2018,Deutschlandsberger SC,4-2,SKU Amstetten
1,Fri Jul 20 2018,FC Mauerwerk,0-2,SC Wiener Neustadt
1,Fri Jul 20 2018,USV Mettersdorf,0-1,SV Horn
1,Fri Jul 20 2018,FC Kufstein,0-5,SK Rapid Wien
1,Sat Jul 21 2018,Dornbirner SV,0-6,SV Ried
1,Sat Jul 21 2018,Union Vöcklamarkt,4-0,FC Alberschwende
1,Sat Jul 21 2018,USK Anif,0-3,WSG Tirol
1,Sat Jul 21 2018,ASV Siegendorf,0-2,SK Sturm Graz
1,Sat Jul 21 2018,FC Kitzbühel,2-2,SV Lafnitz
1,Sat Jul 21 2018,SC Team Wiener Linien,2-3,FC Wacker Innsbruck
1,Sat Jul 21 2018,VfB Hohenems,2-5,Floridsdorfer AC
1,Sat Jul 21 2018,ATSV Stadl-Paura,1-1,FC Blau-Weiß Linz
1,Sat Jul 21 2018,USV Scheiblingkirchen-Warth,0-4,Austria Lustenau
1,Sat Jul 21 2018,Union Gurten,1-2,Wolfsberger AC
1,Sat Jul 21 2018,Grazer AK,6-0,FC Marchfeld
1,Sat Jul 21 2018,FCM Traiskirchen,0-2,Austria Klagenfurt
1,Sat Jul 21 2018,FC Lendorf,0-2,ASK-BSC Bruck/Leitha
1,Sat Jul 21 2018,FC Pinzgau Saalfelden,4-0,SV Straßwalchen
1,Sun Jul 22 2018,FV Austria XIII,0-4,FK Austria Wien
1,Sun Jul 22 2018,SC-ESV Parndorf,0-3,SCR Altach
1,Sun Jul 22 2018,ASKÖ Oedt,0-6,FC RB Salzburg
1,Mon Jul 30 2018,FC Stadlau,0-0,FC Gleisdorf 09
2,Mon Sep 24 2018,SAK Klagenfurt,1-5,Floridsdorfer AC
2,Tue Sep 25 2018,SV Leobendorf,1-2,SCR Altach
2,Tue Sep 25 2018,ASK-BSC Bruck/Leitha,1-3,Austria Lustenau
2,Tue Sep 25 2018,Wolfsberger AC,4-0,Austria Klagenfurt
2,Tue Sep 25 2018,Union Vöcklamarkt,0-1,SV Ried
2,Tue Sep 25 2018,Deutschlandsberger SC,3-3,SC Wiener Neustadt
2,Tue Sep 25 2018,TSV Hartberg,3-0,WSG Tirol
2,Tue Sep 25 2018,SV Horn,0-2,SV Lafnitz
2,Tue Sep 25 2018,Grazer AK,0-0,SK Vorwärts Steyr
2,Wed Sep 26 2018,FC Stadlau,0-4,Kapfenberger SV
2,Wed Sep 26 2018,SV Mattersburg,1-1,SK Rapid Wien
2,Wed Sep 26 2018,FC Pinzgau Saalfelden,0-5,SKN St. Pölten
2,Wed Sep 26 2018,ATSV Stadl-Paura,0-8,LASK Linz
2,Wed Sep 26 2018,SC Neusiedl am See,1-3,FC Wacker Innsbruck
2,Wed Sep 26 2018,SC Schwaz,0-6,FC RB Salzburg
2,Wed Sep 26 2018,FK Austria Wien,2-0,SK Sturm Graz
Achtelfinale,Tue Oct 30 2018,TSV Hartberg,4-3,FC Wacker Innsbruck
Achtelfinale,Tue Oct 30 2018,FK Austria Wien,3-1,Floridsdorfer AC
Achtelfinale,Wed Oct 31 2018,Wolfsberger AC,0-3,SK Rapid Wien
Achtelfinale,Wed Oct 31 2018,SCR Altach,0-3,LASK Linz
Achtelfinale,Wed Oct 31 2018,Austria Lustenau,0-1,FC RB Salzburg
Achtelfinale,Wed Oct 31 2018,SV Lafnitz,2-3,SKN St. Pölten
Achtelfinale,Wed Oct 31 2018,SV Ried,1-2,SC Wiener Neustadt
Achtelfinale,Thu Nov 1 2018,Grazer AK,3-0,Kapfenberger SV
Viertelfinale,Fri Feb 15 2019,Grazer AK,2-1,FK Austria Wien
Viertelfinale,Sat Feb 16 2019,LASK Linz,6-0,SKN St. Pölten
Viertelfinale,Sun Feb 17 2019,SC Wiener Neustadt,1-2,FC RB Salzburg
Viertelfinale,Sun Feb 17 2019,SK Rapid Wien,5-2,TSV Hartberg
Halbfinale,Wed Apr 3 2019,Grazer AK,0-6,FC RB Salzburg
Halbfinale,Wed Apr 3 2019,LASK Linz,1-1,SK Rapid Wien
Finale,Wed May 1 2019,FC RB Salzburg,2-0,SK Rapid Wien
