Round,Date,Team 1,FT,Team 2
1,Fri Jul 27 2018,SK Vorwärts Steyr,1-1,SV Ried
1,Fri Jul 27 2018,Kapfenberger SV,3-0,Young Violets Austria Wien
1,Fri Jul 27 2018,SC Wiener Neustadt,0-2,FC Blau-Weiß Linz
1,Fri Jul 27 2018,SV Horn,1-2,FC Liefering
1,Fri Jul 27 2018,Austria Klagenfurt,1-1,Austria Lustenau
1,Sat Jul 28 2018,WSG Tirol,6-1,SV Lafnitz
1,Sun Jul 29 2018,SKU Amstetten,3-4,Floridsdorfer AC
1,Sun Jul 29 2018,FC Juniors OÖ,0-3,FC Wacker Innsbruck II
2,Fri Aug 3 2018,FC Blau-Weiß Linz,3-1,Austria Klagenfurt
2,Fri Aug 3 2018,FC Liefering,4-0,SK Vorwärts Steyr
2,Fri Aug 3 2018,SV Lafnitz,1-2,FC Juniors OÖ
2,Fri Aug 3 2018,Floridsdorfer AC,0-2,Kapfenberger SV
2,Fri Aug 3 2018,Young Violets Austria Wien,4-3,SV Horn
2,Sat Aug 4 2018,Austria Lustenau,1-1,SC Wiener Neustadt
2,Sun Aug 5 2018,SV Ried,2-1,WSG Tirol
2,Sun Aug 5 2018,FC Wacker Innsbruck II,0-0,SKU Amstetten
3,Fri Aug 10 2018,FC Liefering,3-0,Young Violets Austria Wien
3,Fri Aug 10 2018,SKU Amstetten,1-1,SV Lafnitz
3,Fri Aug 10 2018,SV Horn,0-3,Austria Lustenau
3,Sat Aug 11 2018,WSG Tirol,1-1,Austria Klagenfurt
3,Sat Aug 11 2018,FC Wacker Innsbruck II,1-3,FC Blau-Weiß Linz
3,Sat Aug 11 2018,Kapfenberger SV,1-2,SV Ried
3,Sun Aug 12 2018,SK Vorwärts Steyr,0-2,SC Wiener Neustadt
3,Sun Aug 12 2018,FC Juniors OÖ,2-2,Floridsdorfer AC
4,Fri Aug 17 2018,SV Ried,3-0,FC Liefering
4,Fri Aug 17 2018,FC Blau-Weiß Linz,1-2,SKU Amstetten
4,Fri Aug 17 2018,SC Wiener Neustadt,0-0,Young Violets Austria Wien
4,Fri Aug 17 2018,Floridsdorfer AC,0-2,WSG Tirol
4,Fri Aug 17 2018,Austria Klagenfurt,0-1,FC Wacker Innsbruck II
4,Sat Aug 18 2018,Austria Lustenau,2-0,FC Juniors OÖ
4,Sun Aug 19 2018,Kapfenberger SV,3-1,SK Vorwärts Steyr
4,Sun Aug 19 2018,SV Lafnitz,0-2,SV Horn
5,Fri Aug 24 2018,WSG Tirol,1-0,FC Blau-Weiß Linz
5,Fri Aug 24 2018,FC Liefering,0-0,Kapfenberger SV
5,Fri Aug 24 2018,Young Violets Austria Wien,1-3,SV Lafnitz
5,Fri Aug 24 2018,Floridsdorfer AC,1-1,Austria Lustenau
5,Fri Aug 24 2018,SV Horn,1-2,SK Vorwärts Steyr
5,Sat Aug 25 2018,FC Wacker Innsbruck II,1-3,SC Wiener Neustadt
5,Sun Aug 26 2018,SKU Amstetten,1-1,SV Ried
5,Sun Aug 26 2018,FC Juniors OÖ,2-1,Austria Klagenfurt
6,Fri Aug 31 2018,SV Ried,3-0,SV Horn
6,Fri Aug 31 2018,Kapfenberger SV,2-2,WSG Tirol
