Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 23 Jul 2016 (29),Rapid Vienna (1),5-0,?,Ried (1)
?,(Sat) 23 Jul 2016 (29),Altach (1),1-0,?,AC Wolfsberger (1)
?,(Sat) 23 Jul 2016 (29),Sturm Graz (1),3-1,?,Salzburg (1)
?,(Sun) 24 Jul 2016 (29),St. Polten (1),1-2,?,Austria Vienna (1)
?,(Sun) 24 Jul 2016 (29),Mattersburg (1),0-1,?,Admira (1)
?,(Sat) 30 Jul 2016 (30),Salzburg (2),1-1,?,AC Wolfsberger (2)
?,(Sat) 30 Jul 2016 (30),Ried (2),1-0,?,Sturm Graz (2)
?,(Sun) 31 Jul 2016 (30),Altach (2),1-0,?,Rapid Vienna (2)
?,(Sun) 31 Jul 2016 (30),Austria Vienna (2),3-1,?,Mattersburg (2)
?,(Sun) 31 Jul 2016 (30),St. Polten (2),2-1,?,Admira (2)
?,(Sat) 6 Aug 2016 (31),Mattersburg (3),0-2,?,Sturm Graz (3)
?,(Sat) 6 Aug 2016 (31),AC Wolfsberger (3),1-0,?,Ried (3)
?,(Sat) 6 Aug 2016 (31),Admira (3),1-2,?,Altach (3)
?,(Sat) 6 Aug 2016 (31),Salzburg (3),2-0,?,St. Polten (3)
?,(Sun) 7 Aug 2016 (31),Austria Vienna (3),1-4,?,Rapid Vienna (3)
?,(Sat) 13 Aug 2016 (32),Ried (4),0-2,?,Salzburg (4)
?,(Sat) 13 Aug 2016 (32),Altach (4),3-1,?,St. Polten (4)
?,(Sat) 13 Aug 2016 (32),Mattersburg (4),3-1,?,AC Wolfsberger (4)
?,(Sat) 13 Aug 2016 (32),Rapid Vienna (4),4-0,?,Admira (4)
?,(Sun) 14 Aug 2016 (32),Sturm Graz (4),3-1,?,Austria Vienna (4)
?,(Sat) 20 Aug 2016 (33),St. Polten (5),1-3,?,Sturm Graz (5)
?,(Sat) 20 Aug 2016 (33),Admira (5),1-0,?,Ried (5)
?,(Sat) 20 Aug 2016 (33),Salzburg (5),3-1,?,Mattersburg (5)
?,(Sun) 21 Aug 2016 (33),AC Wolfsberger (5),1-1,?,Rapid Vienna (5)
?,(Sun) 21 Aug 2016 (33),Austria Vienna (5),3-1,?,Altach (5)
?,(Sat) 27 Aug 2016 (34),Sturm Graz (6),3-1,?,Altach (6)
?,(Sat) 27 Aug 2016 (34),AC Wolfsberger (6),5-0,?,Admira (6)
?,(Sat) 27 Aug 2016 (34),Mattersburg (6),1-1,?,St. Polten (6)
?,(Sun) 28 Aug 2016 (34),Rapid Vienna (6),0-0,?,Salzburg (6)
?,(Sun) 28 Aug 2016 (34),Ried (6),1-1,?,Austria Vienna (6)
?,(Sat) 10 Sep 2016 (36),Sturm Graz (7),1-1,?,Rapid Vienna (7)
?,(Sat) 10 Sep 2016 (36),Altach (7),2-1,?,Mattersburg (7)
?,(Sat) 10 Sep 2016 (36),Austria Vienna (7),4-1,?,AC Wolfsberger (7)
?,(Sat) 10 Sep 2016 (36),St. Polten (7),2-3,?,Ried (7)
?,(Sun) 11 Sep 2016 (36),Admira (7),0-4,?,Salzburg (7)
?,(Sat) 17 Sep 2016 (37),Ried (8),2-1,?,Altach (8)
?,(Sat) 17 Sep 2016 (37),AC Wolfsberger (8),1-1,?,St. Polten (8)
?,(Sat) 17 Sep 2016 (37),Admira (8),0-3,?,Sturm Graz (8)
?,(Sun) 18 Sep 2016 (37),Salzburg (8),4-1,?,Austria Vienna (8)
?,(Sun) 18 Sep 2016 (37),Rapid Vienna (8),3-0,?,Mattersburg (8)
?,(Sat) 24 Sep 2016 (38),St. Polten (9),1-1,?,Rapid Vienna (9)
?,(Sat) 24 Sep 2016 (38),Austria Vienna (9),1-2,?,Admira (9)
?,(Sat) 24 Sep 2016 (38),Mattersburg (9),1-1,?,Ried (9)
?,(Sat) 24 Sep 2016 (38),Sturm Graz (9),3-0,?,AC Wolfsberger (9)
?,(Sun) 25 Sep 2016 (38),Altach (9),0-0,?,Salzburg (9)
?,(Sat) 1 Oct 2016 (39),AC Wolfsberger (10),1-2,?,Altach (10)
?,(Sat) 1 Oct 2016 (39),Admira (10),1-0,?,Mattersburg (10)
?,(Sun) 2 Oct 2016 (39),Ried (10),4-2,?,Rapid Vienna (10)
?,(Sun) 2 Oct 2016 (39),Salzburg (10),0-1,?,Sturm Graz (10)
?,(Sun) 2 Oct 2016 (39),Austria Vienna (10),2-1,?,St. Polten (10)
?,(Sat) 15 Oct 2016 (41),AC Wolfsberger (11),2-2,?,Salzburg (11)
?,(Sat) 15 Oct 2016 (41),Admira (11),1-1,?,St. Polten (11)
?,(Sat) 15 Oct 2016 (41),Rapid Vienna (11),1-1,?,Altach (11)
?,(Sat) 15 Oct 2016 (41),Sturm Graz (11),1-0,?,Ried (11)
?,(Sun) 16 Oct 2016 (41),Mattersburg (11),0-2,?,Austria Vienna (11)
?,(Sat) 22 Oct 2016 (42),Sturm Graz (12),2-2,?,Mattersburg (12)
?,(Sat) 22 Oct 2016 (42),Altach (12),2-0,?,Admira (12)
?,(Sat) 22 Oct 2016 (42),Ried (12),0-1,?,AC Wolfsberger (12)
?,(Sun) 23 Oct 2016 (42),St. Polten (12),1-5,?,Salzburg (12)
?,(Sun) 23 Oct 2016 (42),Rapid Vienna (12),0-2,?,Austria Vienna (12)
?,(Sat) 29 Oct 2016 (43),Admira (13),1-2,?,Rapid Vienna (13)
?,(Sat) 29 Oct 2016 (43),AC Wolfsberger (13),3-0,?,Mattersburg (13)
?,(Sat) 29 Oct 2016 (43),Salzburg (13),1-0,?,Ried (13)
?,(Sat) 29 Oct 2016 (43),St. Polten (13),0-1,?,Altach (13)
?,(Sun) 30 Oct 2016 (43),Austria Vienna (13),2-0,?,Sturm Graz (13)
?,(Sat) 5 Nov 2016 (44),Sturm Graz (14),1-2,?,St. Polten (14)
?,(Sat) 5 Nov 2016 (44),Ried (14),2-1,?,Admira (14)
?,(Sun) 6 Nov 2016 (44),Rapid Vienna (14),0-1,?,AC Wolfsberger (14)
?,(Sun) 6 Nov 2016 (44),Altach (14),5-1,?,Austria Vienna (14)
?,(Sun) 6 Nov 2016 (44),Mattersburg (14),2-1,?,Salzburg (14)
?,(Sat) 19 Nov 2016 (46),Altach (15),1-1,?,Sturm Graz (15)
?,(Sat) 19 Nov 2016 (46),Admira (15),4-1,?,AC Wolfsberger (15)
?,(Sat) 19 Nov 2016 (46),Austria Vienna (15),2-0,?,Ried (15)
?,(Sat) 19 Nov 2016 (46),St. Polten (15),2-2,?,Mattersburg (15)
?,(Sun) 20 Nov 2016 (46),Salzburg (15),2-1,?,Rapid Vienna (15)
?,(Sat) 26 Nov 2016 (47),Ried (16),1-2,?,St. Polten (16)
?,(Sat) 26 Nov 2016 (47),Mattersburg (16),1-2,?,Altach (16)
?,(Sun) 27 Nov 2016 (47),AC Wolfsberger (16),0-3,?,Austria Vienna (16)
?,(Sun) 27 Nov 2016 (47),Rapid Vienna (16),1-2,?,Sturm Graz (16)
?,(Sun) 27 Nov 2016 (47),Salzburg (16),0-1,?,Admira (16)
?,(Tue) 29 Nov 2016 (48),Altach (17),1-0,?,Ried (17)
?,(Wed) 30 Nov 2016 (48),Austria Vienna (17),1-3,?,Salzburg (17)
?,(Wed) 30 Nov 2016 (48),Mattersburg (17),1-1,?,Rapid Vienna (17)
?,(Wed) 30 Nov 2016 (48),St. Polten (17),0-4,?,AC Wolfsberger (17)
?,(Wed) 30 Nov 2016 (48),Sturm Graz (17),0-2,?,Admira (17)
?,(Sat) 3 Dec 2016 (48),Rapid Vienna (18),1-0,?,St. Polten (18)
?,(Sat) 3 Dec 2016 (48),Admira (18),0-2,?,Austria Vienna (18)
?,(Sat) 3 Dec 2016 (48),Ried (18),2-1,?,Mattersburg (18)
?,(Sat) 3 Dec 2016 (48),Salzburg (18),4-1,?,Altach (18)
?,(Sun) 4 Dec 2016 (48),AC Wolfsberger (18),0-4,?,Sturm Graz (18)
?,(Sat) 10 Dec 2016 (49),Altach (19),2-1,?,AC Wolfsberger (19)
?,(Sat) 10 Dec 2016 (49),Mattersburg (19),2-0,?,Admira (19)
?,(Sun) 11 Dec 2016 (49),Rapid Vienna (19),3-1,?,Ried (19)
?,(Sun) 11 Dec 2016 (49),Sturm Graz (19),0-1,?,Salzburg (19)
?,(Mon) 12 Dec 2016 (50),St. Polten (19),2-1,?,Austria Vienna (19)
?,(Sat) 17 Dec 2016 (50),Ried (20),0-3,?,Sturm Graz (20)
?,(Sat) 17 Dec 2016 (50),Austria Vienna (20),2-0,?,Mattersburg (20)
?,(Sat) 17 Dec 2016 (50),Salzburg (20),3-0,?,AC Wolfsberger (20)
?,(Sat) 17 Dec 2016 (50),St. Polten (20),2-2,?,Admira (20)
?,(Sun) 18 Dec 2016 (50),Altach (20),3-1,?,Rapid Vienna (20)
?,(Sat) 11 Feb 2017 (6),Admira (21),1-1,?,Altach (21)
?,(Sat) 11 Feb 2017 (6),AC Wolfsberger (21),1-0,?,Ried (21)
?,(Sat) 11 Feb 2017 (6),Mattersburg (21),1-0,?,Sturm Graz (21)
?,(Sat) 11 Feb 2017 (6),Salzburg (21),2-0,?,St. Polten (21)
?,(Sun) 12 Feb 2017 (6),Austria Vienna (21),1-1,?,Rapid Vienna (21)
?,(Sat) 18 Feb 2017 (7),Sturm Graz (22),0-4,?,Austria Vienna (22)
?,(Sat) 18 Feb 2017 (7),Altach (22),1-2,?,St. Polten (22)
?,(Sat) 18 Feb 2017 (7),Mattersburg (22),2-1,?,AC Wolfsberger (22)
?,(Sat) 18 Feb 2017 (7),Rapid Vienna (22),0-0,?,Admira (22)
?,(Sun) 19 Feb 2017 (7),Ried (22),1-6,?,Salzburg (22)
?,(Sat) 25 Feb 2017 (8),AC Wolfsberger (23),2-1,?,Rapid Vienna (23)
?,(Sat) 25 Feb 2017 (8),Admira (23),1-0,?,Ried (23)
?,(Sat) 25 Feb 2017 (8),Austria Vienna (23),1-3,?,Altach (23)
?,(Sat) 25 Feb 2017 (8),Salzburg (23),1-0,?,Mattersburg (23)
?,(Sun) 26 Feb 2017 (8),St. Polten (23),2-1,?,Sturm Graz (23)
?,(Sat) 4 Mar 2017 (9),Sturm Graz (24),3-0,?,Altach (24)
?,(Sat) 4 Mar 2017 (9),AC Wolfsberger (24),1-1,?,Admira (24)
?,(Sat) 4 Mar 2017 (9),Mattersburg (24),1-0,?,St. Polten (24)
?,(Sat) 4 Mar 2017 (9),Ried (24),0-3,?,Austria Vienna (24)
?,(Sun) 5 Mar 2017 (9),Rapid Vienna (24),0-1,?,Salzburg (24)
?,(Sat) 11 Mar 2017 (10),St. Polten (25),1-0,?,Ried (25)
?,(Sat) 11 Mar 2017 (10),Admira (25),1-1,?,Salzburg (25)
?,(Sat) 11 Mar 2017 (10),Altach (25),3-0,?,Mattersburg (25)
?,(Sat) 11 Mar 2017 (10),Austria Vienna (25),3-0,?,AC Wolfsberger (25)
?,(Sun) 12 Mar 2017 (10),Sturm Graz (25),2-1,?,Rapid Vienna (25)
?,(Sat) 18 Mar 2017 (11),Rapid Vienna (26),1-1,?,Mattersburg (26)
?,(Sat) 18 Mar 2017 (11),AC Wolfsberger (26),1-0,?,St. Polten (26)
?,(Sat) 18 Mar 2017 (11),Admira (26),1-0,?,Sturm Graz (26)
?,(Sat) 18 Mar 2017 (11),Ried (26),2-0,?,Altach (26)
?,(Sun) 19 Mar 2017 (11),Salzburg (26),5-0,?,Austria Vienna (26)
?,(Sat) 1 Apr 2017 (13),St. Polten (27),1-1,?,Rapid Vienna (27)
?,(Sat) 1 Apr 2017 (13),Austria Vienna (27),0-2,?,Admira (27)
?,(Sat) 1 Apr 2017 (13),Mattersburg (27),2-1,?,Ried (27)
?,(Sat) 1 Apr 2017 (13),Sturm Graz (27),4-0,?,AC Wolfsberger (27)
?,(Sun) 2 Apr 2017 (13),Altach (27),0-5,?,Salzburg (27)
?,(Sat) 8 Apr 2017 (14),Ried (28),3-0,?,Rapid Vienna (28)
?,(Sat) 8 Apr 2017 (14),AC Wolfsberger (28),0-0,?,Altach (28)
?,(Sat) 8 Apr 2017 (14),Admira (28),0-2,?,Mattersburg (28)
?,(Sat) 8 Apr 2017 (14),Austria Vienna (28),1-2,?,St. Polten (28)
?,(Sun) 9 Apr 2017 (14),Salzburg (28),1-0,?,Sturm Graz (28)
?,(Sat) 15 Apr 2017 (15),AC Wolfsberger (29),0-2,?,Salzburg (29)
?,(Sat) 15 Apr 2017 (15),Admira (29),2-0,?,St. Polten (29)
?,(Sat) 15 Apr 2017 (15),Rapid Vienna (29),3-0,?,Altach (29)
?,(Sat) 15 Apr 2017 (15),Sturm Graz (29),1-0,?,Ried (29)
?,(Sun) 16 Apr 2017 (15),Mattersburg (29),0-3,?,Austria Vienna (29)
