Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 23 Jul 2016 (29),SK Rapid Wien (1),5-0,?,SV Ried (1)
?,(Sat) 23 Jul 2016 (29),SCR Altach (1),1-0,?,Wolfsberger AC (1)
?,(Sat) 23 Jul 2016 (29),SK Sturm Graz (1),3-1,?,FC RB Salzburg (1)
?,(Sun) 24 Jul 2016 (29),SKN St. Pölten (1),1-2,?,FK Austria Wien (1)
?,(Sun) 24 Jul 2016 (29),SV Mattersburg (1),0-1,?,FC Admira Wacker Mödling (1)
?,(Sat) 30 Jul 2016 (30),FC RB Salzburg (2),1-1,?,Wolfsberger AC (2)
?,(Sat) 30 Jul 2016 (30),SV Ried (2),1-0,?,SK Sturm Graz (2)
?,(Sun) 31 Jul 2016 (30),SCR Altach (2),1-0,?,SK Rapid Wien (2)
?,(Sun) 31 Jul 2016 (30),FK Austria Wien (2),3-1,?,SV Mattersburg (2)
?,(Sun) 31 Jul 2016 (30),SKN St. Pölten (2),2-1,?,FC Admira Wacker Mödling (2)
?,(Sat) 6 Aug 2016 (31),SV Mattersburg (3),0-2,?,SK Sturm Graz (3)
?,(Sat) 6 Aug 2016 (31),Wolfsberger AC (3),1-0,?,SV Ried (3)
?,(Sat) 6 Aug 2016 (31),FC Admira Wacker Mödling (3),1-2,?,SCR Altach (3)
?,(Sat) 6 Aug 2016 (31),FC RB Salzburg (3),2-0,?,SKN St. Pölten (3)
?,(Sun) 7 Aug 2016 (31),FK Austria Wien (3),1-4,?,SK Rapid Wien (3)
?,(Sat) 13 Aug 2016 (32),SV Ried (4),0-2,?,FC RB Salzburg (4)
?,(Sat) 13 Aug 2016 (32),SCR Altach (4),3-1,?,SKN St. Pölten (4)
?,(Sat) 13 Aug 2016 (32),SV Mattersburg (4),3-1,?,Wolfsberger AC (4)
?,(Sat) 13 Aug 2016 (32),SK Rapid Wien (4),4-0,?,FC Admira Wacker Mödling (4)
?,(Sun) 14 Aug 2016 (32),SK Sturm Graz (4),3-1,?,FK Austria Wien (4)
?,(Sat) 20 Aug 2016 (33),SKN St. Pölten (5),1-3,?,SK Sturm Graz (5)
?,(Sat) 20 Aug 2016 (33),FC Admira Wacker Mödling (5),1-0,?,SV Ried (5)
