Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 27 Jul 2018 (W30),FK Austria Wien (1),2-1,?,FC Wacker Innsbruck (1)
?,(Sat) 28 Jul 2018 (W30),SCR Altach (1),2-3,?,SV Mattersburg (1)
?,(Sat) 28 Jul 2018 (W30),SK Sturm Graz (1),3-2,?,TSV Hartberg (1)
?,(Sun) 29 Jul 2018 (W30),FC Admira Wacker Mödling (1),0-3,?,SK Rapid Wien (1)
?,(Sun) 29 Jul 2018 (W30),FC RB Salzburg (1),3-1,?,LASK Linz (1)
?,(Sun) 29 Jul 2018 (W30),SKN St. Pölten (1),4-3,?,Wolfsberger AC (1)
?,(Sat) 4 Aug 2018 (W31),SV Mattersburg (2),0-2,?,FC RB Salzburg (2)
?,(Sat) 4 Aug 2018 (W31),SK Rapid Wien (2),1-1,?,SCR Altach (2)
?,(Sat) 4 Aug 2018 (W31),FC Wacker Innsbruck (2),2-3,?,SK Sturm Graz (2)
?,(Sun) 5 Aug 2018 (W31),Wolfsberger AC (2),1-0,?,FK Austria Wien (2)
?,(Sun) 5 Aug 2018 (W31),TSV Hartberg (2),0-1,?,FC Admira Wacker Mödling (2)
?,(Sun) 5 Aug 2018 (W31),LASK Linz (2),0-0,?,SKN St. Pölten (2)
?,(Sat) 11 Aug 2018 (W32),SCR Altach (3),1-2,?,FC Wacker Innsbruck (3)
?,(Sat) 11 Aug 2018 (W32),TSV Hartberg (3),4-2,?,SV Mattersburg (3)
?,(Sat) 11 Aug 2018 (W32),FC RB Salzburg (3),2-0,?,FK Austria Wien (3)
?,(Sun) 12 Aug 2018 (W32),FC Admira Wacker Mödling (3),0-1,?,LASK Linz (3)
?,(Sun) 12 Aug 2018 (W32),SK Rapid Wien (3),0-0,?,Wolfsberger AC (3)
?,(Sun) 12 Aug 2018 (W32),SKN St. Pölten (3),2-0,?,SK Sturm Graz (3)
?,(Sat) 18 Aug 2018 (W33),SV Mattersburg (4),0-6,?,Wolfsberger AC (4)
?,(Sat) 18 Aug 2018 (W33),FC RB Salzburg (4),2-0,?,TSV Hartberg (4)
?,(Sat) 18 Aug 2018 (W33),FC Wacker Innsbruck (4),0-2,?,SKN St. Pölten (4)
?,(Sun) 19 Aug 2018 (W33),FK Austria Wien (4),4-0,?,FC Admira Wacker Mödling (4)
?,(Sun) 19 Aug 2018 (W33),LASK Linz (4),2-1,?,SK Rapid Wien (4)
?,(Sun) 19 Aug 2018 (W33),SK Sturm Graz (4),1-1,?,SCR Altach (4)
?,(Sat) 25 Aug 2018 (W34),Wolfsberger AC (5),1-1,?,SK Sturm Graz (5)
?,(Sat) 25 Aug 2018 (W34),SCR Altach (5),2-3,?,FC RB Salzburg (5)
?,(Sat) 25 Aug 2018 (W34),SKN St. Pölten (5),0-0,?,FK Austria Wien (5)
?,(Sun) 26 Aug 2018 (W34),FC Admira Wacker Mödling (5),0-0,?,SV Mattersburg (5)
?,(Sun) 26 Aug 2018 (W34),TSV Hartberg (5),0-1,?,LASK Linz (5)
?,(Sun) 26 Aug 2018 (W34),SK Rapid Wien (5),2-1,?,FC Wacker Innsbruck (5)
?,(Sat) 1 Sep 2018 (W35),SCR Altach (6),1-2,?,SKN St. Pölten (6)
?,(Sat) 1 Sep 2018 (W35),FK Austria Wien (6),2-1,?,SV Mattersburg (6)
?,(Sat) 1 Sep 2018 (W35),FC Wacker Innsbruck (6),2-1,?,TSV Hartberg (6)
?,(Sun) 2 Sep 2018 (W35),LASK Linz (6),2-0,?,Wolfsberger AC (6)
?,(Sun) 2 Sep 2018 (W35),FC RB Salzburg (6),3-1,?,FC Admira Wacker Mödling (6)
?,(Sun) 2 Sep 2018 (W35),SK Sturm Graz (6),1-1,?,SK Rapid Wien (6)
?,(Sat) 15 Sep 2018 (W37),FC Admira Wacker Mödling (7),2-3,?,SK Sturm Graz (7)
?,(Sat) 15 Sep 2018 (W37),TSV Hartberg (7),2-1,?,SCR Altach (7)
?,(Sat) 15 Sep 2018 (W37),SKN St. Pölten (7),1-3,?,FC RB Salzburg (7)
?,(Sun) 16 Sep 2018 (W37),Wolfsberger AC (7),3-1,?,FC Wacker Innsbruck (7)
?,(Sun) 16 Sep 2018 (W37),SV Mattersburg (7),1-3,?,LASK Linz (7)
?,(Sun) 16 Sep 2018 (W37),SK Rapid Wien (7),0-1,?,FK Austria Wien (7)
?,(Sat) 22 Sep 2018 (W38),SCR Altach (8),0-1,?,Wolfsberger AC (8)
?,(Sat) 22 Sep 2018 (W38),SKN St. Pölten (8),3-0,?,TSV Hartberg (8)
?,(Sat) 22 Sep 2018 (W38),SK Sturm Graz (8),1-2,?,SV Mattersburg (8)
?,(Sun) 23 Sep 2018 (W38),FK Austria Wien (8),0-3,?,LASK Linz (8)
?,(Sun) 23 Sep 2018 (W38),FC Wacker Innsbruck (8),1-3,?,FC Admira Wacker Mödling (8)
?,(Sun) 23 Sep 2018 (W38),FC RB Salzburg (8),2-1,?,SK Rapid Wien (8)
?,(Sat) 29 Sep 2018 (W39),Wolfsberger AC (9),1-4,?,FC RB Salzburg (9)
?,(Sat) 29 Sep 2018 (W39),FC Admira Wacker Mödling (9),2-4,?,SCR Altach (9)
?,(Sat) 29 Sep 2018 (W39),SK Rapid Wien (9),0-2,?,SKN St. Pölten (9)
?,(Sun) 30 Sep 2018 (W39),TSV Hartberg (9),0-1,?,FK Austria Wien (9)
?,(Sun) 30 Sep 2018 (W39),SV Mattersburg (9),2-1,?,FC Wacker Innsbruck (9)
?,(Sun) 30 Sep 2018 (W39),LASK Linz (9),0-0,?,SK Sturm Graz (9)
?,(Sat) 6 Oct 2018 (W40),Wolfsberger AC (10),3-4,?,TSV Hartberg (10)
?,(Sat) 6 Oct 2018 (W40),SCR Altach (10),2-0,?,FK Austria Wien (10)
?,(Sat) 6 Oct 2018 (W40),SKN St. Pölten (10),0-0,?,FC Admira Wacker Mödling (10)
?,(Sun) 7 Oct 2018 (W40),SK Rapid Wien (10),1-0,?,SV Mattersburg (10)
?,(Sun) 7 Oct 2018 (W40),FC Wacker Innsbruck (10),1-0,?,LASK Linz (10)
?,(Sun) 7 Oct 2018 (W40),SK Sturm Graz (10),1-2,?,FC RB Salzburg (10)
?,(Sat) 20 Oct 2018 (W42),TSV Hartberg (11),3-0,?,SK Rapid Wien (11)
?,(Sat) 20 Oct 2018 (W42),LASK Linz (11),1-1,?,SCR Altach (11)
?,(Sat) 20 Oct 2018 (W42),FC RB Salzburg (11),1-1,?,FC Wacker Innsbruck (11)
?,(Sun) 21 Oct 2018 (W42),FC Admira Wacker Mödling (11),0-0,?,Wolfsberger AC (11)
?,(Sun) 21 Oct 2018 (W42),SV Mattersburg (11),2-0,?,SKN St. Pölten (11)
?,(Sun) 21 Oct 2018 (W42),FK Austria Wien (11),1-1,?,SK Sturm Graz (11)
?,(Sat) 27 Oct 2018 (W43),TSV Hartberg (12),2-0,?,SK Sturm Graz (12)
?,(Sat) 27 Oct 2018 (W43),SV Mattersburg (12),1-1,?,SCR Altach (12)
?,(Sat) 27 Oct 2018 (W43),FC Wacker Innsbruck (12),0-0,?,FK Austria Wien (12)
?,(Sun) 28 Oct 2018 (W43),Wolfsberger AC (12),1-0,?,SKN St. Pölten (12)
?,(Sun) 28 Oct 2018 (W43),SK Rapid Wien (12),2-0,?,FC Admira Wacker Mödling (12)
?,(Sun) 28 Oct 2018 (W43),LASK Linz (12),3-3,?,FC RB Salzburg (12)
?,(Sat) 3 Nov 2018 (W44),FC Admira Wacker Mödling (13),2-3,?,TSV Hartberg (13)
?,(Sat) 3 Nov 2018 (W44),SKN St. Pölten (13),2-2,?,LASK Linz (13)
?,(Sat) 3 Nov 2018 (W44),SK Sturm Graz (13),1-1,?,FC Wacker Innsbruck (13)
?,(Sun) 4 Nov 2018 (W44),FK Austria Wien (13),2-3,?,Wolfsberger AC (13)
?,(Sun) 4 Nov 2018 (W44),FC RB Salzburg (13),2-1,?,SV Mattersburg (13)
?,(Sun) 4 Nov 2018 (W44),SCR Altach (13),2-2,?,SK Rapid Wien (13)
?,(Sat) 10 Nov 2018 (W45),LASK Linz (14),5-1,?,FC Admira Wacker Mödling (14)
?,(Sat) 10 Nov 2018 (W45),SK Sturm Graz (14),0-0,?,SKN St. Pölten (14)
?,(Sat) 10 Nov 2018 (W45),FC Wacker Innsbruck (14),1-0,?,SCR Altach (14)
?,(Sun) 11 Nov 2018 (W45),Wolfsberger AC (14),3-1,?,SK Rapid Wien (14)
?,(Sun) 11 Nov 2018 (W45),SV Mattersburg (14),1-2,?,TSV Hartberg (14)
?,(Sun) 11 Nov 2018 (W45),FK Austria Wien (14),0-2,?,FC RB Salzburg (14)
?,(Sat) 24 Nov 2018 (W47),Wolfsberger AC (15),2-2,?,SV Mattersburg (15)
?,(Sat) 24 Nov 2018 (W47),FC Admira Wacker Mödling (15),1-2,?,FK Austria Wien (15)
?,(Sat) 24 Nov 2018 (W47),TSV Hartberg (15),0-4,?,FC RB Salzburg (15)
?,(Sun) 25 Nov 2018 (W47),SCR Altach (15),0-2,?,SK Sturm Graz (15)
?,(Sun) 25 Nov 2018 (W47),SKN St. Pölten (15),2-0,?,FC Wacker Innsbruck (15)
?,(Sun) 25 Nov 2018 (W47),SK Rapid Wien (15),0-1,?,LASK Linz (15)
?,(Sat) 1 Dec 2018 (W48),FK Austria Wien (16),2-0,?,SKN St. Pölten (16)
?,(Sat) 1 Dec 2018 (W48),LASK Linz (16),3-3,?,TSV Hartberg (16)
?,(Sat) 1 Dec 2018 (W48),SV Mattersburg (16),2-2,?,FC Admira Wacker Mödling (16)
?,(Sun) 2 Dec 2018 (W48),FC RB Salzburg (16),1-0,?,SCR Altach (16)
?,(Sun) 2 Dec 2018 (W48),FC Wacker Innsbruck (16),0-1,?,SK Rapid Wien (16)
?,(Sun) 2 Dec 2018 (W48),SK Sturm Graz (16),3-0,?,Wolfsberger AC (16)
?,(Sat) 8 Dec 2018 (W49),Wolfsberger AC (17),1-1,?,LASK Linz (17)
?,(Sat) 8 Dec 2018 (W49),FC Admira Wacker Mödling (17),2-2,?,FC RB Salzburg (17)
?,(Sat) 8 Dec 2018 (W49),SKN St. Pölten (17),2-1,?,SCR Altach (17)
