Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 21 Jul 2012 (29),Sturm Graz (1),0-2,?,Salzburg (1)
?,(Sat) 21 Jul 2012 (29),Mattersburg (1),2-0,?,Neustadt (1)
?,(Sat) 21 Jul 2012 (29),Rapid Vienna (1),4-0,?,Wacker Innsbruck (1)
?,(Sun) 22 Jul 2012 (29),Admira (1),0-2,?,Ried (1)
?,(Wed) 25 Jul 2012 (30),AC Wolfsberger (1),0-1,?,Austria Vienna (1)
?,(Sat) 28 Jul 2012 (30),Austria Vienna (2),0-1,?,Sturm Graz (2)
?,(Sat) 28 Jul 2012 (30),Neustadt (2),0-1,?,Rapid Vienna (2)
?,(Sat) 28 Jul 2012 (30),Salzburg (2),3-2,?,Mattersburg (2)
?,(Sun) 29 Jul 2012 (30),Wacker Innsbruck (2),1-2,?,Admira (2)
?,(Sun) 29 Jul 2012 (30),Ried (2),0-2,?,AC Wolfsberger (2)
?,(Sat) 4 Aug 2012 (31),AC Wolfsberger (3),0-2,?,Salzburg (3)
?,(Sat) 4 Aug 2012 (31),Mattersburg (3),3-1,?,Sturm Graz (3)
?,(Sun) 5 Aug 2012 (31),Rapid Vienna (3),0-3,?,Austria Vienna (3)
?,(Sun) 5 Aug 2012 (31),Ried (3),2-0,?,Wacker Innsbruck (3)
?,(Sun) 5 Aug 2012 (31),Admira (3),4-0,?,Neustadt (3)
?,(Sat) 11 Aug 2012 (32),Sturm Graz (4),4-1,?,AC Wolfsberger (4)
?,(Sat) 11 Aug 2012 (32),Wacker Innsbruck (4),2-1,?,Mattersburg (4)
?,(Sun) 12 Aug 2012 (32),Neustadt (4),2-3,?,Ried (4)
?,(Sun) 12 Aug 2012 (32),Salzburg (4),0-2,?,Rapid Vienna (4)
?,(Sun) 12 Aug 2012 (32),Austria Vienna (4),1-0,?,Admira (4)
?,(Sat) 18 Aug 2012 (33),AC Wolfsberger (5),0-1,?,Mattersburg (5)
?,(Sat) 18 Aug 2012 (33),Admira (5),4-4,?,Salzburg (5)
?,(Sat) 18 Aug 2012 (33),Rapid Vienna (5),3-0,?,Sturm Graz (5)
?,(Sat) 18 Aug 2012 (33),Wacker Innsbruck (5),2-3,?,Neustadt (5)
?,(Sun) 19 Aug 2012 (33),Ried (5),0-1,?,Austria Vienna (5)
?,(Sat) 25 Aug 2012 (34),Austria Vienna (6),2-0,?,Wacker Innsbruck (6)
?,(Sat) 25 Aug 2012 (34),Mattersburg (6),2-1,?,Ried (6)
?,(Sat) 25 Aug 2012 (34),Salzburg (6),1-1,?,Neustadt (6)
