Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 21 Jul 2012 (29),SK Sturm Graz (1),0-2,?,FC RB Salzburg (1)
?,(Sat) 21 Jul 2012 (29),SV Mattersburg (1),2-0,?,SC Wiener Neustadt (1)
?,(Sat) 21 Jul 2012 (29),SK Rapid Wien (1),4-0,?,FC Wacker Innsbruck (1)
?,(Sun) 22 Jul 2012 (29),FC Admira Wacker Mödling (1),0-2,?,SV Ried (1)
?,(Wed) 25 Jul 2012 (30),Wolfsberger AC (1),0-1,?,FK Austria Wien (1)
?,(Sat) 28 Jul 2012 (30),FK Austria Wien (2),0-1,?,SK Sturm Graz (2)
?,(Sat) 28 Jul 2012 (30),SC Wiener Neustadt (2),0-1,?,SK Rapid Wien (2)
?,(Sat) 28 Jul 2012 (30),FC RB Salzburg (2),3-2,?,SV Mattersburg (2)
?,(Sun) 29 Jul 2012 (30),FC Wacker Innsbruck (2),1-2,?,FC Admira Wacker Mödling (2)
?,(Sun) 29 Jul 2012 (30),SV Ried (2),0-2,?,Wolfsberger AC (2)
?,(Sat) 4 Aug 2012 (31),Wolfsberger AC (3),0-2,?,FC RB Salzburg (3)
?,(Sat) 4 Aug 2012 (31),SV Mattersburg (3),3-1,?,SK Sturm Graz (3)
?,(Sun) 5 Aug 2012 (31),SK Rapid Wien (3),0-3,?,FK Austria Wien (3)
?,(Sun) 5 Aug 2012 (31),SV Ried (3),2-0,?,FC Wacker Innsbruck (3)
?,(Sun) 5 Aug 2012 (31),FC Admira Wacker Mödling (3),4-0,?,SC Wiener Neustadt (3)
?,(Sat) 11 Aug 2012 (32),SK Sturm Graz (4),4-1,?,Wolfsberger AC (4)
?,(Sat) 11 Aug 2012 (32),FC Wacker Innsbruck (4),2-1,?,SV Mattersburg (4)
?,(Sun) 12 Aug 2012 (32),SC Wiener Neustadt (4),2-3,?,SV Ried (4)
?,(Sun) 12 Aug 2012 (32),FC RB Salzburg (4),0-2,?,SK Rapid Wien (4)
?,(Sun) 12 Aug 2012 (32),FK Austria Wien (4),1-0,?,FC Admira Wacker Mödling (4)
?,(Sat) 18 Aug 2012 (33),Wolfsberger AC (5),0-1,?,SV Mattersburg (5)
?,(Sat) 18 Aug 2012 (33),FC Admira Wacker Mödling (5),4-4,?,FC RB Salzburg (5)
?,(Sat) 18 Aug 2012 (33),SK Rapid Wien (5),3-0,?,SK Sturm Graz (5)
?,(Sat) 18 Aug 2012 (33),FC Wacker Innsbruck (5),2-3,?,SC Wiener Neustadt (5)
?,(Sun) 19 Aug 2012 (33),SV Ried (5),0-1,?,FK Austria Wien (5)
?,(Sat) 25 Aug 2012 (34),FK Austria Wien (6),2-0,?,FC Wacker Innsbruck (6)
?,(Sat) 25 Aug 2012 (34),SV Mattersburg (6),2-1,?,SV Ried (6)
