Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 25 Jul 2015 (29),SV Mattersburg (1),2-1,?,FC RB Salzburg (1)
?,(Sat) 25 Jul 2015 (29),SV Grödig (1),2-1,?,SCR Altach (1)
?,(Sat) 25 Jul 2015 (29),SK Rapid Wien (1),3-0,?,SV Ried (1)
?,(Sat) 25 Jul 2015 (29),SK Sturm Graz (1),1-1,?,FC Admira Wacker Mödling (1)
?,(Sun) 26 Jul 2015 (29),Wolfsberger AC (1),0-2,?,FK Austria Wien (1)
?,(Sat) 1 Aug 2015 (30),FC RB Salzburg (2),1-2,?,SK Rapid Wien (2)
?,(Sat) 1 Aug 2015 (30),FC Admira Wacker Mödling (2),2-1,?,SV Mattersburg (2)
?,(Sun) 2 Aug 2015 (30),FK Austria Wien (2),3-1,?,SCR Altach (2)
?,(Sun) 2 Aug 2015 (30),SV Ried (2),0-0,?,Wolfsberger AC (2)
?,(Sun) 2 Aug 2015 (30),SK Sturm Graz (2),1-1,?,SV Grödig (2)
?,(Sat) 8 Aug 2015 (31),SV Grödig (3),2-2,?,FK Austria Wien (3)
?,(Sat) 8 Aug 2015 (31),FC Admira Wacker Mödling (3),2-2,?,FC RB Salzburg (3)
?,(Sat) 8 Aug 2015 (31),SV Mattersburg (3),4-1,?,SV Ried (3)
?,(Sun) 9 Aug 2015 (31),SCR Altach (3),0-1,?,SK Sturm Graz (3)
?,(Sun) 9 Aug 2015 (31),SK Rapid Wien (3),2-1,?,Wolfsberger AC (3)
?,(Tue) 11 Aug 2015 (32),SV Ried (4),1-4,?,FC RB Salzburg (4)
?,(Wed) 12 Aug 2015 (32),Wolfsberger AC (4),0-2,?,SK Sturm Graz (4)
?,(Wed) 12 Aug 2015 (32),SCR Altach (4),3-1,?,SV Mattersburg (4)
?,(Wed) 12 Aug 2015 (32),FK Austria Wien (4),2-5,?,SK Rapid Wien (4)
?,(Wed) 12 Aug 2015 (32),SV Grödig (4),2-3,?,FC Admira Wacker Mödling (4)
?,(Sat) 15 Aug 2015 (32),FK Austria Wien (5),5-1,?,SV Mattersburg (5)
?,(Sat) 15 Aug 2015 (32),Wolfsberger AC (5),3-2,?,SV Grödig (5)
?,(Sat) 15 Aug 2015 (32),FC Admira Wacker Mödling (5),3-1,?,SV Ried (5)
?,(Sat) 15 Aug 2015 (32),FC RB Salzburg (5),2-0,?,SCR Altach (5)
?,(Sun) 16 Aug 2015 (32),SK Sturm Graz (5),2-2,?,SK Rapid Wien (5)
?,(Sat) 22 Aug 2015 (33),SK Rapid Wien (6),3-0,?,SV Grödig (6)
?,(Sat) 22 Aug 2015 (33),SV Mattersburg (6),1-0,?,Wolfsberger AC (6)
?,(Sat) 22 Aug 2015 (33),SV Ried (6),1-0,?,SK Sturm Graz (6)
?,(Sun) 23 Aug 2015 (33),FC RB Salzburg (6),2-2,?,FK Austria Wien (6)
?,(Sun) 23 Aug 2015 (33),SCR Altach (6),1-2,?,FC Admira Wacker Mödling (6)
?,(Sat) 29 Aug 2015 (34),FC Admira Wacker Mödling (7),0-1,?,FK Austria Wien (7)
?,(Sat) 29 Aug 2015 (34),SV Grödig (7),4-1,?,SV Ried (7)
?,(Sat) 29 Aug 2015 (34),SK Rapid Wien (7),2-4,?,SV Mattersburg (7)
?,(Sun) 30 Aug 2015 (34),SK Sturm Graz (7),2-3,?,FC RB Salzburg (7)
?,(Sun) 30 Aug 2015 (34),Wolfsberger AC (7),0-2,?,SCR Altach (7)
?,(Sat) 12 Sep 2015 (36),SCR Altach (8),2-0,?,SK Rapid Wien (8)
?,(Sat) 12 Sep 2015 (36),FC Admira Wacker Mödling (8),1-0,?,Wolfsberger AC (8)
?,(Sat) 12 Sep 2015 (36),FK Austria Wien (8),1-1,?,SV Ried (8)
?,(Sat) 12 Sep 2015 (36),FC RB Salzburg (8),4-2,?,SV Grödig (8)
?,(Sun) 13 Sep 2015 (36),SV Mattersburg (8),2-0,?,SK Sturm Graz (8)
?,(Sat) 19 Sep 2015 (37),SK Sturm Graz (9),2-0,?,FK Austria Wien (9)
?,(Sat) 19 Sep 2015 (37),Wolfsberger AC (9),1-1,?,FC RB Salzburg (9)
?,(Sat) 19 Sep 2015 (37),SV Grödig (9),1-1,?,SV Mattersburg (9)
?,(Sat) 19 Sep 2015 (37),SV Ried (9),2-0,?,SCR Altach (9)
?,(Sun) 20 Sep 2015 (37),SK Rapid Wien (9),2-0,?,FC Admira Wacker Mödling (9)
?,(Sat) 26 Sep 2015 (38),SV Ried (10),0-1,?,SK Rapid Wien (10)
?,(Sat) 26 Sep 2015 (38),SCR Altach (10),1-0,?,SV Grödig (10)
?,(Sat) 26 Sep 2015 (38),FK Austria Wien (10),1-0,?,Wolfsberger AC (10)
?,(Sat) 26 Sep 2015 (38),FC RB Salzburg (10),4-2,?,SV Mattersburg (10)
?,(Sun) 27 Sep 2015 (38),FC Admira Wacker Mödling (10),0-1,?,SK Sturm Graz (10)
?,(Sat) 3 Oct 2015 (39),SV Grödig (11),3-0,?,SK Sturm Graz (11)
?,(Sat) 3 Oct 2015 (39),Wolfsberger AC (11),1-1,?,SV Ried (11)
?,(Sat) 3 Oct 2015 (39),SCR Altach (11),1-2,?,FK Austria Wien (11)
?,(Sat) 3 Oct 2015 (39),SV Mattersburg (11),0-4,?,FC Admira Wacker Mödling (11)
?,(Sun) 4 Oct 2015 (39),SK Rapid Wien (11),1-2,?,FC RB Salzburg (11)
?,(Sat) 17 Oct 2015 (41),FC RB Salzburg (12),8-0,?,FC Admira Wacker Mödling (12)
?,(Sat) 17 Oct 2015 (41),FK Austria Wien (12),2-1,?,SV Grödig (12)
?,(Sat) 17 Oct 2015 (41),SV Ried (12),0-1,?,SV Mattersburg (12)
?,(Sat) 17 Oct 2015 (41),SK Sturm Graz (12),3-1,?,SCR Altach (12)
?,(Sun) 18 Oct 2015 (41),Wolfsberger AC (12),2-1,?,SK Rapid Wien (12)
?,(Sat) 24 Oct 2015 (42),SV Mattersburg (13),2-1,?,SCR Altach (13)
?,(Sat) 24 Oct 2015 (42),FC Admira Wacker Mödling (13),0-0,?,SV Grödig (13)
?,(Sat) 24 Oct 2015 (42),FC RB Salzburg (13),2-1,?,SV Ried (13)
?,(Sat) 24 Oct 2015 (42),SK Sturm Graz (13),2-0,?,Wolfsberger AC (13)
?,(Sun) 25 Oct 2015 (42),SK Rapid Wien (13),1-2,?,FK Austria Wien (13)
?,(Sat) 31 Oct 2015 (43),SK Rapid Wien (14),2-1,?,SK Sturm Graz (14)
?,(Sat) 31 Oct 2015 (43),SCR Altach (14),1-0,?,FC RB Salzburg (14)
