Round,Date,Team 1,FT,Team 2
1,Fri Jul 22 2016,FC Liefering,1-0,SV Horn
1,Fri Jul 22 2016,FC Blau-Weiß Linz,0-3,WSG Tirol
1,Fri Jul 22 2016,FC Wacker Innsbruck,2-1,Floridsdorfer AC
1,Fri Jul 22 2016,Kapfenberger SV,3-1,SC Wiener Neustadt
1,Fri Jul 22 2016,Austria Lustenau,1-1,LASK Linz
2,Fri Jul 29 2016,SC Wiener Neustadt,1-4,FC Liefering
2,Fri Jul 29 2016,WSG Tirol,0-0,Floridsdorfer AC
2,Fri Jul 29 2016,Austria Lustenau,2-1,SV Horn
2,Fri Jul 29 2016,Kapfenberger SV,1-1,FC Wacker Innsbruck
2,Fri Jul 29 2016,LASK Linz,2-1,FC Blau-Weiß Linz
3,Fri Aug 5 2016,FC Liefering,4-2,LASK Linz
3,Fri Aug 5 2016,FC Blau-Weiß Linz,0-1,SC Wiener Neustadt
3,Fri Aug 5 2016,SV Horn,1-2,Kapfenberger SV
3,Fri Aug 5 2016,Floridsdorfer AC,1-3,Austria Lustenau
3,Fri Aug 5 2016,FC Wacker Innsbruck,1-2,WSG Tirol
4,Fri Aug 12 2016,FC Liefering,2-1,Floridsdorfer AC
4,Fri Aug 12 2016,WSG Tirol,0-1,SC Wiener Neustadt
4,Fri Aug 12 2016,Austria Lustenau,1-3,Kapfenberger SV
4,Fri Aug 12 2016,SV Horn,2-1,FC Blau-Weiß Linz
4,Fri Aug 12 2016,LASK Linz,1-0,FC Wacker Innsbruck
5,Mon Aug 15 2016,FC Blau-Weiß Linz,1-1,Austria Lustenau
5,Tue Aug 16 2016,SC Wiener Neustadt,1-2,LASK Linz
5,Tue Aug 16 2016,FC Wacker Innsbruck,1-1,FC Liefering
5,Tue Aug 16 2016,Kapfenberger SV,3-0,WSG Tirol
5,Tue Aug 16 2016,Floridsdorfer AC,2-1,SV Horn
6,Fri Aug 19 2016,FC Liefering,2-0,Kapfenberger SV
6,Fri Aug 19 2016,LASK Linz,4-0,WSG Tirol
6,Fri Aug 19 2016,FC Wacker Innsbruck,0-1,Austria Lustenau
6,Fri Aug 19 2016,Floridsdorfer AC,2-1,FC Blau-Weiß Linz
6,Fri Aug 19 2016,SV Horn,0-1,SC Wiener Neustadt
7,Fri Aug 26 2016,SC Wiener Neustadt,0-3,Floridsdorfer AC
7,Fri Aug 26 2016,FC Blau-Weiß Linz,2-2,FC Wacker Innsbruck
7,Fri Aug 26 2016,WSG Tirol,2-2,SV Horn
7,Fri Aug 26 2016,Austria Lustenau,1-1,FC Liefering
7,Fri Aug 26 2016,Kapfenberger SV,1-2,LASK Linz
8,Fri Sep 9 2016,SC Wiener Neustadt,1-4,Austria Lustenau
8,Fri Sep 9 2016,FC Blau-Weiß Linz,0-1,Kapfenberger SV
8,Fri Sep 9 2016,WSG Tirol,1-1,FC Liefering
8,Fri Sep 9 2016,SV Horn,2-1,FC Wacker Innsbruck
8,Fri Sep 9 2016,Floridsdorfer AC,2-3,LASK Linz
9,Tue Sep 13 2016,FC Liefering,2-0,FC Blau-Weiß Linz
9,Tue Sep 13 2016,LASK Linz,1-1,SV Horn
9,Tue Sep 13 2016,FC Wacker Innsbruck,3-2,SC Wiener Neustadt
9,Tue Sep 13 2016,Austria Lustenau,4-0,WSG Tirol
9,Tue Sep 13 2016,Kapfenberger SV,2-0,Floridsdorfer AC
10,Fri Sep 16 2016,SC Wiener Neustadt,2-0,Kapfenberger SV
10,Fri Sep 16 2016,LASK Linz,3-1,Austria Lustenau
10,Fri Sep 16 2016,WSG Tirol,0-0,FC Blau-Weiß Linz
10,Fri Sep 16 2016,SV Horn,2-3,FC Liefering
10,Fri Sep 16 2016,Floridsdorfer AC,3-1,FC Wacker Innsbruck
11,Fri Sep 23 2016,FC Liefering,3-1,SC Wiener Neustadt
11,Fri Sep 23 2016,FC Blau-Weiß Linz,2-0,LASK Linz
11,Fri Sep 23 2016,FC Wacker Innsbruck,1-0,Kapfenberger SV
11,Fri Sep 23 2016,SV Horn,1-3,Austria Lustenau
11,Fri Sep 23 2016,Floridsdorfer AC,1-1,WSG Tirol
12,Fri Sep 30 2016,SC Wiener Neustadt,3-2,FC Blau-Weiß Linz
12,Fri Sep 30 2016,LASK Linz,3-3,FC Liefering
12,Fri Sep 30 2016,WSG Tirol,2-1,FC Wacker Innsbruck
12,Fri Sep 30 2016,Austria Lustenau,1-1,Floridsdorfer AC
12,Fri Sep 30 2016,Kapfenberger SV,1-0,SV Horn
13,Fri Oct 14 2016,SC Wiener Neustadt,2-1,WSG Tirol
13,Fri Oct 14 2016,FC Blau-Weiß Linz,1-0,SV Horn
13,Fri Oct 14 2016,FC Wacker Innsbruck,2-1,LASK Linz
13,Fri Oct 14 2016,Kapfenberger SV,0-1,Austria Lustenau
13,Fri Oct 14 2016,Floridsdorfer AC,1-5,FC Liefering
14,Tue Oct 18 2016,FC Liefering,1-2,FC Wacker Innsbruck
14,Tue Oct 18 2016,LASK Linz,2-2,SC Wiener Neustadt
14,Tue Oct 18 2016,WSG Tirol,3-3,Kapfenberger SV
14,Tue Oct 18 2016,Austria Lustenau,0-0,FC Blau-Weiß Linz
14,Tue Oct 18 2016,SV Horn,2-1,Floridsdorfer AC
15,Fri Oct 21 2016,SC Wiener Neustadt,2-1,SV Horn
15,Fri Oct 21 2016,FC Blau-Weiß Linz,0-0,Floridsdorfer AC
15,Fri Oct 21 2016,WSG Tirol,3-2,LASK Linz
15,Fri Oct 21 2016,Austria Lustenau,2-2,FC Wacker Innsbruck
15,Fri Oct 21 2016,Kapfenberger SV,1-0,FC Liefering
16,Tue Nov 1 2016,FC Liefering,3-5,Austria Lustenau
16,Tue Nov 1 2016,LASK Linz,3-1,Kapfenberger SV
16,Tue Nov 1 2016,FC Wacker Innsbruck,1-1,FC Blau-Weiß Linz
16,Tue Nov 1 2016,SV Horn,2-0,WSG Tirol
16,Tue Nov 1 2016,Floridsdorfer AC,1-1,SC Wiener Neustadt
17,Fri Nov 4 2016,FC Liefering,0-0,WSG Tirol
17,Fri Nov 4 2016,LASK Linz,1-0,Floridsdorfer AC
17,Fri Nov 4 2016,FC Wacker Innsbruck,0-0,SV Horn
17,Fri Nov 4 2016,Austria Lustenau,1-0,SC Wiener Neustadt
17,Fri Nov 4 2016,Kapfenberger SV,2-2,FC Blau-Weiß Linz
18,Fri Nov 18 2016,SC Wiener Neustadt,2-2,FC Wacker Innsbruck
18,Fri Nov 18 2016,FC Blau-Weiß Linz,1-1,FC Liefering
18,Fri Nov 18 2016,WSG Tirol,2-4,Austria Lustenau
18,Fri Nov 18 2016,SV Horn,1-4,LASK Linz
18,Fri Nov 18 2016,Floridsdorfer AC,0-1,Kapfenberger SV
19,Fri Nov 25 2016,FC Liefering,1-1,SV Horn
19,Fri Nov 25 2016,FC Blau-Weiß Linz,0-0,WSG Tirol
19,Fri Nov 25 2016,FC Wacker Innsbruck,2-1,Floridsdorfer AC
19,Fri Nov 25 2016,Austria Lustenau,2-4,LASK Linz
19,Fri Nov 25 2016,Kapfenberger SV,0-3,SC Wiener Neustadt
20,Fri Dec 2 2016,SC Wiener Neustadt,0-1,FC Liefering
20,Fri Dec 2 2016,LASK Linz,4-0,FC Blau-Weiß Linz
20,Fri Dec 2 2016,WSG Tirol,1-0,Floridsdorfer AC
20,Fri Dec 2 2016,Austria Lustenau,2-3,SV Horn
20,Fri Dec 2 2016,Kapfenberger SV,1-3,FC Wacker Innsbruck
21,Fri Feb 24 2017,FC Liefering,0-3,LASK Linz
21,Fri Feb 24 2017,FC Blau-Weiß Linz,3-0,SC Wiener Neustadt
21,Fri Feb 24 2017,FC Wacker Innsbruck,0-1,WSG Tirol
21,Fri Feb 24 2017,SV Horn,2-1,Kapfenberger SV
21,Fri Feb 24 2017,Floridsdorfer AC,1-0,Austria Lustenau
22,Fri Mar 3 2017,FC Liefering,1-0,Floridsdorfer AC
22,Fri Mar 3 2017,LASK Linz,3-1,FC Wacker Innsbruck
22,Fri Mar 3 2017,WSG Tirol,3-0,SC Wiener Neustadt
22,Fri Mar 3 2017,Austria Lustenau,0-0,Kapfenberger SV
22,Fri Mar 3 2017,SV Horn,0-2,FC Blau-Weiß Linz
23,Fri Mar 10 2017,SC Wiener Neustadt,0-2,LASK Linz
23,Fri Mar 10 2017,FC Blau-Weiß Linz,0-0,Austria Lustenau
23,Fri Mar 10 2017,FC Wacker Innsbruck,0-2,FC Liefering
23,Fri Mar 10 2017,Kapfenberger SV,2-1,WSG Tirol
23,Fri Mar 10 2017,Floridsdorfer AC,0-2,SV Horn
24,Tue Mar 14 2017,FC Liefering,1-1,Kapfenberger SV
24,Tue Mar 14 2017,LASK Linz,2-0,WSG Tirol
24,Tue Mar 14 2017,FC Wacker Innsbruck,1-0,Austria Lustenau
24,Tue Mar 14 2017,SV Horn,2-0,SC Wiener Neustadt
24,Tue Mar 14 2017,Floridsdorfer AC,1-2,FC Blau-Weiß Linz
25,Fri Mar 17 2017,SC Wiener Neustadt,0-3,Floridsdorfer AC
25,Fri Mar 17 2017,FC Blau-Weiß Linz,3-1,FC Wacker Innsbruck
25,Fri Mar 17 2017,WSG Tirol,1-1,SV Horn
25,Fri Mar 17 2017,Austria Lustenau,2-0,FC Liefering
25,Fri Mar 17 2017,Kapfenberger SV,2-2,LASK Linz
26,Fri Mar 31 2017,SC Wiener Neustadt,1-1,Austria Lustenau
26,Fri Mar 31 2017,FC Blau-Weiß Linz,1-2,Kapfenberger SV
26,Fri Mar 31 2017,WSG Tirol,5-0,FC Liefering
26,Fri Mar 31 2017,SV Horn,1-2,FC Wacker Innsbruck
